Company_Name,NSE_Symbol,BSE_Code,Sector,Market_Cap_Cr,Priority,Data_Source_Expected,Has_BRSR,Source,Website,Revenue_Cr
KIOCL (Kudremukh Iron Ore Company),KIOCL,,Mining & Minerals,0,MEDIUM,Annual Report,No,Strategic_Addition,,
Karnataka State Mineral Corporation,,,Mining & Minerals,0,MEDIUM,Government Report,No,Strategic_Addition,,
Odisha Mining Corporation,,,Mining & Minerals,0,MEDIUM,Government Report,No,Strategic_Addition,,
AP Mineral Development Corporation,,,Mining & Minerals,0,LOW,Government Report,No,Strategic_Addition,,
Raymond,RAYMOND,,Textiles & Apparel,0,HIGH,Annual Report,No,Strategic_Addition,,
Arvind Limited,ARVIND,,Textiles & Apparel,0,HIGH,Annual Report,No,Strategic_Addition,,
"Aditya Birla Fashion (Allen Solly, Peter England)",ABFRL,,Textiles & Apparel,0,HIGH,Annual Report,No,Strategic_Addition,,
Vardhman Textiles,VTL,,Textiles & Apparel,0,MEDIUM,Annual Report,No,Strategic_Addition,,
Trident Limited,TRIDENT,,Textiles & Apparel,0,MEDIUM,Annual Report,No,Strategic_Addition,,
Welspun India,WELSPUNIND,,Textiles & Apparel,0,MEDIUM,Annual Report,No,Strategic_Addition,,
Bombay Dyeing,BOMDYEING,,Textiles & Apparel,0,MEDIUM,Annual Report,No,Strategic_Addition,,
KPR Mill,KPRMILL,,Textiles & Apparel,0,LOW,Annual Report,No,Strategic_Addition,,
Siyaram Silk Mills,SIYSIL,,Textiles & Apparel,0,LOW,Annual Report,No,Strategic_Addition,,
S Kumars Nationwide,SKUMARSYNF,,Textiles & Apparel,0,LOW,Annual Report,No,Strategic_Addition,,
Tata Power,TATAPOWER,,Power Generation,0,CRITICAL,Sustainability Report,No,Strategic_Addition,,
JSW Energy,JSWENERGY,,Power Generation,0,HIGH,Annual Report,No,Strategic_Addition,,
Torrent Power,TORNTPOWER,,Power Generation,0,HIGH,Annual Report,No,Strategic_Addition,,
CESC Limited,CESC,,Power Generation,0,MEDIUM,Annual Report,No,Strategic_Addition,,
Gujarat State Electricity Corporation,,,Power Generation,0,MEDIUM,Government Report,No,Strategic_Addition,,
Damodar Valley Corporation,,,Power Generation,0,MEDIUM,Government Report,No,Strategic_Addition,,
Neyveli Lignite Corporation,NLCINDIA,,Power Generation,0,MEDIUM,Annual Report,No,Strategic_Addition,,
Bharat Heavy Electricals Limited (BHEL),BHEL,,Power Generation,0,LOW,Annual Report,No,Strategic_Addition,,
