Company_Name,Facility_Type,City,Latitude,Longitude,Data_Source,Data_Tier
Can Fin Homes Limited,Headquarters,Hyderabad,17.29259,78.423026,Estimated (city-level),Tier 3
Canara Bank,Headquarters,Pune,18.543301,73.928003,Estimated (city-level),Tier 3
Caplin Point Laboratories Limited,Headquarters,Ahmedabad,22.953455,72.59576,Estimated (city-level),Tier 3
Capri Global Capital Limited,Headquarters,Mumbai,19.154953,72.885999,Estimated (city-level),Tier 3
Carborundum Universal Limited,Headquarters,Delhi,28.625787,77.150035,Estimated (city-level),Tier 3
Cello World Limited,Headquarters,Bangalore,13.061746,77.58629,Estimated (city-level),Tier 3
Central Bank of India,Headquarters,Chennai,13.01614,80.221844,Estimated (city-level),Tier 3
Century Plyboards India Limited,Headquarters,Kolkata,22.653598,88.420767,Estimated (city-level),Tier 3
Chalet Hotels Limited,Headquarters,Hyderabad,17.33701,78.410877,Estimated (city-level),Tier 3
Chemplast Sanmar Limited,Headquarters,Pune,18.595968,73.856658,Estimated (city-level),Tier 3
Cholamandalam Financial Holdings Limited,Headquarters,Ahmedabad,22.937086,72.531488,Estimated (city-level),Tier 3
Cholamandalam Investment and Finance Company Limited,Headquarters,Mumbai,19.015119,72.845801,Estimated (city-level),Tier 3
Cipla Limited,Headquarters,Delhi,28.654213,77.074363,Estimated (city-level),Tier 3
Clean Science and Technology Limited,Headquarters,Bangalore,13.034164,77.537401,Estimated (city-level),Tier 3
Cochin Shipyard Limited,Headquarters,Chennai,13.09069,80.19818,Estimated (city-level),Tier 3
Coforge Limited,Headquarters,Kolkata,22.514753,88.402824,Estimated (city-level),Tier 3
Computer Age Management Services Limited,Headquarters,Hyderabad,17.411608,78.551414,Estimated (city-level),Tier 3
Concord Biotech Limited,Headquarters,Pune,18.546532,73.936052,Estimated (city-level),Tier 3
Container Corporation of India Limited,Headquarters,Ahmedabad,23.076381,72.585635,Estimated (city-level),Tier 3
Craftsman Automation Limited,Headquarters,Mumbai,19.106177,72.867346,Estimated (city-level),Tier 3
CreditAccess Grameen Limited,Headquarters,Delhi,28.730576,77.012318,Estimated (city-level),Tier 3
Crompton Greaves Consumer Electricals Limited,Headquarters,Bangalore,12.891953,77.519155,Estimated (city-level),Tier 3
Cummins India Limited,Headquarters,Chennai,13.030427,80.370642,Estimated (city-level),Tier 3
Cyient Limited,Headquarters,Kolkata,22.575679,88.392551,Estimated (city-level),Tier 3
Cyient Limited,Headquarters,Hyderabad,17.326891,78.466425,Estimated (city-level),Tier 3
DCM Shriram Limited,Headquarters,Pune,18.48207,73.876213,Estimated (city-level),Tier 3
DIVIS LABORATORIES LIMITED,Headquarters,Ahmedabad,22.934333,72.604134,Estimated (city-level),Tier 3
DLF Limited,Headquarters,Mumbai,19.121441,72.933765,Estimated (city-level),Tier 3
DOMS Industries Limited,Headquarters,Delhi,28.78948,77.01012,Estimated (city-level),Tier 3
Dabur India Limited,Headquarters,Bangalore,12.91056,77.585641,Estimated (city-level),Tier 3
Dalmia Bharat Limited,Headquarters,Chennai,13.050352,80.245073,Estimated (city-level),Tier 3
Data Patterns India Limited,Headquarters,Kolkata,22.625896,88.411381,Estimated (city-level),Tier 3
Deepak Nitrite Limited,Headquarters,Hyderabad,17.454711,78.502604,Estimated (city-level),Tier 3
Delhivery Limited,Headquarters,Pune,18.610017,73.794444,Estimated (city-level),Tier 3
Devyani International Limited,Headquarters,Ahmedabad,23.107897,72.668452,Estimated (city-level),Tier 3
Dixon Technologies India Limited,Headquarters,Mumbai,18.997937,72.963149,Estimated (city-level),Tier 3
Dr Reddys Laboratories Limited,Headquarters,Delhi,28.60833,77.131102,Estimated (city-level),Tier 3
EICHER MOTORS LIMITED,Headquarters,Bangalore,12.887634,77.577876,Estimated (city-level),Tier 3
EIH Limited,Headquarters,Chennai,13.154961,80.277677,Estimated (city-level),Tier 3
ESAB India Limited,Headquarters,Kolkata,22.633875,88.29348,Estimated (city-level),Tier 3
Easy Trip Planners Limited,Headquarters,Hyderabad,17.310632,78.456031,Estimated (city-level),Tier 3
Electronics Mart India Limited,Headquarters,Pune,18.544253,73.937658,Estimated (city-level),Tier 3
Elgi Equipments Limited,Headquarters,Ahmedabad,22.950365,72.514217,Estimated (city-level),Tier 3
Emami Limited,Headquarters,Mumbai,18.994344,72.805885,Estimated (city-level),Tier 3
Endurance Technologies Limited,Headquarters,Delhi,28.79846,77.06469,Estimated (city-level),Tier 3
Engineers India Limited,Headquarters,Bangalore,13.009187,77.599969,Estimated (city-level),Tier 3
Equitas Small Finance Bank Limited,Headquarters,Chennai,13.123371,80.238578,Estimated (city-level),Tier 3
Eris Lifesciences Limited,Headquarters,Kolkata,22.585993,88.295977,Estimated (city-level),Tier 3
Escorts Kubota Limited,Headquarters,Hyderabad,17.301323,78.393383,Estimated (city-level),Tier 3
Eureka Forbes Limited,Headquarters,Pune,18.55037,73.823752,Estimated (city-level),Tier 3
Exide Industries Limited,Headquarters,Ahmedabad,22.995982,72.531245,Estimated (city-level),Tier 3
FERTILIZERS AND CHEMICALS TRAVANCORE LIMITED,Headquarters,Mumbai,18.994709,72.826452,Estimated (city-level),Tier 3
FINE ORGANIC INDUSTRIES LIMITED,Headquarters,Delhi,28.666479,77.035864,Estimated (city-level),Tier 3
Finolex Cables Limited,Headquarters,Bangalore,12.985094,77.57968,Estimated (city-level),Tier 3
Finolex Industries Limited,Headquarters,Chennai,13.0505,80.321807,Estimated (city-level),Tier 3
Firstsource Solutions Limited,Headquarters,Kolkata,22.479736,88.367883,Estimated (city-level),Tier 3
Five-Star Business Finance Limited,Headquarters,Hyderabad,17.413843,78.547651,Estimated (city-level),Tier 3
Force Motors Ltd,Headquarters,Pune,18.505008,73.770341,Estimated (city-level),Tier 3
Fortis Healthcare Limited,Headquarters,Ahmedabad,23.070948,72.516146,Estimated (city-level),Tier 3
G R Infraprojects Limited,Headquarters,Mumbai,19.144968,72.859116,Estimated (city-level),Tier 3
GAIL India Limited,Headquarters,Delhi,28.738943,77.003866,Estimated (city-level),Tier 3
GALAXY SURFACTANTS LIMITED,Headquarters,Bangalore,12.950454,77.51794,Estimated (city-level),Tier 3
GLAND PHARMA LIMITED,Headquarters,Chennai,13.109258,80.220013,Estimated (city-level),Tier 3
GLOBAL HEALTH LIMITED,Headquarters,Kolkata,22.535669,88.433288,Estimated (city-level),Tier 3
GODAWARI POWER AND ISPAT LIMITED,Headquarters,Hyderabad,17.436747,78.406447,Estimated (city-level),Tier 3
GODFREY PHILLIPS INDIA LIMITED,Headquarters,Pune,18.479929,73.936829,Estimated (city-level),Tier 3
GODREJ AGROVET LIMITED,Headquarters,Ahmedabad,22.945028,72.572992,Estimated (city-level),Tier 3
GRANULES INDIA LIMITED,Headquarters,Mumbai,19.108168,72.818856,Estimated (city-level),Tier 3
GRAPHITE INDIA LIMITED,Headquarters,Delhi,28.664134,77.197386,Estimated (city-level),Tier 3
GUJARAT GAS LIMITED,Headquarters,Bangalore,13.011681,77.674282,Estimated (city-level),Tier 3
Garden Reach Shipbuilders  Engineers Limited,Headquarters,Chennai,13.102292,80.210704,Estimated (city-level),Tier 3
General Insurance Corporation of India,Headquarters,Kolkata,22.547432,88.270119,Estimated (city-level),Tier 3
Genus Power Infrastructures Limited,Headquarters,Hyderabad,17.484903,78.553481,Estimated (city-level),Tier 3
Gillette India Limited,Headquarters,Pune,18.577035,73.89026,Estimated (city-level),Tier 3
GlaxoSmithKline Pharmaceuticals Limited,Headquarters,Ahmedabad,22.964098,72.659208,Estimated (city-level),Tier 3
Glenmark Pharmaceuticals Limited,Headquarters,Mumbai,19.151005,72.930508,Estimated (city-level),Tier 3
Go Digit General Insurance Limited,Headquarters,Delhi,28.786543,77.031591,Estimated (city-level),Tier 3
Godrej Consumer Products Limited,Headquarters,Bangalore,12.973094,77.668817,Estimated (city-level),Tier 3
Godrej Industries Limited,Headquarters,Chennai,13.002967,80.248286,Estimated (city-level),Tier 3
Godrej Properties Limited,Headquarters,Kolkata,22.634415,88.346546,Estimated (city-level),Tier 3
Grasim Industries Limited,Headquarters,Hyderabad,17.359299,78.554366,Estimated (city-level),Tier 3
Grindwell Norton Limited,Headquarters,Pune,18.538246,73.852589,Estimated (city-level),Tier 3
Gujarat Ambuja Exports Limited,Headquarters,Ahmedabad,23.005156,72.574916,Estimated (city-level),Tier 3
Gujarat Fluorochemicals Limited,Headquarters,Mumbai,19.045697,72.933409,Estimated (city-level),Tier 3
Gujarat Pipavav Port Limited,Headquarters,Delhi,28.638809,77.007052,Estimated (city-level),Tier 3
Gujarat State Petronet Limited,Headquarters,Bangalore,13.034461,77.568687,Estimated (city-level),Tier 3
HCL Technologies Limited,Headquarters,Chennai,13.150754,80.24014,Estimated (city-level),Tier 3
HDFC Asset Management Company Limited,Headquarters,Kolkata,22.500965,88.461584,Estimated (city-level),Tier 3
HDFC Bank Limited,Headquarters,Hyderabad,17.412643,78.500703,Estimated (city-level),Tier 3
HDFC Life Insurance Company Limited,Headquarters,Pune,18.573407,73.920709,Estimated (city-level),Tier 3
HEG Limited,Headquarters,Ahmedabad,23.033288,72.56064,Estimated (city-level),Tier 3
HERO MOTOCORP LIMITED,Headquarters,Mumbai,19.039622,72.820012,Estimated (city-level),Tier 3
HFCL Limited,Headquarters,Delhi,28.747563,77.149989,Estimated (city-level),Tier 3
HINDALCO INDUSTRIES LIMITED,Headquarters,Bangalore,13.001057,77.682045,Estimated (city-level),Tier 3
HINDUSTAN AERONAUTICS LIMITED,Headquarters,Chennai,13.073074,80.300978,Estimated (city-level),Tier 3
HINDUSTAN COPPER LIMITED,Headquarters,Kolkata,22.659477,88.412925,Estimated (city-level),Tier 3
HONEYWELL AUTOMATION INDIA LIMITED,Headquarters,Hyderabad,17.405504,78.585623,Estimated (city-level),Tier 3
Happiest Minds Technologies Limited,Headquarters,Pune,18.438679,73.850662,Estimated (city-level),Tier 3
Happy Forgings Limited,Headquarters,Ahmedabad,22.926603,72.594672,Estimated (city-level),Tier 3
Hindustan Petroleum Corporation Limited,Headquarters,Mumbai,19.138351,72.788251,Estimated (city-level),Tier 3
Hindustan Unilever Limited,Headquarters,Delhi,28.72626,77.056708,Estimated (city-level),Tier 3
Hindustan Zinc Limited,Headquarters,Bangalore,13.009449,77.678484,Estimated (city-level),Tier 3
Hitachi Energy India Limited,Headquarters,Chennai,13.142925,80.19609,Estimated (city-level),Tier 3
Home First Finance Company India Limited,Headquarters,Kolkata,22.567051,88.361303,Estimated (city-level),Tier 3
Honasa Consumer Limited,Headquarters,Hyderabad,17.453754,78.557744,Estimated (city-level),Tier 3
ICICI Bank Limited,Headquarters,Pune,18.57389,73.847405,Estimated (city-level),Tier 3
ICICI Lombard General Insurance Company Limited,Headquarters,Ahmedabad,23.007869,72.550707,Estimated (city-level),Tier 3
ICICI Prudential Life Insurance Company Limited,Headquarters,Mumbai,19.127673,72.911364,Estimated (city-level),Tier 3
IDBI Bank Limited,Headquarters,Delhi,28.627596,77.011722,Estimated (city-level),Tier 3
IDFC FIRST Bank Limited,Headquarters,Bangalore,12.986428,77.603909,Estimated (city-level),Tier 3
IFCI Limited,Headquarters,Chennai,13.040569,80.170976,Estimated (city-level),Tier 3
IIFL Finance Limited,Headquarters,Kolkata,22.56374,88.265318,Estimated (city-level),Tier 3
INDIAN OVERSEAS BANK,Headquarters,Hyderabad,17.29293,78.476155,Estimated (city-level),Tier 3
INDIAN RAILWAY FINANCE CORPORATION LIMITED,Headquarters,Pune,18.463118,73.842976,Estimated (city-level),Tier 3
INOX India Limited,Headquarters,Ahmedabad,22.950576,72.667999,Estimated (city-level),Tier 3
INTELLECT DESIGN ARENA LIMITED,Headquarters,Mumbai,19.047079,72.943934,Estimated (city-level),Tier 3
IRB Infrastructure Developers Limited,Headquarters,Delhi,28.668959,77.169987,Estimated (city-level),Tier 3
ISGEC Heavy Engineering Limited,Headquarters,Bangalore,13.062571,77.623933,Estimated (city-level),Tier 3
ITC Limited,Headquarters,Chennai,13.13569,80.205897,Estimated (city-level),Tier 3
Indegene Limited,Headquarters,Kolkata,22.600881,88.405117,Estimated (city-level),Tier 3
Indian Energy Exchange Limited,Headquarters,Hyderabad,17.305793,78.472566,Estimated (city-level),Tier 3
Indian Oil Corporation Limited,Headquarters,Pune,18.608922,73.935141,Estimated (city-level),Tier 3
Indian Renewable Energy Development Agency Limited,Headquarters,Ahmedabad,22.93242,72.539053,Estimated (city-level),Tier 3
Indus Towers Limited,Headquarters,Mumbai,19.024758,72.955917,Estimated (city-level),Tier 3
IndusInd Bank Limited,Headquarters,Delhi,28.701851,77.093958,Estimated (city-level),Tier 3
Infibeam Avenues Limited,Headquarters,Bangalore,12.944798,77.592724,Estimated (city-level),Tier 3
Infosys Limited,Headquarters,Chennai,13.086876,80.201388,Estimated (city-level),Tier 3
Inox Wind Limited,Headquarters,Kolkata,22.492182,88.338046,Estimated (city-level),Tier 3
InterGlobe Aviation Limited,Headquarters,Hyderabad,17.361381,78.432744,Estimated (city-level),Tier 3
Ion Exchange India Limited,Headquarters,Pune,18.431299,73.79696,Estimated (city-level),Tier 3
Ipca Laboratories Limited,Headquarters,Ahmedabad,22.979669,72.540473,Estimated (city-level),Tier 3
Ircon International Limited,Headquarters,Mumbai,19.067728,72.906577,Estimated (city-level),Tier 3
JAI BALAJI INDUSTRIES LIMITED,Headquarters,Delhi,28.709617,77.112813,Estimated (city-level),Tier 3
JAIPRAKASH POWER VENTURES LIMITED,Headquarters,Bangalore,12.877765,77.682349,Estimated (city-level),Tier 3
JBM Auto Limited,Headquarters,Chennai,13.070427,80.269721,Estimated (city-level),Tier 3
JINDAL STEEL  POWER LIMITED,Headquarters,Kolkata,22.536305,88.402794,Estimated (city-level),Tier 3
JK CEMENT LIMITED,Headquarters,Hyderabad,17.477717,78.517845,Estimated (city-level),Tier 3
JK LAKSHMI CEMENT LIMITED,Headquarters,Pune,18.425754,73.769475,Estimated (city-level),Tier 3
JK Tyre  Industries Limited,Headquarters,Ahmedabad,23.07022,72.495896,Estimated (city-level),Tier 3
JM Financial Limited,Headquarters,Mumbai,19.01682,72.83427,Estimated (city-level),Tier 3
JSW Energy Limited,Headquarters,Delhi,28.761129,77.201278,Estimated (city-level),Tier 3
JSW Infrastructure Limited,Headquarters,Bangalore,13.063298,77.512357,Estimated (city-level),Tier 3
JSW Steel Limited,Headquarters,Chennai,13.156412,80.309882,Estimated (city-level),Tier 3
JUBILANT INGREVIA LIMITED,Headquarters,Kolkata,22.604608,88.315241,Estimated (city-level),Tier 3
JYOTHY LABS LIMITED,Headquarters,Hyderabad,17.296308,78.469654,Estimated (city-level),Tier 3
JYOTI CNC AUTOMATION LIMITED,Headquarters,Pune,18.589768,73.798374,Estimated (city-level),Tier 3
Jindal Stainless Limited,Headquarters,Ahmedabad,23.045802,72.551456,Estimated (city-level),Tier 3
Jio Financial Services Limited,Headquarters,Mumbai,19.067842,72.938282,Estimated (city-level),Tier 3
Jubilant FoodWorks Limited,Headquarters,Delhi,28.76211,77.166652,Estimated (city-level),Tier 3
Jubilant Pharmova Limited,Headquarters,Bangalore,12.913655,77.632471,Estimated (city-level),Tier 3
Juniper Hotels Limited,Headquarters,Chennai,13.08192,80.195867,Estimated (city-level),Tier 3
Jupiter Life Line Hospitals Limited,Headquarters,Kolkata,22.479314,88.317594,Estimated (city-level),Tier 3
Jupiter Wagons Limited,Headquarters,Hyderabad,17.404812,78.462533,Estimated (city-level),Tier 3
Just Dial Limited,Headquarters,Pune,18.455263,73.886405,Estimated (city-level),Tier 3
KARUR VYSYA BANK LIMITED,Headquarters,Ahmedabad,23.050787,72.668318,Estimated (city-level),Tier 3
KEC International Limited,Headquarters,Mumbai,19.037391,72.859202,Estimated (city-level),Tier 3
KEI INDUSTRIES LIMITED,Headquarters,Delhi,28.63202,77.034606,Estimated (city-level),Tier 3
KFin Technologies Limited,Headquarters,Bangalore,12.924308,77.549175,Estimated (city-level),Tier 3
KIOCL Limited,Headquarters,Chennai,13.043976,80.359663,Estimated (city-level),Tier 3
KNR Constructions Limited,Headquarters,Kolkata,22.506391,88.431967,Estimated (city-level),Tier 3
KOTAK MAHINDRA BANK LIMITED,Headquarters,Hyderabad,17.412284,78.450792,Estimated (city-level),Tier 3
KPI GREEN ENERGY LIMITED,Headquarters,Pune,18.454236,73.893558,Estimated (city-level),Tier 3
KPIT Technologies Limited,Headquarters,Ahmedabad,23.109283,72.528874,Estimated (city-level),Tier 3
KPR MILL LIMITED,Headquarters,Mumbai,19.118871,72.969459,Estimated (city-level),Tier 3
Kajaria Ceramics Limited,Headquarters,Delhi,28.760564,77.187568,Estimated (city-level),Tier 3
Kalpataru Projects International Limited,Headquarters,Bangalore,12.951661,77.536967,Estimated (city-level),Tier 3
Kalyan Jewellers India Limited,Headquarters,Chennai,13.114794,80.35069,Estimated (city-level),Tier 3
Kansai Nerolac Paints Limited,Headquarters,Kolkata,22.621616,88.385186,Estimated (city-level),Tier 3
Kaynes Technology India Limited,Headquarters,Hyderabad,17.374231,78.44878,Estimated (city-level),Tier 3
Keystone Realtors Limited,Headquarters,Pune,18.61039,73.828089,Estimated (city-level),Tier 3
Kirloskar Brothers Limited,Headquarters,Ahmedabad,22.969791,72.512223,Estimated (city-level),Tier 3
Kirloskar Oil Engines Limited,Headquarters,Mumbai,19.024285,72.914383,Estimated (city-level),Tier 3
Krishna Institute of Medical Sciences Limited,Headquarters,Delhi,28.652866,77.037189,Estimated (city-level),Tier 3
LAURUS LABS LIMITED,Headquarters,Bangalore,12.974359,77.689015,Estimated (city-level),Tier 3
LIC Housing Finance Limited,Headquarters,Chennai,13.159738,80.319383,Estimated (city-level),Tier 3
Latent View Analytics Limited,Headquarters,Kolkata,22.588784,88.27931,Estimated (city-level),Tier 3
Lemon Tree Hotels Limited,Headquarters,Hyderabad,17.359702,78.430775,Estimated (city-level),Tier 3
Life Insurance Corporation of India,Headquarters,Pune,18.523159,73.774327,Estimated (city-level),Tier 3
Linde India Limited,Headquarters,Ahmedabad,23.04954,72.57233,Estimated (city-level),Tier 3
Lloyds Metals and Energy Limited,Headquarters,Mumbai,19.101967,72.823496,Estimated (city-level),Tier 3
Lupin Limited,Headquarters,Delhi,28.796325,77.08132,Estimated (city-level),Tier 3
MACROTECH DEVELOPERS LIMITED,Headquarters,Bangalore,12.90903,77.645363,Estimated (city-level),Tier 3
MAHARASHTRA SCOOTERS LIMITED,Headquarters,Chennai,13.178478,80.31674,Estimated (city-level),Tier 3
MANKIND PHARMA LIMITED,Headquarters,Kolkata,22.613979,88.397023,Estimated (city-level),Tier 3
MAX HEALTHCARE INSTITUTE LIMITED,Headquarters,Hyderabad,17.346472,78.479802,Estimated (city-level),Tier 3
MMTC LIMITED,Headquarters,Pune,18.580323,73.856999,Estimated (city-level),Tier 3
MOIL Limited,Headquarters,Ahmedabad,22.981696,72.647753,Estimated (city-level),Tier 3
MRF Limited,Headquarters,Mumbai,19.125973,72.819542,Estimated (city-level),Tier 3
MUTHOOT FINANCE LIMITED,Headquarters,Delhi,28.655183,77.053182,Estimated (city-level),Tier 3
Mahanagar Gas Limited,Headquarters,Bangalore,13.03498,77.671233,Estimated (city-level),Tier 3
