Company_Name,Sector,Missing_Count,Missing_Scope1,Missing_Scope2,Missing_Scope3,Missing_Water,Missing_Waste
Seshasayee Paper and Boards Limited,Information Technology,4,True,True,False,True,True
Emami Paper Mills Limited,Information Technology,4,True,True,False,True,True
West Coast Paper Mills Limited,Information Technology,4,True,True,False,True,True
Minda Corporation Limited,Chemicals & Fertilizers,4,True,True,False,True,True
Narayana Hrudayalaya Ltd.,Pharmaceuticals & Healthcare,4,True,True,False,True,True
Jindal Saw Limited,Steel & Iron,4,True,True,False,True,True
Varun Beverages (PepsiCo franchise),Pharmaceuticals & Healthcare,4,True,True,False,True,True
Infibeam Avenues Limited,Chemicals & Fertilizers,3,True,True,True,False,False
IFCI Limited,Chemicals & Fertilizers,3,True,True,True,False,False
MAHARASHTRA SCOOTERS LIMITED,Chemicals & Fertilizers,3,True,True,True,False,False
Power Mech Projects Limited,Power Generation,3,True,True,True,False,False
Responsive Industries Limited,Chemicals & Fertilizers,3,True,True,True,False,False
RATTANINDIA ENTERPRISES LIMITED,Chemicals & Fertilizers,3,True,True,True,False,False
Redtape Limited,Chemicals & Fertilizers,3,True,True,True,False,False
Sun Pharma Advanced Research Company Limited,Pharmaceuticals & Healthcare,2,True,True,False,False,False
Aegis Logistics Limited,Chemicals & Fertilizers,2,True,True,False,False,False
CE INFO SYSTEMS LIMITED,Chemicals & Fertilizers,2,True,True,False,False,False
Mishra Dhatu Nigam Limited,Chemicals & Fertilizers,1,False,False,True,False,False
PNC Infratech Limited,Information Technology,1,False,False,True,False,False
Piramal Pharma Limited,Pharmaceuticals & Healthcare,1,False,False,True,False,False
Piramal Enterprises Limited,Chemicals & Fertilizers,1,False,False,True,False,False
Man Infraconstruction Limited,Cement Manufacturing,1,False,False,True,False,False
PTC Industries Limited,Chemicals & Fertilizers,1,False,False,True,False,False
POLY MEDICURE LIMITED,Pharmaceuticals & Healthcare,1,False,False,True,False,False
Engineers India Limited,Chemicals & Fertilizers,1,False,False,True,False,False
Campus Activewear Limited,Chemicals & Fertilizers,1,False,False,True,False,False
PATANJALI FOODS LIMITED,Pharmaceuticals & Healthcare,1,False,False,True,False,False
Ircon International Limited,Chemicals & Fertilizers,1,False,False,True,False,False
Data Patterns India Limited,Information Technology,1,False,False,True,False,False
DOMS Industries Limited,Chemicals & Fertilizers,1,False,False,True,False,False
Oberoi Realty Limited,Real Estate & Construction,1,False,False,True,False,False
NBCC India Limited,Cement Manufacturing,1,False,False,True,False,False
Cello World Limited,Pharmaceuticals & Healthcare,1,False,False,True,False,False
KIOCL Limited,Steel & Iron,1,False,False,True,False,False
RELIANCE POWER LIMITED,Oil & Gas,1,False,False,True,False,False
KNR Constructions Limited,Cement Manufacturing,1,False,False,True,False,False
Ramkrishna Forgings Limited,Chemicals & Fertilizers,1,False,False,True,False,False
KPR MILL LIMITED,Textiles & Apparel,1,False,False,True,False,False
Maharashtra Seamless Limited,Chemicals & Fertilizers,1,False,False,True,False,False
JYOTI CNC AUTOMATION LIMITED,Chemicals & Fertilizers,1,False,False,True,False,False
Kalyan Jewellers India Limited,Pharmaceuticals & Healthcare,1,False,False,True,False,False
ALOK INDUSTRIES LIMITED,Chemicals & Fertilizers,1,False,False,True,False,False
Welspun Corp Limited,Textiles & Apparel,1,False,False,True,False,False
Vedant Fashions Limited,Textiles & Apparel,1,False,False,True,False,False
VALOR ESTATE LIMITED,Chemicals & Fertilizers,1,False,False,True,False,False
Thomas Cook  India  Limited,Chemicals & Fertilizers,1,False,False,True,False,False
JAIPRAKASH POWER VENTURES LIMITED,Power Generation,1,False,False,True,False,False
Star Cement Limited,Cement Manufacturing,1,False,False,True,False,False
JAI BALAJI INDUSTRIES LIMITED,Chemicals & Fertilizers,1,False,False,True,False,False
Sona BLW Precision Forgings Limited,Chemicals & Fertilizers,1,False,False,True,False,False
Solar Industries India Limited,Chemicals & Fertilizers,1,False,False,True,False,False
Signatureglobal India Limited,Chemicals & Fertilizers,1,False,False,True,False,False
ALEMBIC PHARMACEUTICALS LIMITED,Pharmaceuticals & Healthcare,1,False,False,True,False,False
