Company,Sector,Metrics,Confidence,Year
UCO BANK,Financial Services,3,HIGH,FY 2024-25 (Projected)
Bajaj Holdings & Investment Limited,Financial Services,2,HIGH,FY 2024-25
"Adani Airports (Mumbai, Ahmedabad, 6 others)",Other Business Services,4,HIGH,FY 2023-24
Castrol India Limited,Other Business Services,4,HIGH,CY 2023
Larsen & Toubro Limited,Other Business Services,5,HIGH,FY 2023-24
Sanofi India Limited,Other Business Services,6,HIGH,CY 2023
Mahindra & Mahindra Limited,Other Business Services,4,HIGH,FY 2023-24
DIVI'S LABORATORIES LIMITED,Other Business Services,6,HIGH,FY 2023-24
JK Tyre & Industries Limited,Other Business Services,6,HIGH,FY 2023-24
Schaeffler India Limited,Other Business Services,5,HIGH,CY 2024
Jindal Saw Limited,Other Business Services,5,HIGH,FY 2023-24
Narayana Hrudayalaya Ltd.,Other Business Services,5,HIGH,FY 2023-24
Dr. Reddy's Laboratories Limited,Other Business Services,3,HIGH,FY 2023-24
Century Plyboards (India) Limited,Other Business Services,2,HIGH,FY 2024-25
NBCC (India) Limited,Other Business Services,1,MEDIUM,FY 2023-24
Safari Industries (India) Limited,Other Business Services,2,HIGH,FY 2023-24
Minda Corporation Limited,Other Business Services,6,HIGH,FY 2023-24
West Coast Paper Mills Limited,Paper & Pulp,7,HIGH,FY 2023-24
Trident Limited,Textiles & Paper,5,HIGH,FY 2023-24
Welspun Living Limited,Textiles,5,HIGH,FY 2024-25
Nestle India Limited,FMCG,5,HIGH,CY 2022/2023
Bharat Heavy Electricals Limited (BHEL),Engineering,6,HIGH,FY 2023-24
Emami Paper Mills Limited,Paper & Pulp,7,HIGH,FY 2023-24
Seshasayee Paper and Boards Limited,Paper & Pulp,5,HIGH,FY 2023-24
Mahindra Holidays & Resorts India Limited,Hospitality,5,HIGH,FY 2023-24
Angel One Limited,Financial Services,3,MEDIUM,FY 2024-25
Punjab & Sind Bank,Banking,2,MEDIUM,FY 2024-25
S Kumars Nationwide,Textiles,0,LOW,NOT_FOUND
Andhra Paper Limited (formerly Andhra Pradesh Paper Mills),Paper,6,HIGH,FY 2023-24
Monnet Ispat (JSW Ispat Special Products Limited),Steel & Iron,2,MEDIUM,FY 2022-23
Damodar Valley Corporation (DVC),Power,4,HIGH,FY 2024-25
Hindustan Paper Corporation,Paper,0,LOW,NOT_FOUND
Tayo Rolls,Steel & Iron,0,LOW,NOT_FOUND
Raymond Limited,Textiles,2,HIGH,FY 2023-24
West Coast Paper Mills,Paper,7,HIGH,FY 2023-24
Mukand Limited,Steel & Iron,4,HIGH,FY 2023-24
S Kumars Nationwide,Textiles,0,LOW,NOT_FOUND
Trident Limited,Textiles,6,HIGH,FY 2023-24
Welspun Living Limited (formerly Welspun India),Textiles,6,HIGH,FY 2023-24
CCL Products (India) Limited,FMCG,6,HIGH,FY 2023-24
ITC Limited (Paperboards Division),Paper,4,HIGH,FY 2023-24
Vistara (TATA SIA Airlines),Aviation,2,MEDIUM,FY 2023-24
Nestle India,FMCG,5,HIGH,FY 2023-24
Shreyans Industries (Paper),Paper,1,MEDIUM,FY 2023-24
Siyaram Silk Mills,Textiles,2,HIGH,FY 2023-24
Mahindra Holidays & Resorts India Limited,Hospitality,5,HIGH,FY 2023-24
Britannia Industries,FMCG,4,HIGH,FY 2023-24
Hatsun Agro Products,FMCG,3,HIGH,FY 2024-25
Bombay Dyeing,Textiles,1,MEDIUM,FY 2023-24
JK Paper,Paper,7,HIGH,FY 2023-24
Kwality,FMCG,0,LOW,NOT_FOUND
K.P.R. MILL LIMITED,Textiles,5,HIGH,FY 2023-24
Bharat Heavy Electricals Limited (BHEL),Engineering,5,HIGH,FY 2023-24
Mother Dairy,FMCG,5,HIGH,FY 2023-24
KPR Mill Limited,Textiles,5,HIGH,FY 2023-24
Haldiram Snacks Food Private Limited,FMCG,6,HIGH,FY 2023-24
Bangalore International Airport Ltd (BIAL),Airports,6,HIGH,FY 2023-24
Ion Exchange (India) Limited,Water Treatment,3,MEDIUM,FY 2023-24
Cochin International Airport (CIAL),Airports,6,HIGH,FY 2023-24
Century Pulp and Paper (Century Textiles),Paper,2,MEDIUM,FY 2023-24
Seshasayee Paper and Boards Limited,Paper,6,HIGH,FY 2023-24
Garden Reach Shipbuilders & Engineers Limited,Shipbuilding,3,MEDIUM,FY 2024-25
Emami Paper Mills Limited,Paper,7,HIGH,FY 2023-24
Hindustan Coca-Cola Beverages (Coca-Cola India),FMCG,4,HIGH,CY 2024
L&T Finance Limited,Financial Services,7,HIGH,FY 2024-25 (Projected)
Akasa Air,Aviation,3,HIGH,CY 2024-25
Usha Martin Limited,Steel & Iron,4,HIGH,FY 2024-25
Procter & Gamble Health Limited,Healthcare,3,HIGH,FY 2024-25
Data Patterns (India) Limited,Defense & Aerospace,2,MEDIUM,FY 2023-24
