Company_Name,Sector,City,State,Revenue_Cr,Base_MSA_Loss,V7_Direct_EIF,V7_Scope3_Factor,MSA_Intensity_Direct,MSA_Intensity_Scope3,MSA_Intensity_V7_Total,Scope3_Biodiversity_MSA,Data_Tier,Confidence,Scope1_GHG_tCO2e,Scope2_GHG_tCO2e,Scope3_GHG_tCO2e,Water_Consumption_KL,Waste_Generated_MT,Hazardous_Air_Pollutants,Total_GHG_Emissions_tCO2e,GHG_Emissions_Normalized,Water_Consumption_Normalized,Waste_Generated_Normalized,Pollution_Index,Data_Quality_Flag,Land_Owned_ha,Land_Leased_ha,Total_Land_ha,Land_Degraded_HA_Calculated,Land_Restored_ha,Land_Data_Quality,Renewable_Energy_Pct,Land_Degradation_Ratio,Land_Restoration_Ratio,Net_Land_Impact,Distance_To_Protected_Area_km,Land_Degraded_HA_Reported,Land_Intensity,PA_Proximity_Score,Renewable_Energy_GJ,Total_Energy_GJ,Water_Intensity,Water_Stress_Category,Water_Stress_Score,Water_Recycling_Pct,Water_Discharge_ML,Waste_Recycled_Pct,Plastic_Waste_MT,E_Waste_MT,Scope3_OLD,Carbon_Intensity_tCO2e_per_Cr,Waste_Intensity_MT_per_Cr,HAP_Source,HAP_Confidence,HAP_Zero_Category,HAP_Source_Document,HAP_Notes,Water_Discharge_Source,Water_Discharge_Confidence,Water_Discharge_Zero_Category,Water_Discharge_Source_Document,Water_Discharge_Notes,Water_Recycling_Source,Water_Recycling_Confidence,Water_Recycling_Zero_Category,Water_Recycling_Source_Document,Water_Recycling_Notes,Land_Owned_Source,Land_Owned_Confidence,Land_Owned_Zero_Category,Land_Owned_Source_Document,Land_Owned_Notes,Renewable_Energy_Source,Renewable_Energy_Confidence,Renewable_Energy_Zero_Category,Renewable_Energy_Source_Document,Renewable_Energy_Notes,Total_GHG_Emissions_tCO2e_Source,Total_GHG_Emissions_tCO2e_Confidence,Carbon_Intensity_tCO2e_per_Cr_Source,Carbon_Intensity_tCO2e_per_Cr_Confidence,GHG_Emissions_Normalized_Source,GHG_Emissions_Normalized_Confidence,Water_Stress_Score_Source,Water_Stress_Score_Confidence,Renewable_Energy_GJ_Source,Renewable_Energy_GJ_Confidence,Land_Degraded_HA_Reported_Zero_Category,Land_Restored_ha_Zero_Category,Land_Restoration_Ratio_Zero_Category,Land_Leased_ha_Zero_Category,Renewable_Energy_GJ_Zero_Category,Scope1_GHG_tCO2e_Zero_Category,Scope2_GHG_tCO2e_Zero_Category,Water_Consumption_Normalized_Zero_Category,Water_Intensity_Zero_Category,Waste_Generated_Normalized_Zero_Category,Land_Intensity_Zero_Category,Plastic_Waste_MT_Zero_Category,Waste_Recycled_Pct_Zero_Category,Waste_Generated_MT_Zero_Category,Waste_Intensity_MT_per_Cr_Zero_Category,Total_Land_ha_Zero_Category,Land_Degraded_HA_Calculated_Zero_Category,Water_Consumption_KL_Zero_Category,Waste_Generated_MT_Notes,Plastic_Waste_MT_Notes,Scope3_GHG_tCO2e_Notes,Water_Consumption_KL_Notes,Total_GHG_Emissions_tCO2e_Source_Document,Carbon_Intensity_tCO2e_per_Cr_Source_Document,GHG_Emissions_Normalized_Source_Document,Water_Intensity_Source,Water_Intensity_Confidence,Water_Intensity_Source_Document,Water_Consumption_Normalized_Source,Water_Consumption_Normalized_Confidence,Water_Consumption_Normalized_Source_Document,Waste_Intensity_MT_per_Cr_Source,Waste_Intensity_MT_per_Cr_Confidence,Waste_Intensity_MT_per_Cr_Source_Document,Waste_Generated_Normalized_Source,Waste_Generated_Normalized_Confidence,Waste_Generated_Normalized_Source_Document,Land_Intensity_Source,Land_Intensity_Confidence,Land_Intensity_Source_Document,Water_Stress_Score_Source_Document,NC_Climate_Cr,NC_Water_Cr,NC_Land_Cr,NC_Biodiversity_Cr,NC_Pollution_Cr,TAESC_Cr,NIR,NII_Score,NII_Rank,NII_Sector_Rank,NII_Rating,NII_Percentile
Cello World Limited,Pharmaceuticals & Healthcare,Bangalore,Karnataka,1137.9559,0.48,0.0144770016599194,0.003465,0.0035256016218981,0.003465,0.0069906016218981,3.9430171935,Tier 2,75%,48.03,312.42,6907.950339919868,4445.0,1324.97,12.5,7268.400339919868,6387.242545972009,3906.126766423901,0.0,,OK,215.0,45.0,260.0,136.5,0.0,MSA_PROXY_HIGH,0.0,0.525,0.0,0.525,13.640964455332464,0.0,0.2284798558538165,0.0163305132488127,0.0,2269.19,3906.126766423901,Extremely High (4-5),4.19710652610197,14.0,0.0,98.0,8540.0,0.4,0.006829515,6.387242545972009,1.1643421331178123,TIER2_SECTOR_MEDIAN,MEDIUM,,,Imputed using sector median,PRE_V7_BASELINE,LOW-MEDIUM,LEGITIMATE_ZLD,,Pre-existing zero - LEGITIMATE_ZLD,PRE_V7_BASELINE,MEDIUM,,,Carried forward from earlier version (v3/v4/GIS),PRE_V7_BASELINE,MEDIUM,,,Carried forward from earlier version (v3/v4/GIS),PRE_V7_BASELINE,LOW-MEDIUM,LEGITIMATE_OTHER,,Pre-existing zero - LEGITIMATE_OTHER,CALCULATED_SUM_SCOPES,MEDIUM,CALCULATED_RATIO_GHG_REVENUE,MEDIUM,CALCULATED_MEDIAN_NORM,MEDIUM,CALCULATED_GIS_AQUEDUCT,HIGH,,,LEGITIMATE_NO_DISCLOSURE,LEGITIMATE_NO_RESTORATION_PROGRAM,LEGITIMATE_NO_RESTORATION_PROGRAM,,LEGITIMATE_OTHER,,,,,LEGITIMATE_SERVICE,,,,,,,,,,,,,Calculated: Scope1 + Scope2 + Scope3,Calculated: Total_GHG / Revenue_Cr,Calculated: (Total_GHG / Median) * 100000,CALCULATED_RATIO_WATER_REVENUE,MEDIUM,Calculated: Water_Consumption / Revenue_Cr,CALCULATED_MEDIAN_NORM,MEDIUM,Calculated: (Water_Consumption / Median) * 100000,CALCULATED_RATIO_WASTE_REVENUE,MEDIUM,Calculated: Waste_Generated / Revenue_Cr,,,,CALCULATED_RATIO_LAND_REVENUE,MEDIUM,Calculated: Total_Land / Revenue_Cr,WRI Aqueduct 3.0 baseline water stress by state,3.242261394465944,0.1768211293163397,19.24,50.664234125477115,44.0548944,117.37821104925939,0.10314829515736014,4.2,302,41,Average,42.0
Century Plyboards India Limited,Chemicals & Fertilizers,Kolkata,West Bengal,4279.6810638,0.58,0.0374641669027132,0.005225,0.0056882766501501,0.005225,0.0109132766501501,22.361333558355,Tier 2,75%,50393.0,76345.0,45600.0,520423.0,187496.945,12.0,172338.0,40268.88859960472,121603.2204834226,43810.96212658388,0.0,OK,115.0,22.0,137.0,71.9387,0.0,,12.0,0.5251,0.0,,13.640964455332464,0.0,0.0320117312382982,0.0191551902605759,51600.0,645000.0,121603.2204834226,Low-Medium (1-2),1.9249875545980064,18.2,15400.0,95.0,415.0,1.2,0.0199594999999999,40.26888859960472,43.81096212658388,PRE_V7_BASELINE,MEDIUM,,,Carried forward from earlier version (v3/v4/GIS),PRE_V7_BASELINE,MEDIUM,,,Carried forward from earlier version (v3/v4/GIS),PRE_V7_BASELINE,MEDIUM,,,Carried forward from earlier version (v3/v4/GIS),PRE_V7_BASELINE,MEDIUM,,,Carried forward from earlier version (v3/v4/GIS),PRE_V7_BASELINE,MEDIUM,,,Carried forward from earlier version (v3/v4/GIS),CALCULATED_SUM_SCOPES,MEDIUM,CALCULATED_RATIO_GHG_REVENUE,MEDIUM,CALCULATED_MEDIAN_NORM,MEDIUM,CALCULATED_GIS_AQUEDUCT,HIGH,,,LEGITIMATE_NO_DISCLOSURE,LEGITIMATE_NO_DISCLOSURE,LEGITIMATE_NO_RESTORATION_PROGRAM,,,,,,,,,,,,,,,,,,,,Calculated: Scope1 + Scope2 + Scope3,Calculated: Total_GHG / Revenue_Cr,Calculated: (Total_GHG / Median) * 100000,CALCULATED_RATIO_WATER_REVENUE,MEDIUM,Calculated: Water_Consumption / Revenue_Cr,CALCULATED_MEDIAN_NORM,MEDIUM,Calculated: (Water_Consumption / Median) * 100000,CALCULATED_RATIO_WASTE_REVENUE,MEDIUM,Calculated: Waste_Generated / Revenue_Cr,CALCULATED_MEDIAN_NORM,MEDIUM,Calculated: (Waste_Generated / Median) * 100000,CALCULATED_RATIO_LAND_REVENUE,MEDIUM,Calculated: Total_Land / Revenue_Cr,WRI Aqueduct 3.0 baseline water stress by state,117.10722,10.561112131473374,12.331096,236.3843566537848,198.95579225000003,575.3395770352582,0.1344351526336415,3.2,355,112,Poor,32.0
Chalet Hotels Limited,Chemicals & Fertilizers,Hyderabad,Telangana,2612.05,0.45,0.0374641669027132,0.005225,0.0117238352616279,0.005225,0.0169488352616279,13.64796125,Tier 2,75%,5051.56,15228.93,106399.28,652047.37,31614.67,14.5,126679.77,48498.21787484925,249630.5086043529,12103.393886028212,0.0,OK,45.0,115.0,160.0,84.016,0.0,MSA_PROXY_MED,43.63,0.5251,0.0,0.225,5.972208838233445,0.0,0.0612545701651959,0.1209791604728448,109509.89,250997.0,249630.5086043529,Low-Medium (1-2),1.9763731326109468,78.0,0.0,65.0,18.4,2.8,0.00751355,48.49821787484925,12.103393886028211,GEMINI_G6.1_405_HAP,HIGH,,BRSR FY24,"Emissions from DG sets/boilers: PM 4.2t, NOx 10.3t",GEMINI_QUICK_EXTRACTION,HIGH,LEGITIMATE_ZLD,BRSR FY24,Hospitality; 100% recycling/reuse and ZLD confirmed across sites,PRE_V7_BASELINE,MEDIUM,,,Carried forward from earlier version (v3/v4/GIS),PRE_V7_BASELINE,MEDIUM,,,Carried forward from earlier version (v3/v4/GIS),PRE_V7_BASELINE,MEDIUM,,,Carried forward from earlier version (v3/v4/GIS),CALCULATED_SUM_SCOPES,MEDIUM,CALCULATED_RATIO_GHG_REVENUE,MEDIUM,CALCULATED_MEDIAN_NORM,MEDIUM,CALCULATED_GIS_AQUEDUCT,HIGH,,,LEGITIMATE_NO_DISCLOSURE,LEGITIMATE_NO_RESTORATION_PROGRAM,LEGITIMATE_NO_RESTORATION_PROGRAM,,,,,,,,,,,,,,,,,,,,Calculated: Scope1 + Scope2 + Scope3,Calculated: Total_GHG / Revenue_Cr,Calculated: (Total_GHG / Median) * 100000,CALCULATED_RATIO_WATER_REVENUE,MEDIUM,Calculated: Water_Consumption / Revenue_Cr,CALCULATED_MEDIAN_NORM,MEDIUM,Calculated: (Water_Consumption / Median) * 100000,CALCULATED_RATIO_WASTE_REVENUE,MEDIUM,Calculated: Waste_Generated / Revenue_Cr,CALCULATED_MEDIAN_NORM,MEDIUM,Calculated: (Waste_Generated / Median) * 100000,CALCULATED_RATIO_LAND_REVENUE,MEDIUM,Calculated: Total_Land / Revenue_Cr,WRI Aqueduct 3.0 baseline water stress by state,41.235093818,9.063646557384383,14.40128,180.49069188549976,42.7921295,287.9828417608841,0.11025165741884119,3.9,318,95,Poor,39.0
Chemplast Sanmar Limited,Chemicals & Fertilizers,Pune,Maharashtra,2408.74,0.42,0.0374641669027132,0.005225,0.0040099261210855,0.005225,0.0092349261210855,12.5856665,Tier 2,75%,559948.66,80885.3,8679.55,14395195.0,31717.522,220.0,649513.5100000001,269648.65863480495,5976234.46283119,13167.681858565062,0.0,OK,154.0,12.0,166.0,87.1666,0.0,,2.21,0.5251,0.0,,13.640964455332464,0.0,0.0689156986640318,0.0536544167809942,130646.61,5903446.5,5976234.46283119,Extremely High (4-5),4.957509669815912,100.0,0.0,42.0,12.5,1.4,0.0205028999999999,269.648658634805,13.16768185856506,PRE_V7_BASELINE,MEDIUM,,,Carried forward from earlier version (v3/v4/GIS),PRE_V7_BASELINE,LOW-MEDIUM,LEGITIMATE_ZLD,,Pre-existing zero - LEGITIMATE_ZLD,PRE_V7_BASELINE,MEDIUM,,,Carried forward from earlier version (v3/v4/GIS),PRE_V7_BASELINE,MEDIUM,,,Carried forward from earlier version (v3/v4/GIS),PRE_V7_BASELINE,MEDIUM,,,Carried forward from earlier version (v3/v4/GIS),CALCULATED_SUM_SCOPES,MEDIUM,CALCULATED_RATIO_GHG_REVENUE,MEDIUM,CALCULATED_MEDIAN_NORM,MEDIUM,CALCULATED_GIS_AQUEDUCT,HIGH,,,LEGITIMATE_NO_DISCLOSURE,LEGITIMATE_NO_DISCLOSURE,LEGITIMATE_NO_RESTORATION_PROGRAM,,,,,,,,,,,,,,,,,,,,Calculated: Scope1 + Scope2 + Scope3,Calculated: Total_GHG / Revenue_Cr,Calculated: (Total_GHG / Median) * 100000,CALCULATED_RATIO_WATER_REVENUE,MEDIUM,Calculated: Water_Consumption / Revenue_Cr,CALCULATED_MEDIAN_NORM,MEDIUM,Calculated: (Water_Consumption / Median) * 100000,CALCULATED_RATIO_WASTE_REVENUE,MEDIUM,Calculated: Waste_Generated / Revenue_Cr,CALCULATED_MEDIAN_NORM,MEDIUM,Calculated: (Waste_Generated / Median) * 100000,CALCULATED_RATIO_LAND_REVENUE,MEDIUM,Calculated: Total_Land / Revenue_Cr,WRI Aqueduct 3.0 baseline water stress by state,523.078361732,357.1274203512355,14.941328,117.62363702908263,50.19698476,1062.9677318723182,0.44129616806808464,1.1,465,144,Critical,11.0
Cholamandalam Financial Holdings Limited,Banking & Financial Services,Ahmedabad,Gujarat,34179.06,0.51,0.0011797441546504,0.000297,1.7983422877896847e-05,0.000297,0.0003149834228778,10.15118082,Tier 2,75%,621.0,13369.0,26423.0,619242.0,368.25,0.0,40413.0,1182.390621626224,18117.584275284345,10.774140658052035,,OK,0.0,0.0,0.0,0.0,0.0,,0.0,,,,13.640964455332464,0.0,0.0,0.0633382280852768,0.0,1200.0,18117.584275284345,Extremely High (4-5),4.948067374219448,0.0,0.0,95.0,0.2,0.8,0.009936698275862,1.182390621626224,0.010774140658052,GEMINI_G6.1_405_HAP,HIGH,LEGITIMATE_SERVICE,BRSR FY24,Financial Services - BRSR explicitly reports Nil,PRE_V7_BASELINE,LOW-MEDIUM,LEGITIMATE_SERVICE,,Pre-existing zero - LEGITIMATE_SERVICE,PRE_V7_BASELINE,LOW-MEDIUM,LEGITIMATE_SERVICE,,Pre-existing zero - LEGITIMATE_SERVICE,PRE_V7_BASELINE,LOW-MEDIUM,LEGITIMATE_OTHER,,Pre-existing zero - LEGITIMATE_OTHER,GEMINI_32_NAN_EXTRACTION,HIGH,LEGITIMATE_SERVICE,BRSR FY24,Financial Services; No renewable energy consumption reported.,CALCULATED_SUM_SCOPES,MEDIUM,CALCULATED_RATIO_GHG_REVENUE,MEDIUM,CALCULATED_MEDIAN_NORM,MEDIUM,CALCULATED_GIS_AQUEDUCT,HIGH,,,LEGITIMATE_NO_DISCLOSURE,LEGITIMATE_NO_DISCLOSURE,,LEGITIMATE_NO_LAND,LEGITIMATE_SERVICE,,,,,,LEGITIMATE_NO_LAND,,,,,LEGITIMATE_NO_LAND,LEGITIMATE_NO_LAND,,,,,,Calculated: Scope1 + Scope2 + Scope3,Calculated: Total_GHG / Revenue_Cr,Calculated: (Total_GHG / Median) * 100000,CALCULATED_RATIO_WATER_REVENUE,MEDIUM,Calculated: Water_Consumption / Revenue_Cr,CALCULATED_MEDIAN_NORM,MEDIUM,Calculated: (Water_Consumption / Median) * 100000,CALCULATED_RATIO_WASTE_REVENUE,MEDIUM,Calculated: Waste_Generated / Revenue_Cr,CALCULATED_MEDIAN_NORM,MEDIUM,Calculated: (Waste_Generated / Median) * 100000,,,,WRI Aqueduct 3.0 baseline water stress by state,23.121275,30.672670232517593,0.0,2017.8598560046148,0.3932625,2072.0470637371327,0.06062328992479995,8.0,103,30,Excellent,80.0
Cholamandalam Investment and Finance Company Limited,Banking & Financial Services,Mumbai,Maharashtra,26054.76,0.55,0.0011797441546504,0.000297,2.4906456378752564e-05,0.000297,0.0003219064563787,7.73826372,Tier 2,75%,356.0,16924.0,33680.62,536904.0,7.12,0.0,50960.62,1955.9044105568428,0.0,0.2732706039126824,,OK,0.0,12.0,12.0,2.7,0.0,,1.2,0.225,0.0,,13.640964455332464,0.0,0.0004605684335607,0.0633382280852768,354.0,35400.0,0.0,Extremely High (4-5),4.948067374219448,0.0,125000.0,92.0,4.5,148.0,0.007737399681897,1.9559044105568428,0.0002732706039126,GEMINI_G6.1_405_HAP,HIGH,LEGITIMATE_SERVICE,BRSR FY24,Financial Services - BRSR explicitly reports Nil,PRE_V7_BASELINE,MEDIUM,,,Carried forward from earlier version (v3/v4/GIS),PRE_V7_BASELINE,LOW-MEDIUM,LEGITIMATE_SERVICE,,Pre-existing zero - LEGITIMATE_SERVICE,PRE_V7_BASELINE,LOW-MEDIUM,LEGITIMATE_OTHER,,Pre-existing zero - LEGITIMATE_OTHER,PRE_V7_BASELINE,MEDIUM,,,Carried forward from earlier version (v3/v4/GIS),CALCULATED_SUM_SCOPES,MEDIUM,CALCULATED_RATIO_GHG_REVENUE,MEDIUM,CALCULATED_MEDIAN_NORM,MEDIUM,CALCULATED_GIS_AQUEDUCT,HIGH,,,LEGITIMATE_NO_DISCLOSURE,LEGITIMATE_NO_DISCLOSURE,LEGITIMATE_NO_RESTORATION_PROGRAM,,,,,LEGITIMATE_SERVICE,LEGITIMATE_SERVICE,,,,,,,,,,,,,,Calculated: Scope1 + Scope2 + Scope3,Calculated: Total_GHG / Revenue_Cr,Calculated: (Total_GHG / Median) * 100000,,,,,,,CALCULATED_RATIO_WASTE_REVENUE,MEDIUM,Calculated: Waste_Generated / Revenue_Cr,CALCULATED_MEDIAN_NORM,MEDIUM,Calculated: (Waste_Generated / Median) * 100000,CALCULATED_RATIO_LAND_REVENUE,MEDIUM,Calculated: Total_Land / Revenue_Cr,WRI Aqueduct 3.0 baseline water stress by state,28.9336583,26.594254489391272,0.36,1658.5593699888411,1.0661896,1715.5134723782323,0.06584261272712673,7.3,140,36,Good,73.0
Cipla Limited,Pharmaceuticals & Healthcare,Delhi,Delhi,27547.619447843,0.62,0.0144770016599194,0.003465,0.0003482478865969,0.003465,0.0038132478865969,95.452501386776,Tier 2,75%,778218.0,129087.0,5028316.0,1632537.0,32213.0,342.1,5935621.0,215467.6563337223,59262.36214678902,1169.3569406601594,0.0,OK,850.0,45.0,895.0,469.875,0.0,MSA_PROXY_HIGH,29.0,0.525,0.0,0.5250279329608938,5.972208838233445,0.0,0.032489195725044,0.1003648232882902,585223.0,2018011.0,59262.36214678902,Medium-High (2-3),2.725198127760862,48.5,0.0,84.0,1450.0,14.8,0.08930691,215.4676563337223,1.1693569406601594,GEMINI_G6.1_405_HAP,HIGH,,BRSR FY24,"Comprehensive sum of PM, NOx, SOx, and VOCs",PRE_V7_BASELINE,LOW-MEDIUM,LEGITIMATE_ZLD,,Pre-existing zero - LEGITIMATE_ZLD,PRE_V7_BASELINE,MEDIUM,,,Carried forward from earlier version (v3/v4/GIS),PRE_V7_BASELINE,MEDIUM,,,Carried forward from earlier version (v3/v4/GIS),PRE_V7_BASELINE,MEDIUM,,,Carried forward from earlier version (v3/v4/GIS),CALCULATED_SUM_SCOPES,MEDIUM,CALCULATED_RATIO_GHG_REVENUE,MEDIUM,CALCULATED_MEDIAN_NORM,MEDIUM,CALCULATED_GIS_AQUEDUCT,HIGH,,,LEGITIMATE_NO_DISCLOSURE,LEGITIMATE_NO_RESTORATION_PROGRAM,LEGITIMATE_NO_RESTORATION_PROGRAM,,,,,,,,,,,,,,,,,,,,Calculated: Scope1 + Scope2 + Scope3,Calculated: Total_GHG / Revenue_Cr,Calculated: (Total_GHG / Median) * 100000,CALCULATED_RATIO_WATER_REVENUE,MEDIUM,Calculated: Water_Consumption / Revenue_Cr,CALCULATED_MEDIAN_NORM,MEDIUM,Calculated: (Water_Consumption / Median) * 100000,CALCULATED_RATIO_WASTE_REVENUE,MEDIUM,Calculated: Waste_Generated / Revenue_Cr,CALCULATED_MEDIAN_NORM,MEDIUM,Calculated: (Waste_Generated / Median) * 100000,CALCULATED_RATIO_LAND_REVENUE,MEDIUM,Calculated: Total_Land / Revenue_Cr,WRI Aqueduct 3.0 baseline water stress by state,2794.8273326,36.514201232200534,66.23,2374.030887087833,44.737785,5316.340205920033,0.19298728211291255,2.3,402,54,Poor,23.0
Clean Science and Technology Limited,Chemicals & Fertilizers,Bangalore,Karnataka,922.316,0.48,0.0009696637386769,0.000396,0.0005847218524684,0.000396,0.0009807218524684,0.365237136,Tier 2,75%,126116.54,8081.33,770.0,422006.54,11059.99,42.5,134967.87,146335.82199593197,457550.92614678695,11991.54086018241,0.0,OK,85.0,12.0,97.0,21.8444,0.0,,15.0,0.2251999999999999,0.0,,101.9533924897166,0.0,0.1051700284934881,0.0089246739301127,27675.0,184500.0,457550.92614678695,Extremely High (4-5),4.524927260640533,100.0,0.0,45.0,14.2,0.6,0.000315216,146.33582199593198,11.99154086018241,GEMINI_G6.1_405_HAP,HIGH,,BRSR FY24,"Sum of PM, NOx, SOx",PRE_V7_BASELINE,LOW-MEDIUM,LEGITIMATE_ZLD,,Pre-existing zero - LEGITIMATE_ZLD,PRE_V7_BASELINE,MEDIUM,,,Carried forward from earlier version (v3/v4/GIS),PRE_V7_BASELINE,MEDIUM,,,Carried forward from earlier version (v3/v4/GIS),CALCULATED_FROM_GJ,HIGH,,,Carried forward from earlier version (v3/v4/GIS),CALCULATED_SUM_SCOPES,MEDIUM,CALCULATED_RATIO_GHG_REVENUE,MEDIUM,CALCULATED_MEDIAN_NORM,MEDIUM,CALCULATED_GIS_AQUEDUCT,HIGH,,,LEGITIMATE_NO_DISCLOSURE,LEGITIMATE_NO_DISCLOSURE,LEGITIMATE_NO_RESTORATION_PROGRAM,,,,,,,,,,,,,,,,,,,,Calculated: Scope1 + Scope2 + Scope3,Calculated: Total_GHG / Revenue_Cr,Calculated: (Total_GHG / Median) * 100000,CALCULATED_RATIO_WATER_REVENUE,MEDIUM,Calculated: Water_Consumption / Revenue_Cr,CALCULATED_MEDIAN_NORM,MEDIUM,Calculated: (Water_Consumption / Median) * 100000,CALCULATED_RATIO_WASTE_REVENUE,MEDIUM,Calculated: Waste_Generated / Revenue_Cr,CALCULATED_MEDIAN_NORM,MEDIUM,Calculated: (Waste_Generated / Median) * 100000,CALCULATED_RATIO_LAND_REVENUE,MEDIUM,Calculated: Total_Land / Revenue_Cr,WRI Aqueduct 3.0 baseline water stress by state,109.0320245,9.647986386565654,6.403552,37.81214510586934,17.2203095,180.116017492435,0.19528666692590715,2.2,407,128,Poor,22.0
Cochin Shipyard Limited,Transportation & Logistics,Chennai,Tamil Nadu,4527.841516908999,0.52,0.065,0.0125,0.0088250652741514,0.0125,0.0213250652741514,56.5980189613625,Tier 2,75%,2687.63,28736.33,32400.0,573954.0,12621.181,0.0,63823.96000000001,14095.89089230544,126761.06216540423,2787.460858085873,0.0,OK,85.0,245.0,330.0,123.75,0.0,,12.0,0.375,0.0,,101.9533924897166,0.0,0.072882409591332,0.0059728136148295,51000.0,425000.0,126761.06216540423,High (3-4),3.596079698866581,12.4,45000.0,88.0,48.0,4.2,0.047875,14.09589089230544,2.787460858085873,PRE_V7_BASELINE,LOW-MEDIUM,LEGITIMATE_OTHER,,Pre-existing zero - LEGITIMATE_OTHER,PRE_V7_BASELINE,MEDIUM,,,Carried forward from earlier version (v3/v4/GIS),PRE_V7_BASELINE,MEDIUM,,,Carried forward from earlier version (v3/v4/GIS),PRE_V7_BASELINE,MEDIUM,,,Carried forward from earlier version (v3/v4/GIS),CALCULATED_FROM_GJ,HIGH,,,Carried forward from earlier version (v3/v4/GIS),CALCULATED_SUM_SCOPES,MEDIUM,CALCULATED_RATIO_GHG_REVENUE,MEDIUM,CALCULATED_MEDIAN_NORM,MEDIUM,CALCULATED_GIS_AQUEDUCT,HIGH,,,LEGITIMATE_NO_DISCLOSURE,LEGITIMATE_NO_DISCLOSURE,LEGITIMATE_NO_RESTORATION_PROGRAM,,,,,,,,,,,,,,,,,,,,Calculated: Scope1 + Scope2 + Scope3,Calculated: Total_GHG / Revenue_Cr,Calculated: (Total_GHG / Median) * 100000,CALCULATED_RATIO_WATER_REVENUE,MEDIUM,Calculated: Water_Consumption / Revenue_Cr,CALCULATED_MEDIAN_NORM,MEDIUM,Calculated: (Water_Consumption / Median) * 100000,CALCULATED_RATIO_WASTE_REVENUE,MEDIUM,Calculated: Waste_Generated / Revenue_Cr,CALCULATED_MEDIAN_NORM,MEDIUM,Calculated: (Waste_Generated / Median) * 100000,CALCULATED_RATIO_LAND_REVENUE,MEDIUM,Calculated: Total_Land / Revenue_Cr,WRI Aqueduct 3.0 baseline water stress by state,30.596566,20.115999952613763,23.1,224.5324158310607,14.40512272,312.7501045036745,0.0690726703520264,7.0,155,1,Good,70.0
Coforge Limited,Information Technology,Kolkata,West Bengal,5557.025307697,0.58,0.0009696637386769,0.000396,6.127083216391785e-05,0.000396,0.0004572708321639,2.200582021848012,Tier 2,75%,1265.0,6344.0,29836.0,141895.0,56.467,0.0,37445.0,6738.317341858273,25534.34475158178,10.16137175437872,0.0,OK,22.0,45.0,67.0,15.088399999999998,0.0,MSA_PROXY_HIGH,28.4,0.2251999999999999,0.0,0.2253731343283582,13.640964455332464,0.0,0.0120568103059021,0.0173458785617217,35613.6,125400.0,25534.34475158178,Extremely High (4-5),4.988669245284243,42.0,0.0,95.0,1.4,85.2,0.0036348839999999,6.738317341858273,0.0101613717543787,PRE_V7_BASELINE,LOW-MEDIUM,LEGITIMATE_SERVICE,,Pre-existing zero - LEGITIMATE_SERVICE,PRE_V7_BASELINE,LOW-MEDIUM,LEGITIMATE_SERVICE,,Pre-existing zero - LEGITIMATE_SERVICE,PRE_V7_BASELINE,MEDIUM,,,Carried forward from earlier version (v3/v4/GIS),PRE_V7_BASELINE,MEDIUM,,,Carried forward from earlier version (v3/v4/GIS),PRE_V7_BASELINE,MEDIUM,,,Carried forward from earlier version (v3/v4/GIS),CALCULATED_SUM_SCOPES,MEDIUM,CALCULATED_RATIO_GHG_REVENUE,MEDIUM,CALCULATED_MEDIAN_NORM,MEDIUM,CALCULATED_GIS_AQUEDUCT,HIGH,,,LEGITIMATE_NO_DISCLOSURE,LEGITIMATE_SERVICE,LEGITIMATE_SERVICE,,,,,,,,,,,,,,,,,,,,Calculated: Scope1 + Scope2 + Scope3,Calculated: Total_GHG / Revenue_Cr,Calculated: (Total_GHG / Median) * 100000,CALCULATED_RATIO_WATER_REVENUE,MEDIUM,Calculated: Water_Consumption / Revenue_Cr,CALCULATED_MEDIAN_NORM,MEDIUM,Calculated: (Water_Consumption / Median) * 100000,CALCULATED_RATIO_WASTE_REVENUE,MEDIUM,Calculated: Waste_Generated / Revenue_Cr,CALCULATED_MEDIAN_NORM,MEDIUM,Calculated: (Waste_Generated / Median) * 100000,CALCULATED_RATIO_LAND_REVENUE,MEDIUM,Calculated: Total_Land / Revenue_Cr,WRI Aqueduct 3.0 baseline water stress by state,12.24603432,5.593421202398812,2.547072,290.2542199901455,0.66269035,311.3034378625443,0.05601979847587879,8.5,77,18,Excellent,85.0
