Company_Name,Registered_Office_Address,Corporate_Office_Address,Primary_Address
Bajaj Auto Limited,"Mumbai-Pune Road, Akurdi, Pune – 411035, India","Mumbai-Pune Road, Akurdi, Pune – 411035, India","Mumbai-Pune Road, Akurdi, Pune – 411035, India"
BAJAJ ELECTRICALS LIMITED,"45/47, Veer Nariman Road, Mumbai 400001","Bajaj Electricals Limited, 26th and 27th Floors, One Unity Center, Senapati Bapat Marg, Prabhadevi 
(West), Mumbai – 400013","Bajaj Electricals Limited, 26th and 27th Floors, One Unity Center, Senapati Bapat Marg, Prabhadevi 
(West), Mumbai – 400013"
Bajaj Finance Limited,"Akurdi, Pune - 411035","4th Floor, Bajaj Finserv Corporate office, Off Pune - Ahmednagar Road, Viman Nagar, Pune - 411014","4th Floor, Bajaj Finserv Corporate office, Off Pune - Ahmednagar Road, Viman Nagar, Pune - 411014"
Bajaj Finserv Limited,"Bajaj Auto Limited Complex Mumbai - Pune Road, Pune","6th Floor, Bajaj Finserv Corporate office, Off Pune Ahmednagar Road, Viman Nagar, Pune - 411014","6th Floor, Bajaj Finserv Corporate office, Off Pune Ahmednagar Road, Viman Nagar, Pune - 411014"
Bajaj Holdings  Investment Limited,"C/o. Bajaj Auto Ltd., Mumbai-Pune Road, Akurdi,","3rd Floor, Panchshil Tech Park, Viman Nagar, Pune – 411014","3rd Floor, Panchshil Tech Park, Viman Nagar, Pune – 411014"
Balkrishna Industries Limited,"B-66, Waluj MIDC, Waluj Industrial Area, Chhatrapati Sambhaji Nagar, 431136 – Maharashtra","BKT House, C/15, Trade World, Kamala Mills Compound, Senapati Bapat Marg, Lower Parel, Mumbai – 400 013, India","BKT House, C/15, Trade World, Kamala Mills Compound, Senapati Bapat Marg, Lower Parel, Mumbai – 400 013, India"
Balrampur Chini Mills Limited,"234/3A, A J C Bose Road, FMC Fortuna, 2nd Floor, Kolkata 700020","234/3A, A J C Bose Road, FMC Fortuna, 2nd Floor, Kolkata 700020","234/3A, A J C Bose Road, FMC Fortuna, 2nd Floor, Kolkata 700020"
Bandhan Bank Limited,"DN-32, Sector – V, Salt Lake, Kolkata – 700 091, West Bengal","Floors 12-14, Adventz Infinity@5, BN-5, Sector V, Salt Lake City, Kolkata - 700 091, West Bengal","Floors 12-14, Adventz Infinity@5, BN-5, Sector V, Salt Lake City, Kolkata - 700 091, West Bengal"
Bank of Baroda,"Baroda House Mandvi Vadodara 390001
Gujarat India","Baroda Corporate Centre, Plot No. C-26, Block G, Bandra Kurla Complex, Bandra (East), Mumbai – 400051, Maharashtra, India","Baroda Corporate Centre, Plot No. C-26, Block G, Bandra Kurla Complex, Bandra (East), Mumbai – 400051, Maharashtra, India"
BANK OF INDIA,"Star House, C-5, G-Block, 8th Floor, Bandra Kurla Complex, Bandra (East), Mumbai – 400 051","Star House, C-5, G-Block, 8th Floor, Bandra Kurla Complex, Bandra (East), Mumbai – 400 051","Star House, C-5, G-Block, 8th Floor, Bandra Kurla Complex, Bandra (East), Mumbai – 400 051"
BANK OF MAHARASHTRA,"Lokmangal, 1501, Shivajinagar, Pune","Lokmangal, 1501, Shivajinagar, Pune","Lokmangal, 1501, Shivajinagar, Pune"
BASF India Limited,"Unit Nos. 10A, 10B, 10C (Part), 10th Floor, Godrej One, Pirojshanagar, Eastern Express Highway, Vikhroli (East), Mumbai 400 079","Unit Nos. 10A, 10B, 10C (Part), 10th Floor, Godrej One, Pirojshanagar, Eastern Express Highway, Vikhroli (East), Mumbai 400 079","Unit Nos. 10A, 10B, 10C (Part), 10th Floor, Godrej One, Pirojshanagar, Eastern Express Highway, Vikhroli (East), Mumbai 400 079"
BATA INDIA LIMITED,"27B, Camac Street, 1st Floor, Kolkata - 700016, West Bengal","Milestone Experion Centre, 2nd Floor, Sector-15, Part – II, Gurugram – 122001, Haryana","Milestone Experion Centre, 2nd Floor, Sector-15, Part – II, Gurugram – 122001, Haryana"
BEML Limited,"BEML Soudha, 23/1, 4th Main, S R Nagar, Bengaluru – 560027","BEML Soudha, 23/1, 4th Main, S R Nagar, Bengaluru – 560027","BEML Soudha, 23/1, 4th Main, S R Nagar, Bengaluru – 560027"
Bharat Dynamics Limited,"KANCHANBAGH, HYDERABAD TG 500058 IN","Plot No.38-39, TSFC Building, Near ICICI Towers, Financial District, Nanakramguda HYDERABAD TG 500032 IN","Plot No.38-39, TSFC Building, Near ICICI Towers, Financial District, Nanakramguda HYDERABAD TG 500032 IN"
BHARAT ELECTRONICS LIMITED,"Outer Ring Raod, Nagavara, Bengaluru - 560045","Outer Ring Raod, Nagavara, Bengaluru - 560045","Outer Ring Raod, Nagavara, Bengaluru - 560045"
Bharat Forge Limited,"Mundhwa, Pune Cantonment, Pune - 411 036, Maharashtra, India","Mundhwa, Pune Cantonment, Pune - 411 036, Maharashtra, India","Mundhwa, Pune Cantonment, Pune - 411 036, Maharashtra, India"
BHARAT HEAVY ELECTRICALS LIMITED,"BHEL House, Siri Fort, New Delhi – 110049","BHEL House, Siri Fort, New Delhi – 110049","BHEL House, Siri Fort, New Delhi – 110049"
Bharti Airtel Limited,"Airtel Centre, Plot No. 16, Udyog Vihar, Phase-IV, Gurugram, Haryana- 122 015, India","Bharti Crescent, 1 Nelson Mandela Road, Vasant Kunj, Phase II, New Delhi- 110 070, India","Bharti Crescent, 1 Nelson Mandela Road, Vasant Kunj, Phase II, New Delhi- 110 070, India"
Bharti Hexacom Limited,"Airtel Center, Plot No. 16, Udyog Vihar, Phase-IV,
Gurugram - 122015, India","Bharti Crescent, 1, Nelson Mandela Road,
Vasant Kunj, Phase II, New Delhi - 110070, India","Bharti Crescent, 1, Nelson Mandela Road,
Vasant Kunj, Phase II, New Delhi - 110070, India"
Bikaji Foods International Limited,"F 196-199, F 178 & E 188 Bichhwal Industrial Area, Bikaner – 334 006 Rajasthan, India","Plot No. E-558-561, C-569-572, E- 573-577, F-585-592 Karni Extension, RIICO Industrial Area, Bikaner – 334 004 Rajasthan, India","Plot No. E-558-561, C-569-572, E- 573-577, F-585-592 Karni Extension, RIICO Industrial Area, Bikaner – 334 004 Rajasthan, India"
Biocon Limited,"20th KM, Hosur Road, Electronic City, Bangalore 560 100, Karnataka, India","20th KM, Hosur Road, Electronic City, Bangalore 560 100, Karnataka, India","20th KM, Hosur Road, Electronic City, Bangalore 560 100, Karnataka, India"
Birlasoft Limited,"35 & 36, Rajiv Gandhi Infotech Park, Phase-I, MIDC, Hinjawadi, Pune-411057, Maharashtra, India.","Assotech Business Cresterra, Tower 3, Plot No. 22, Sector 135,
Expressway Noida - 201301, India.","Assotech Business Cresterra, Tower 3, Plot No. 22, Sector 135,
Expressway Noida - 201301, India."
Birla Corporation Limited,"9/1, R N Mukherjee Road, Birla Building, Kolkata 700 001","1, Shakespeare Sarani (2nd Floor), Kolkata 700 071","1, Shakespeare Sarani (2nd Floor), Kolkata 700 071"
BLS International Services Limited,"G-4B-1 Extension, Mohan Co-Operative Indl. Estate, Mathura Road, New Delhi 110044","912, Indraprakash Building, 21, Barakhamba Road, New Delhi 110001","912, Indraprakash Building, 21, Barakhamba Road, New Delhi 110001"
Blue Dart Express Limited,"Blue Dart Centre, Sahar Airport Road, Andheri (East), Mumbai – 400099","Blue Dart Centre, Sahar Airport Road, Andheri (East), Mumbai – 400099","Blue Dart Centre, Sahar Airport Road, Andheri (East), Mumbai – 400099"
Blue Star Limited,"Kasturi Buildings, Mohan T Advani Chowk, Jamshedji Tata Road, Mumbai 400020","Band Box House, Dr Annie Besant Road, Worli, Mumbai 400030","Band Box House, Dr Annie Besant Road, Worli, Mumbai 400030"
Bosch limited,"Hosur Road, Adugodi, bangalore, Karnataka, 560030, India","Hosur Road, Adugodi, bangalore, Karnataka, 560030, India","Hosur Road, Adugodi, bangalore, Karnataka, 560030, India"
Brigade Enterprises Limited,"29th & 30th Floor, World Trade Center, 26/1, Brigade Gateway Dr. Rajkumar Road, Malleswaram-Rajajinagar Bangalore - 560055","29th & 30th Floor, World Trade Center, 26/1, Brigade Gateway Dr. Rajkumar Road, Malleswaram-Rajajinagar Bangalore - 560055","29th & 30th Floor, World Trade Center, 26/1, Brigade Gateway Dr. Rajkumar Road, Malleswaram-Rajajinagar Bangalore - 560055"
Britannia Industries Limited,"5/1A, Hungerford Street, Kolkata-700017, West Bengal, India","Prestige Shantiniketan, The Business Precinct, Tower C, 15th, 16th & 17th Floor, Whitefield Main Road,Mahadevapura Post, Bengaluru - 560048, Karnataka, India","Prestige Shantiniketan, The Business Precinct, Tower C, 15th, 16th & 17th Floor, Whitefield Main Road,Mahadevapura Post, Bengaluru - 560048, Karnataka, India"
Campus Activewear Limited,"D1- Udyog Nagar, Main Rohtak Road, New Delhi- 110041","DLF Cyber park, Block B, First Floor, Sector-20, Udyog Vihar, Phase III, Gurugram- 122016","DLF Cyber park, Block B, First Floor, Sector-20, Udyog Vihar, Phase III, Gurugram- 122016"
Canara Bank,"Canara Bank, Head Office,
112 J C Road, Bengaluru- 560002","Canara Bank, Head Office,
112 J C Road, Bengaluru- 560002","Canara Bank, Head Office,
112 J C Road, Bengaluru- 560002"
Can Fin Homes Limited,"No.29/1, 1st Floor, Sir M N Krishna Rao Road, Basavanagudi, Bengaluru 560004","No.29/1, 1st Floor, Sir M N Krishna Rao Road, Basavanagudi, Bengaluru 560004","No.29/1, 1st Floor, Sir M N Krishna Rao Road, Basavanagudi, Bengaluru 560004"
Caplin Point Laboratories Limited,"Ashvich Towers, 3rd Floor, No.3, Developed Plots Industrial Estate, Perungudi, Chennai, Tamil Nadu 600096","Ashvich Towers, 3rd Floor, No.3, Developed Plots Industrial Estate, Perungudi, Chennai, Tamil Nadu 600096","Ashvich Towers, 3rd Floor, No.3, Developed Plots Industrial Estate, Perungudi, Chennai, Tamil Nadu 600096"
Capri Global Capital Limited,"502, Tower A, Peninsula Business Park, Senapati Bapat Marg, Lower Parel Mumbai - 400013","502, Tower A, Peninsula Business Park, Senapati Bapat Marg, Lower Parel Mumbai - 400013","502, Tower A, Peninsula Business Park, Senapati Bapat Marg, Lower Parel Mumbai - 400013"
Carborundum Universal Limited,"Dare House’, No.234, N.S.C.Bose Road, Parrys, Chennai ‐ 600001","Dare House’, No.234, N.S.C.Bose Road, Parrys, Chennai ‐ 600001","Dare House’, No.234, N.S.C.Bose Road, Parrys, Chennai ‐ 600001"
Castrol India Limited,"Technopolis Knowledge Park, Mahakali Caves Road, Andheri (East), Mumbai – 400 093","Technopolis Knowledge Park, Mahakali Caves Road, Andheri (East), Mumbai – 400 093","Technopolis Knowledge Park, Mahakali Caves Road, Andheri (East), Mumbai – 400 093"
CCL Products India Limited,"Duggirala, Guntur, Andhra Pradesh -522330, India","8-2-269/4A, Road No. 2, Banjara Hills, Hyderabad - 500034, Telangana, India","8-2-269/4A, Road No. 2, Banjara Hills, Hyderabad - 500034, Telangana, India"
CEAT Limited,"463, Dr. Annie Besant Road, Worli, Mumbai - 400 030","463, Dr. Annie Besant Road, Worli, Mumbai - 400 030","463, Dr. Annie Besant Road, Worli, Mumbai - 400 030"
Cello World Limited,"597/2A, Somnath Road, Dabhel, Nani Daman 396 210, Daman and Diu, India","Cello House, Corporate Avenue, B Wing, 8th Floor, Sonawala Road, Goregaon (East), Mumbai – 400 063, Maharashtra, India","Cello House, Corporate Avenue, B Wing, 8th Floor, Sonawala Road, Goregaon (East), Mumbai – 400 063, Maharashtra, India"
Central Bank of India,"Chandermukhi Building, Nariman Point, Mumbai - 400 021","Chandermukhi Building, Nariman Point, Mumbai - 400 021","Chandermukhi Building, Nariman Point, Mumbai - 400 021"
Century Plyboards India Limited,"P-15/1, Taratala Road, Kolkata- 700 088","CENTURY HOUSE, P-15/1, Taratala Road, Kolkata - 700 088","CENTURY HOUSE, P-15/1, Taratala Road, Kolkata - 700 088"
