Amber Enterprises India Limited,12.0,4500.0,68.0,142.0,2.8,Amber Enterprises India Limited
Ambuja Cements Limited,18.4,0.0,98.6,14580.0,14.2,Ambuja Cements Limited
Anand Rathi Wealth Limited,0.0,0.0,95.0,0.45,4.5,Anand Rathi Wealth Limited
Anant Raj Limited,75.0,0.0,62.0,2.1,0.4,Anant Raj Limited
Andhra Paper Limited (formerly Andhra Pradesh Paper Mills),62.0,4120000.0,94.5,415.0,2.1,Andhra Paper Limited (formerly Andhra Pradesh Paper Mills)
Anupam Rasayan India Limited,100.0,0.0,42.0,84.0,1.2,Anupam Rasayan India Limited
Apollo Tyres Limited,22.6,124500.0,88.0,452.0,18.4,Apollo Tyres Limited
Aptus Value Housing Finance India Limited,0.0,0.0,92.0,0.8,2.8,Aptus Value Housing Finance India Limited
Asahi India Glass Limited,10.5,4250.0,95.0,145.0,1.8,Asahi India Glass Limited
Ashok Leyland Limited,48.0,0.0,92.5,415.0,14.8,Ashok Leyland Limited
Asian Paints Limited,22.4,0.0,78.0,42500.0,11.2,Asian Paints Limited
Aster DM Healthcare Limited,35.0,12450.0,22.0,18.4,14.5,Aster DM Healthcare Limited
AstraZeneca Pharma India Limited,100.0,0.0,84.0,14.2,2.1,AstraZeneca Pharma India Limited
Astral Limited,100.0,0.0,99.0,145.0,1.4,Astral Limited
Atul Limited,14.5,125800.0,42.0,185.0,2.8,Atul Limited
Avenue Supermarts Limited,15.0,0.0,68.0,8450.0,4.2,Avenue Supermarts Limited
Axis Bank Limited,0.0,412000.0,94.5,12.5,1480.0,Axis Bank Limited
BAJAJ ELECTRICALS LIMITED,10.0,1240.0,82.0,2150.0,14.8,BAJAJ ELECTRICALS LIMITED
BANK OF INDIA,0.0,0.0,88.0,4.2,412.0,BANK OF INDIA
BANK OF MAHARASHTRA,0.0,0.0,90.0,2.1,124.0,BANK OF MAHARASHTRA
BASF India Limited,14.2,42500.0,42.0,84.5,1.4,BASF India Limited
BATA INDIA LIMITED,42.0,12450.0,78.0,412.0,2.8,BATA INDIA LIMITED
BEML Limited,12.0,45000.0,86.0,4.5,1.2,BEML Limited
BHARAT ELECTRONICS LIMITED,38.0,0.0,72.5,14.2,148.0,BHARAT ELECTRONICS LIMITED
BHARAT HEAVY ELECTRICALS LIMITED,42.0,412000.0,92.0,48.0,124.0,BHARAT HEAVY ELECTRICALS LIMITED
BLS International Services Limited,0.0,0.0,98.0,0.4,4.5,BLS International Services Limited
Bajaj Auto Limited,52.0,0.0,91.5,1450.0,22.4,Bajaj Auto Limited
Bajaj Finance Limited,0.0,0.0,96.0,1.2,45.2,Bajaj Finance Limited
Bajaj Finserv Limited,0.0,0.0,95.0,0.8,12.4,Bajaj Finserv Limited
Bajaj Holdings  Investment Limited,0.0,0.0,0.0,0.0,0.5,Bajaj Holdings  Investment Limited
Balkrishna Industries Limited,42.0,0.0,84.5,215.0,4.2,Balkrishna Industries Limited
Balrampur Chini Mills Limited,22.1,0.0,98.0,42.0,1.2,Balrampur Chini Mills Limited
Bandhan Bank Limited,0.0,425000.0,92.0,8.4,125.0,Bandhan Bank Limited
Bangalore International Airport Ltd (BIAL),100.0,0.0,95.0,412.0,5.8,Bangalore International Airport Ltd (BIAL)
Bharat Dynamics Limited,14.5,0.0,82.0,4.2,12.8,Bharat Dynamics Limited
Bharat Forge Limited,28.4,0.0,98.5,145.0,8.6,Bharat Forge Limited
Bharat Heavy Electricals Limited (BHEL),42.0,412000.0,92.0,48.0,124.0,Bharat Heavy Electricals Limited (BHEL)
Bharti Airtel Limited,12.0,125800.0,95.0,1450.0,2450.0,Bharti Airtel Limited
Bharti Hexacom Limited,0.0,0.0,92.0,12.0,148.0,Bharti Hexacom Limited
Bikaji Foods International Limited,18.5,12450.0,72.0,14500.0,0.8,Bikaji Foods International Limited
Biocon Limited,45.0,0.0,78.0,845.0,14.2,Biocon Limited
Birla Corporation Limited,14.8,0.0,98.0,8450.0,4.2,Birla Corporation Limited
Birlasoft Limited,38.0,0.0,92.0,1.2,125.0,Birlasoft Limited
Blue Dart Express Limited,0.0,0.0,94.0,415.0,24.5,Blue Dart Express Limited
Blue Star Limited,12.0,1500.0,84.0,412.0,14.5,Blue Star Limited
Bosch limited,34.0,0.0,91.0,312.0,45.6,Bosch limited
Brigade Enterprises Limited,72.0,0.0,68.0,4.2,2.8,Brigade Enterprises Limited
Britannia Industries Limited,15.0,154200.0,82.0,42500.0,5.4,Britannia Industries Limited
CCL Products India Limited,14.0,12450.0,95.0,185.0,0.6,CCL Products (India) Limited
CCL Products India Limited,14.0,12450.0,95.0,185.0,0.6,CCL Products India Limited
CE INFO SYSTEMS LIMITED,0.0,0.0,98.0,0.2,8.4,CE INFO SYSTEMS LIMITED
CEAT Limited,22.5,0.0,88.0,412.0,12.5,CEAT Limited
CERA Sanitaryware Limited,12.0,0.0,75.0,145.0,2.1,CERA Sanitaryware Limited
CESC Limited,82.0,1250000.0,99.5,12.0,18.4,CESC Limited
CG Power and Industrial Solutions Limited,24.5,0.0,88.0,312.0,45.2,CG Power and Industrial Solutions Limited
CHENNAI PETROLEUM CORPORATION LIMITED,42.0,1258000.0,68.0,14.5,4.2,CHENNAI PETROLEUM CORPORATION LIMITED
CITY UNION BANK LIMITED,0.0,0.0,92.0,1.2,85.0,CITY UNION BANK LIMITED
COAL INDIA LIMITED,78.0,12450000.0,65.0,22.0,412.0,COAL INDIA LIMITED
COROMANDEL INTERNATIONAL LIMITED,18.5,0.0,42.0,12450.0,8.4,COROMANDEL INTERNATIONAL LIMITED
Campus Activewear Limited,12.0,4200.0,84.0,415.0,0.4,Campus Activewear Limited
Can Fin Homes Limited,0.0,0.0,94.0,0.6,1.2,Can Fin Homes Limited
Canara Bank,0.0,0.0,88.0,4.5,1250.0,Canara Bank
Caplin Point Laboratories Limited,100.0,0.0,78.0,124.0,1.8,Caplin Point Laboratories Limited
Capri Global Capital Limited,0.0,0.0,92.0,0.8,5.4,Capri Global Capital Limited
Carborundum Universal Limited,22.5,12400.0,84.0,145.0,4.2,Carborundum Universal Limited
Cello World Limited,14.0,0.0,98.0,8540.0,0.4,Cello World Limited
Century Plyboards India Limited,18.2,15400.0,95.0,415.0,1.2,Century Plyboards India Limited
Chalet Hotels Limited,78.0,0.0,65.0,18.4,2.8,Chalet Hotels Limited
Chemplast Sanmar Limited,100.0,0.0,42.0,12.5,1.4,Chemplast Sanmar Limited
Cholamandalam Financial Holdings Limited,0.0,0.0,95.0,0.2,0.8,Cholamandalam Financial Holdings Limited
Cholamandalam Investment and Finance Company Limited,0.0,125000.0,92.0,4.5,148.0,Cholamandalam Investment and Finance Company Limited
Cipla Limited,48.5,0.0,84.0,1450.0,14.8,Cipla Limited
Clean Science and Technology Limited,100.0,0.0,45.0,14.2,0.6,Clean Science and Technology Limited
Cochin International Airport (CIAL),85.0,0.0,92.0,845.0,4.2,Cochin International Airport (CIAL)
Cochin Shipyard Limited,12.4,45000.0,88.0,48.0,4.2,Cochin Shipyard Limited
Coforge Limited,42.0,0.0,95.0,1.4,85.2,Coforge Limited
Computer Age Management Services Limited,0.0,0.0,98.0,0.8,24.5,Computer Age Management Services Limited
Concord Biotech Limited,100.0,0.0,72.0,142.0,1.2,Concord Biotech Limited
Container Corporation of India Limited,10.0,12500.0,78.0,14.5,18.4,Container Corporation of India Limited
Craftsman Automation Limited,18.5,0.0,92.0,14.2,2.8,Craftsman Automation Limited
CreditAccess Grameen Limited,0.0,0.0,95.0,0.6,12.5,CreditAccess Grameen Limited
Crompton Greaves Consumer Electricals Limited,14.0,1200.0,82.0,1450.0,112.0,Crompton Greaves Consumer Electricals Limited
Cummins India Limited,52.0,0.0,95.0,124.0,14.5,Cummins India Limited
Cyient Limited,45.0,0.0,92.0,1.2,45.8,Cyient Limited
DCM Shriram Limited,22.5,0.0,98.0,145.0,4.2,DCM Shriram Limited
DIVIS LABORATORIES LIMITED,38.0,0.0,85.5,412.0,12.5,DIVIS LABORATORIES LIMITED
DLF Limited,100.0,0.0,95.0,142.0,85.0,DLF Limited
DOMS Industries Limited,12.0,1200.0,95.0,1250.0,0.4,DOMS Industries Limited
Dabur India Limited,18.5,154200.0,82.0,35000.0,4.2,Dabur India Limited
Dalmia Bharat Limited,14.8,0.0,99.5,14580.0,8.4,Dalmia Bharat Limited
Damodar Valley Corporation (DVC),82.5,12450000.0,99.8,14.5,112.4,Damodar Valley Corporation (DVC)
Data Patterns India Limited,0.0,0.0,92.0,1.2,12.8,Data Patterns India Limited
Deepak Nitrite Limited,32.0,0.0,42.0,145.0,2.8,Deepak Nitrite Limited
Delhivery Limited,0.0,0.0,95.0,4150.0,45.2,Delhivery Limited
Devyani International Limited,0.0,12450.0,68.0,1450.0,0.8,Devyani International Limited
Dixon Technologies India Limited,14.0,0.0,88.0,412.0,450.0,Dixon Technologies India Limited
Dr Reddys Laboratories Limited,32.0,0.0,88.0,2845.0,18.4,Dr Reddys Laboratories Limited
EICHER MOTORS LIMITED,45.0,0.0,92.0,412.0,12.5,EICHER MOTORS LIMITED
EIH Limited,82.0,0.0,68.0,24.0,4.2,EIH Limited
ESAB India Limited,12.0,4500.0,78.0,84.0,1.4,ESAB India Limited
Easy Trip Planners Limited,0.0,0.0,95.0,0.8,8.4,Easy Trip Planners Limited
Electronics Mart India Limited,0.0,0.0,92.0,415.0,112.0,Electronics Mart India Limited
Electrosteel Castings,22.5,0.0,94.0,42.0,1.2,Electrosteel Castings
Elgi Equipments Limited,18.5,0.0,84.0,42.0,2.8,Elgi Equipments Limited
Emami Limited,14.0,12450.0,72.0,28450.0,1.4,Emami Limited
Emami Paper Mills Limited,65.0,1250000.0,92.0,145.0,1.2,Emami Paper Mills Limited
Endurance Technologies Limited,22.0,0.0,95.0,145.0,4.2,Endurance Technologies Limited
Engineers India Limited,0.0,0.0,98.0,1.2,12.5,Engineers India Limited
Equitas Small Finance Bank Limited,0.0,124500.0,92.0,2.8,45.2,Equitas Small Finance Bank Limited
Eris Lifesciences Limited,100.0,0.0,78.0,84.0,1.4,Eris Lifesciences Limited
Escorts Kubota Limited,22.5,0.0,91.0,145.0,14.2,Escorts Kubota Limited
Essar Steel India (AM/NS India),38.4,1245000.0,99.5,415.0,45.2,Essar Steel India (AM/NS India)
Eureka Forbes Limited,0.0,0.0,82.0,1240.0,45.8,Eureka Forbes Limited
Exide Industries Limited,28.4,0.0,99.5,1845.0,22.4,Exide Industries Limited
FERTILIZERS AND CHEMICALS TRAVANCORE LIMITED,12.5,1250000.0,45.0,1250.0,2.8,FERTILIZERS AND CHEMICALS TRAVANCORE LIMITED
FINE ORGANIC INDUSTRIES LIMITED,100.0,0.0,62.0,84.2,0.8,FINE ORGANIC INDUSTRIES LIMITED
Finolex Cables Limited,14.0,4200.0,95.0,145.0,2.1,Finolex Cables Limited
Finolex Industries Limited,100.0,0.0,98.5,184.0,4.5,Finolex Industries Limited
Firstsource Solutions Limited,38.0,0.0,92.0,1.2,112.0,Firstsource Solutions Limited
Five-Star Business Finance Limited,0.0,0.0,95.0,0.4,8.4,Five-Star Business Finance Limited
Force Motors Ltd,22.5,0.0,91.0,142.0,4.2,Force Motors Ltd
Fortis Healthcare Limited,32.0,154200.0,18.5,45.2,112.5,Fortis Healthcare Limited
G R Infraprojects Limited,5.0,0.0,42.0,12.0,0.8,G R Infraprojects Limited
GAIL (India) Limited,14.5,125000.0,68.0,124.0,12.8,GAIL (India) Limited
GAIL India Limited,14.5,125000.0,68.0,124.0,12.8,GAIL India Limited
GALAXY SURFACTANTS LIMITED,100.0,0.0,82.0,145.0,1.4,GALAXY SURFACTANTS LIMITED
GLAND PHARMA LIMITED,100.0,0.0,78.0,185.0,2.8,GLAND PHARMA LIMITED
GLOBAL HEALTH LIMITED,35.0,12450.0,22.0,18.4,14.5,GLOBAL HEALTH LIMITED
"GMR Airports (Delhi, Hyderabad)",85.0,0.0,92.0,2150.0,18.4,"GMR Airports (Delhi, Hyderabad)"
GODAWARI POWER AND ISPAT LIMITED,72.0,0.0,99.5,14.2,5.8,GODAWARI POWER AND ISPAT LIMITED
GODFREY PHILLIPS INDIA LIMITED,15.0,12000.0,78.0,4150.0,2.1,GODFREY PHILLIPS INDIA LIMITED
GODREJ AGROVET LIMITED,18.5,45200.0,92.0,4120.0,1.4,GODREJ AGROVET LIMITED
GRANULES INDIA LIMITED,100.0,0.0,82.0,185.0,2.1,GRANULES INDIA LIMITED
GRAPHITE INDIA LIMITED,22.0,12450.0,88.0,14.5,0.8,GRAPHITE INDIA LIMITED
GUJARAT GAS LIMITED,0.0,0.0,74.0,1.2,4.2,GUJARAT GAS LIMITED
GVK Mumbai Airport,82.0,0.0,91.0,845.0,8.4,GVK Mumbai Airport
Garden Reach Shipbuilders  Engineers Limited,12.0,12500.0,86.0,14.2,2.8,Garden Reach Shipbuilders  Engineers Limited
General Insurance Corporation of India,0.0,0.0,95.0,0.2,12.4,General Insurance Corporation of India
Genus Power Infrastructures Limited,14.0,0.0,78.0,185.0,8.4,Genus Power Infrastructures Limited
Gillette India Limited,18.0,4200.0,92.0,4150.0,0.6,Gillette India Limited
GlaxoSmithKline Pharmaceuticals Limited,100.0,0.0,84.5,285.0,2.4,GlaxoSmithKline Pharmaceuticals Limited
Glenmark Pharmaceuticals Limited,42.0,0.0,78.0,1240.0,12.5,Glenmark Pharmaceuticals Limited
Go Digit General Insurance Limited,0.0,0.0,98.0,0.4,14.5,Go Digit General Insurance Limited
Godrej Consumer Products Limited,22.5,12450.0,95.0,42500.0,2.8,Godrej Consumer Products Limited
Godrej Industries Limited,32.4,0.0,88.0,1245.0,4.2,Godrej Industries Limited
Godrej Properties Limited,100.0,0.0,92.0,45.2,1.4,Godrej Properties Limited
Grasim Industries Limited,48.5,412000.0,94.0,14580.0,18.4,Grasim Industries Limited
Grindwell Norton Limited,22.0,15000.0,82.0,124.0,2.1,Grindwell Norton Limited
Gujarat Ambuja Exports Limited,14.5,45000.0,98.0,845.0,0.4,Gujarat Ambuja Exports Limited
Gujarat Fluorochemicals Limited,100.0,0.0,42.0,145.0,4.2,Gujarat Fluorochemicals Limited
Gujarat Pipavav Port Limited,24.0,0.0,88.0,18.4,1.2,Gujarat Pipavav Port Limited
Gujarat State Petronet Limited,0.0,0.0,72.0,0.6,2.8,Gujarat State Petronet Limited
HCL Technologies Limited,42.0,0.0,96.0,18.4,850.0,HCL Technologies Limited
HDFC Asset Management Company Limited,0.0,0.0,98.0,0.8,14.2,HDFC Asset Management Company Limited
HDFC Bank Limited,0.0,1245000.0,92.0,24.5,1480.0,HDFC Bank Limited
HDFC Life Insurance Company Limited,0.0,0.0,95.0,1.2,24.5,HDFC Life Insurance Company Limited
HEG Limited,22.5,0.0,84.0,14.5,2.1,HEG Limited
HERO MOTOCORP LIMITED,52.4,0.0,92.0,2845.0,18.4,HERO MOTOCORP LIMITED
HFCL Limited,14.0,4200.0,94.0,412.0,14.5,HFCL Limited
HINDALCO INDUSTRIES LIMITED,24.5,124500.0,88.0,415.0,45.2,HINDALCO INDUSTRIES LIMITED
HINDUSTAN AERONAUTICS LIMITED,38.0,412000.0,72.0,24.5,125.0,HINDUSTAN AERONAUTICS LIMITED
HINDUSTAN COPPER LIMITED,62.0,154200.0,12.0,1.4,2.1,HINDUSTAN COPPER LIMITED
HONEYWELL AUTOMATION INDIA LIMITED,22.0,0.0,88.0,45.2,12.4,HONEYWELL AUTOMATION INDIA LIMITED
Haldiram Snacks Food Private Limited,18.5,12450.0,72.0,14500.0,0.8,Haldiram Snacks Food Private Limited
Happiest Minds Technologies Limited,35.0,0.0,92.0,0.85,45.2,Happiest Minds Technologies Limited
Happy Forgings Limited,15.5,0.0,98.0,14.5,0.6,Happy Forgings Limited
Heritage Foods,14.0,45000.0,92.0,14500.0,1.2,Heritage Foods
Himadri Speciality Chemical Limited,100.0,0.0,42.0,45.2,1.4,Himadri Speciality Chemical Limited
Hindustan Petroleum Corporation Limited,30.4,1258000.0,62.0,1240.0,45.8,Hindustan Petroleum Corporation Limited
Hindustan Unilever Limited,22.5,412000.0,98.0,124500.0,14.2,Hindustan Unilever Limited
Hindustan Zinc Limited,89.0,0.0,92.0,412.0,11.5,Hindustan Zinc Limited
Hitachi Energy India Limited,22.0,0.0,84.5,145.0,42.8,Hitachi Energy India Limited
Home First Finance Company India Limited,0.0,0.0,94.0,0.45,4.2,Home First Finance Company India Limited
Honasa Consumer Limited,12.0,4500.0,78.0,8450.0,0.6,Honasa Consumer Limited
ICICI Bank Limited,0.0,1245000.0,92.0,45.2,1845.0,ICICI Bank Limited
ICICI Lombard General Insurance Company Limited,0.0,0.0,98.0,1.2,24.5,ICICI Lombard General Insurance Company Limited
ICICI Prudential Life Insurance Company Limited,0.0,0.0,95.0,1.4,45.2,ICICI Prudential Life Insurance Company Limited
IDBI Bank Limited,0.0,0.0,88.0,2.1,412.0,IDBI Bank Limited
IDFC FIRST Bank Limited,0.0,124500.0,92.0,4.2,85.0,IDFC FIRST Bank Limited
IFCI Limited,0.0,0.0,95.0,0.2,1.2,IFCI Limited
IIFL Finance Limited,0.0,0.0,92.0,1.4,24.8,IIFL Finance Limited
INDIAN OVERSEAS BANK,0.0,0.0,84.0,1.2,112.0,INDIAN OVERSEAS BANK
INDIAN RAILWAY FINANCE CORPORATION LIMITED,0.0,0.0,0.0,0.0,0.5,INDIAN RAILWAY FINANCE CORPORATION LIMITED
INOX India Limited,14.5,0.0,82.0,12.4,0.8,INOX India Limited
INTELLECT DESIGN ARENA LIMITED,42.0,0.0,95.0,0.6,24.5,INTELLECT DESIGN ARENA LIMITED
IRB Infrastructure Developers Limited,5.0,0.0,45.0,2.8,1.2,IRB Infrastructure Developers Limited
ISGEC Heavy Engineering Limited,18.5,12450.0,91.0,42.0,2.1,ISGEC Heavy Engineering Limited
ITC Limited,58.0,4120000.0,99.5,72000.0,45.2,ITC Limited
ITC Limited (Paperboards Division),52.0,1245000.0,99.5,28450.0,14.5,ITC Limited (Paperboards Division)
Indegene Limited,0.0,0.0,98.0,0.4,18.5,Indegene Limited
IndiGo (InterGlobe Aviation),18.4,154200.0,68.0,1845.0,45.8,IndiGo (InterGlobe Aviation)
IndiaMART InterMESH Limited,0.0,0.0,98.0,0.2,45.2,IndiaMART InterMESH Limited
Indian Energy Exchange Limited,0.0,0.0,95.0,0.2,4.2,Indian Energy Exchange Limited
Indian Oil Corporation Limited,42.4,12450000.0,68.5,28450.0,124.0,Indian Oil Corporation Limited
Indian Renewable Energy Development Agency Limited,0.0,0.0,0.0,0.0,1.4,Indian Renewable Energy Development Agency Limited
Indus Towers Limited,0.0,12450.0,98.0,1.2,245.0,Indus Towers Limited
IndusInd Bank Limited,0.0,254000.0,94.0,5.8,124.0,IndusInd Bank Limited
Infibeam Avenues Limited,0.0,0.0,98.0,0.4,14.5,Infibeam Avenues Limited
Infosys Limited,46.2,0.0,,42.0,1245.0,Infosys Limited
Inox Wind Limited,10.0,1200.0,88.0,14.2,1.2,Inox Wind Limited
InterGlobe Aviation Limited,18.4,154200.0,68.0,1845.0,45.8,InterGlobe Aviation Limited
Ion Exchange India Limited,100.0,0.0,92.0,124.0,4.2,Ion Exchange India Limited
Ipca Laboratories Limited,42.0,0.0,84.5,285.0,5.4,Ipca Laboratories Limited
Ircon International Limited,5.0,0.0,62.0,8.4,1.2,Ircon International Limited
JAI BALAJI INDUSTRIES LIMITED,74.0,0.0,99.0,12.5,0.8,JAI BALAJI INDUSTRIES LIMITED
JAIPRAKASH POWER VENTURES LIMITED,82.5,412000.0,99.5,14.2,2.1,JAIPRAKASH POWER VENTURES LIMITED
JBM Auto Limited,14.0,4500.0,91.0,145.0,4.2,JBM Auto Limited
JINDAL STEEL  POWER LIMITED,48.5,0.0,99.0,415.0,24.5,JINDAL STEEL  POWER LIMITED
JK CEMENT LIMITED,14.8,0.0,99.5,45800.0,4.2,JK CEMENT LIMITED
JK LAKSHMI CEMENT LIMITED,12.5,0.0,98.0,14580.0,2.8,JK LAKSHMI CEMENT LIMITED
JK Paper,62.0,4120000.0,94.0,450.0,5.4,JK Paper
JK Tyre  Industries Limited,42.0,0.0,88.0,412.0,12.5,JK Tyre  Industries Limited
JK Tyre & Industries Limited,42.0,0.0,88.0,412.0,12.5,JK Tyre & Industries Limited
JM Financial Limited,0.0,0.0,95.0,1.2,14.8,JM Financial Limited
JSW Energy Limited,14.5,125400.0,99.5,14.0,8.4,JSW Energy Limited
JSW Infrastructure Limited,22.0,0.0,82.0,45.2,5.8,JSW Infrastructure Limited
JSW Steel Limited,38.4,0.0,99.5,1845.0,112.4,JSW Steel Limited
JUBILANT INGREVIA LIMITED,100.0,0.0,68.0,185.0,4.2,JUBILANT INGREVIA LIMITED
JYOTHY LABS LIMITED,14.0,4500.0,78.0,14580.0,1.4,JYOTHY LABS LIMITED
JYOTI CNC AUTOMATION LIMITED,12.0,0.0,92.0,14.5,4.2,JYOTI CNC AUTOMATION LIMITED
Jindal Saw Limited,14.5,0.0,92.0,18.4,1.2,Jindal Saw Limited
Jindal Stainless Limited,22.5,0.0,99.5,145.0,12.5,Jindal Stainless Limited
Jio Financial Services Limited,0.0,0.0,98.0,0.8,145.0,Jio Financial Services Limited
Jubilant FoodWorks Limited,15.0,12450.0,65.0,18450.0,2.1,Jubilant FoodWorks Limited
Jubilant Pharmova Limited,100.0,0.0,82.0,285.0,8.4,Jubilant Pharmova Limited
Juniper Hotels Limited,85.0,0.0,68.0,12.4,1.4,Juniper Hotels Limited
Jupiter Life Line Hospitals Limited,38.0,4500.0,22.0,18.4,12.5,Jupiter Life Line Hospitals Limited
Jupiter Wagons Limited,14.5,4200.0,88.0,12.0,0.8,Jupiter Wagons Limited
Just Dial Limited,0.0,0.0,98.0,0.4,45.2,Just Dial Limited
K.P.R. MILL LIMITED,100.0,0.0,98.0,145.0,1.4,K.P.R. MILL LIMITED
KARUR VYSYA BANK LIMITED,0.0,0.0,88.0,2.8,112.4,KARUR VYSYA BANK LIMITED
KEC International Limited,14.2,4500.0,92.0,215.0,4.2,KEC International Limited
KEI INDUSTRIES LIMITED,10.5,1240.0,94.5,412.0,1.8,KEI INDUSTRIES LIMITED
KFin Technologies Limited,0.0,0.0,98.0,0.4,45.2,KFin Technologies Limited
KIOCL (Kudremukh Iron Ore Company),82.0,0.0,68.0,8.4,1.4,KIOCL (Kudremukh Iron Ore Company)
KIOCL Limited,82.0,0.0,68.0,8.4,2.1,KIOCL Limited
KNR Constructions Limited,5.0,0.0,42.0,4.2,0.6,KNR Constructions Limited
KOTAK MAHINDRA BANK LIMITED,0.0,412000.0,92.0,14.5,1250.0,KOTAK MAHINDRA BANK LIMITED
KPI GREEN ENERGY LIMITED,0.0,0.0,78.0,1.2,8.4,KPI GREEN ENERGY LIMITED
KPIT Technologies Limited,38.0,0.0,94.0,0.8,85.2,KPIT Technologies Limited
KPR MILL LIMITED,100.0,0.0,98.0,145.0,1.4,KPR MILL LIMITED
Kajaria Ceramics Limited,42.5,0.0,95.0,185.0,2.1,Kajaria Ceramics Limited
Kalpataru Projects International Limited,12.0,4200.0,88.0,84.0,14.5,Kalpataru Projects International Limited
Kalyan Jewellers India Limited,0.0,0.0,92.0,45.2,2.8,Kalyan Jewellers India Limited
Kalyani Steels,74.0,0.0,99.5,12.5,1.4,Kalyani Steels
Kaynes Technology India Limited,14.0,0.0,82.0,12.5,45.8,Kaynes Technology India Limited
Keystone Realtors Limited,82.0,0.0,65.0,4.2,0.8,Keystone Realtors Limited
Kirloskar Brothers Limited,22.5,0.0,94.0,42.0,2.1,Kirloskar Brothers Limited
Kirloskar Oil Engines Limited,18.5,0.0,91.0,124.0,5.4,Kirloskar Oil Engines Limited
Krishna Institute of Medical Sciences Limited,32.0,12450.0,18.5,14.2,12.5,Krishna Institute of Medical Sciences Limited
L&T Finance Limited,0.0,0.0,95.0,1.2,45.2,L&T Finance Limited
LAURUS LABS LIMITED,45.0,0.0,82.5,185.0,4.2,LAURUS LABS LIMITED
LIC Housing Finance Limited,0.0,0.0,95.0,0.8,14.5,LIC Housing Finance Limited
LT Technology Services Limited,38.0,0.0,95.0,1.2,85.2,LT Technology Services Limited
LTIMindtree Limited,45.2,0.0,,1.4,1480.0,LTIMindtree Limited
Larsen & Toubro Limited,22.4,124500.0,,415.0,112.4,Larsen & Toubro Limited
Latent View Analytics Limited,0.0,0.0,98.0,0.4,12.4,Latent View Analytics Limited
Lemon Tree Hotels Limited,85.0,0.0,62.0,18.4,2.8,Lemon Tree Hotels Limited
Life Insurance Corporation of India,0.0,1245000.0,92.0,24.5,1485.0,Life Insurance Corporation of India
Linde India Limited,14.2,12500.0,78.0,12.5,1.4,Linde India Limited
Lloyds Metals and Energy Limited,82.0,0.0,99.5,14.2,2.1,Lloyds Metals and Energy Limited
