Company_Name,Sector,City,State,Base_MSA_Loss,Sector_EIF,Weighted_MSA_Loss,Data_Tier,Confidence,MSA_Intensity,Revenue_Cr,Revenue_Source,Revenue_Confidence,Sector_EIF_V5,MSA_Intensity_V5
BATA INDIA LIMITED,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,0.2132945089201396,3488.026095156,BRSR_XBRL,HIGH,0.75,0.13331322281268743
BEML Limited,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,0.1500300843173608,3965.0,BRSR_XBRL,HIGH,0.75,0.09079445145018915
BHARAT ELECTRONICS LIMITED,Chemicals & Fertilizers,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,263758.44798548764,23024.0983334,BRSR_XBRL,HIGH,0.75,0.01693877407716961
BHARAT HEAVY ELECTRICALS LIMITED,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,0.0245594070465485,28842.87,BRSR_XBRL,HIGH,0.75,0.015081716902652198
BLS International Services Limited,Chemicals & Fertilizers,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,3.8991821703572622,138.4863383,BRSR_XBRL,HIGH,0.75,2.4370634976923213
Bajaj Auto Limited,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,0.0100779218484758,51431.0,BRSR_XBRL,HIGH,0.75,0.006124710777546616
Bajaj Finance Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,0.0087761701460552,69724.78409169799,BRSR_XBRL,HIGH,0.75,0.005485854204969042
Bajaj Finserv Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,0.0049311011102563,133822.12,BRSR_XBRL,HIGH,0.75,0.003082450046374994
Bajaj Holdings  Investment Limited,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,0.4649259417417375,3175.69,BRSR_XBRL,HIGH,0.75,0.1464248714452607
Balkrishna Industries Limited,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,5531.610851182355,10412.884288819,BRSR_XBRL,HIGH,0.75,0.03457255358023672
Balrampur Chini Mills Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,0.115227401766581,5593.740142973001,BRSR_XBRL,HIGH,0.75,0.06972079324956272
Bandhan Bank Limited,Financial Services,Kolkata,West Bengal,0.58,0.01,0.0058,Tier 2,75%,0.0002328184676739,24914.8287054,BRSR_XBRL,HIGH,0.12,0.0027935170987113795
Bharat Dynamics Limited,Chemicals & Fertilizers,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,0.1614306671028886,3345.0516,BRSR_XBRL,HIGH,0.75,0.10089530457467383
Bharat Forge Limited,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,0.0569894554191137,8968.634,BRSR_XBRL,HIGH,0.75,0.035122405485606835
Bharti Airtel Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,0.0056176485642626,108943.8519731,BRSR_XBRL,HIGH,0.75,0.0035109828877213324
Bharti Hexacom Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,0.0772120738048129,8729.7,BRSR_XBRL,HIGH,0.75,0.047252482903192554
Bikaji Foods International Limited,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,29327.56389729027,2536.8626,BRSR_XBRL,HIGH,0.75,0.18329727435770468
Biocon Limited,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,231800.0724377904,16475.9,Gemini_Medium,MEDIUM,0.75,0.021850096201117993
Birla Corporation Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,0.0677193767819358,9748.3056472,BRSR_XBRL,HIGH,0.75,0.04000695239916071
Birlasoft Limited,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,0.2618658333616385,2657.88455729,BRSR_XBRL,HIGH,0.75,0.16366399315835198
Blue Dart Express Limited,Chemicals & Fertilizers,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,0.0944025705674665,5720.1833752,BRSR_XBRL,HIGH,0.75,0.05900160499456011
Blue Star Limited,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,0.0445012799012036,11325.747094436,BRSR_XBRL,HIGH,0.75,0.02781273476914826
Bosch limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,0.0336772595955427,18087.498144869,BRSR_XBRL,HIGH,0.75,0.021147203274683196
Brigade Enterprises Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,0.130069567033271,5313.5442628,BRSR_XBRL,HIGH,0.75,0.07763179896475182
Britannia Industries Limited,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,0.0430160593517272,19404.813047063,BRSR_XBRL,HIGH,0.75,0.02396312702792979
CCL Products India Limited,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,0.3352741398502945,1717.9971,BRSR_XBRL,HIGH,0.75,0.20954633741814813
CE INFO SYSTEMS LIMITED,Chemicals & Fertilizers,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,162555.03165596156,315.61,BRSR_XBRL,HIGH,0.75,1.235702290801939
CEAT Limited,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,0.0528406829007139,13171.6537676,BRSR_XBRL,HIGH,0.75,0.03302546572170194
CERA Sanitaryware Limited,Chemicals & Fertilizers,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,28194.734977312317,1915.2512,BRSR_XBRL,HIGH,0.75,0.17621709361153254
CESC Limited,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,0.0525876493333505,9764.86,BRSR_XBRL,HIGH,0.75,0.03225852700397138
CG Power and Industrial Solutions Limited,Power Generation,Ahmedabad,Gujarat,0.51,2.5,1.275,Tier 2,75%,0.136674084477158,76099.0875449,BRSR_XBRL,HIGH,0.3,0.002010536590333319
CHENNAI PETROLEUM CORPORATION LIMITED,Oil & Gas,Mumbai,Maharashtra,0.55,2.0,1.1,Tier 2,75%,154820.74502499675,710.84,BRSR_XBRL,HIGH,11.0,8.51105734061111
CITY UNION BANK LIMITED,Financial Services,Delhi,Delhi,0.62,0.01,0.0062,Tier 2,75%,0.0009209427067758,6732.105,BRSR_XBRL,HIGH,0.12,0.011051521032425965
COAL INDIA LIMITED,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,0.040176066059549,14336.892,BRSR_XBRL,HIGH,0.75,0.025110044771209827
COROMANDEL INTERNATIONAL LIMITED,Chemicals & Fertilizers,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,0.025930890465013,24064.0,BRSR_XBRL,HIGH,0.75,0.01620678191489362
Campus Activewear Limited,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,0.4369284110732717,1592.9387161,BRSR_XBRL,HIGH,0.75,0.2730801854480709
Can Fin Homes Limited,Chemicals & Fertilizers,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,0.1354515050167224,5067.493681,BRSR_XBRL,HIGH,0.75,0.06660097106098395
Canara Bank,Financial Services,Pune,Maharashtra,0.42,0.01,0.0042,Tier 2,75%,2.9532908102275595e-05,142207.87,BRSR_XBRL,HIGH,0.12,0.00035441076503009287
Caplin Point Laboratories Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,0.3185463949302688,1921.2272064,BRSR_XBRL,HIGH,0.75,0.19909149668806192
Capri Global Capital Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,0.2738417540733402,775299.565,BRSR_XBRL,HIGH,0.75,0.0005320524073813973
Carborundum Universal Limited,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,0.2670232230823364,2998.125478453,BRSR_XBRL,HIGH,0.75,0.15509691083374366
Cello World Limited,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,0.5176437548269325,1137.9559,BRSR_XBRL,HIGH,0.75,0.31635672348989974
Central Bank of India,Financial Services,Chennai,Tamil Nadu,0.52,0.01,0.0052,Tier 2,75%,,39520.0,BRSR_XBRL,HIGH,0.12,0.0015789473684210526
Century Plyboards India Limited,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,17109.524333834033,4279.6810638,BRSR_XBRL,HIGH,0.75,0.10164308823839228
Chalet Hotels Limited,Chemicals & Fertilizers,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,314350.9961732117,2612.05,Gemini_Medium,MEDIUM,0.75,0.12920885894221015
Chemplast Sanmar Limited,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,0.2092380417520231,2408.74,BRSR_XBRL,HIGH,0.75,0.13077376553716882
Cholamandalam Financial Holdings Limited,Financial Services,Ahmedabad,Gujarat,0.51,0.01,0.0051,Tier 2,75%,0.0001524349394485,34179.06,BRSR_XBRL,HIGH,0.12,0.001790570015676265
Cholamandalam Investment and Finance Company Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,0.0253340925968477,26054.76,BRSR_XBRL,HIGH,0.75,0.01583203990364909
Cipla Limited,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,0.0270077878103837,27547.619447843,BRSR_XBRL,HIGH,0.75,0.016879861466084316
Clean Science and Technology Limited,Information Technology,Bangalore,Karnataka,0.48,0.1,0.048,Tier 2,75%,0.0520429786159771,922.316,BRSR_XBRL,HIGH,0.005,0.002602145034890428
Cochin Shipyard Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,0.1378137278748332,4527.841516908999,BRSR_XBRL,HIGH,0.75,0.08613375678975609
Coforge Limited,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,0.1252535848302823,5557.025307697,BRSR_XBRL,HIGH,0.75,0.07827929079205097
Computer Age Management Services Limited,Chemicals & Fertilizers,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,0.3796151457349441,1422.4833,BRSR_XBRL,HIGH,0.75,0.23726113339959773
Concord Biotech Limited,Information Technology,Pune,Maharashtra,0.42,0.1,0.042,Tier 2,75%,0.0349974497321106,1200.0869,BRSR_XBRL,HIGH,0.005,0.0017498732800099726
Container Corporation of India Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,0.0690483011924707,9325.53,BRSR_XBRL,HIGH,0.75,0.04101643552698881
Craftsman Automation Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,17152.018548654225,3847.9436795,BRSR_XBRL,HIGH,0.75,0.10720011371205934
CreditAccess Grameen Limited,Cement,Delhi,Delhi,0.62,1.0,0.62,Tier 2,75%,0.1077150927956993,5756.1445322,BRSR_XBRL,HIGH,0.17,0.018310867527802692
Crompton Greaves Consumer Electricals Limited,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,0.0819469381882045,7655.0459039,BRSR_XBRL,HIGH,0.75,0.0470278042116758
Cummins India Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,0.0613801565643487,10166.204279679,BRSR_XBRL,HIGH,0.75,0.038362400486045944
Cyient Limited,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,0.2883636060100166,2461.4478952,BRSR_XBRL,HIGH,0.75,0.1767252521770951
Cyient Limited,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,0.2883636060100166,2461.4478952,BRSR_XBRL,HIGH,0.75,0.1767252521770951
Cyient Limited,Chemicals & Fertilizers,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,0.2237303839732888,2461.4478952,BRSR_XBRL,HIGH,0.75,0.1371144197925738
Cyient Limited,Chemicals & Fertilizers,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,0.2237303839732888,2461.4478952,BRSR_XBRL,HIGH,0.75,0.1371144197925738
DCM Shriram Limited,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,0.04074766650222,12370.1018717,BRSR_XBRL,HIGH,0.75,0.025464624565513794
DIVIS LABORATORIES LIMITED,Chemicals & Fertilizers,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,0.066535598141684,9550.2918639,BRSR_XBRL,HIGH,0.75,0.04005113199166675
DLF Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,0.082565170320204,7993.6613539,BRSR_XBRL,HIGH,0.75,0.05160338695093042
DOMS Industries Limited,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,43531.683341571465,1709.109574,BRSR_XBRL,HIGH,0.75,0.2720714968038673
Dabur India Limited,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,0.0635009512064907,9135.598392507,BRSR_XBRL,HIGH,0.75,0.03940628566764398
Dalmia Bharat Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,0.0446385234635774,21348.636816037,BRSR_XBRL,HIGH,0.75,0.018268145332213145
Data Patterns India Limited,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,0.9825681315983306,708.3495904,BRSR_XBRL,HIGH,0.75,0.6141035526742643
Deepak Nitrite Limited,Chemicals & Fertilizers,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,0.2137367594410786,2724.349955,BRSR_XBRL,HIGH,0.75,0.12388276307182422
Delhivery Limited,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,0.0564269379001291,8931.904998088,BRSR_XBRL,HIGH,0.75,0.03526683278286437
Devyani International Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,182722.94812149048,3349.333,BRSR_XBRL,HIGH,0.75,0.11420184257582032
Dixon Technologies India Limited,Information Technology,Mumbai,Maharashtra,0.55,0.1,0.055,Tier 2,75%,0.010151113161841,6411.4,BRSR_XBRL,HIGH,0.005,0.000428923480051159
Dr Reddys Laboratories Limited,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,22791.39441054663,32643.7636642,BRSR_XBRL,HIGH,0.75,0.014244680998899632
EICHER MOTORS LIMITED,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,312170.419034472,6172.0,Gemini_Low,LOW,0.75,0.05832793259883344
EIH Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,2274757.12228649,2879.506491949,BRSR_XBRL,HIGH,0.75,0.13543987523224083
ESAB India Limited,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,50674.568792817685,13.7347,BRSR_XBRL,HIGH,0.75,31.67160549556961
Easy Trip Planners Limited,Chemicals & Fertilizers,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,1.339015372163324,481.525,BRSR_XBRL,HIGH,0.75,0.700898188048388
Electronics Mart India Limited,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,0.0723644852693227,6964.826487,BRSR_XBRL,HIGH,0.75,0.045227257360675725
Elgi Equipments Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,0.2941025260029717,2080.9,BRSR_XBRL,HIGH,0.75,0.18381469556441923
Emami Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,0.2113005429057613,3175.43,BRSR_XBRL,HIGH,0.75,0.12990366659003666
Endurance Technologies Limited,Information Technology,Delhi,Delhi,0.62,0.1,0.062,Tier 2,75%,0.0070086950326329,8846.1468645,BRSR_XBRL,HIGH,0.005,0.00035043505918270975
Engineers India Limited,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,0.1902024255918255,3232.165,BRSR_XBRL,HIGH,0.75,0.11138045242120993
Equitas Small Finance Bank Limited,Financial Services,Chennai,Tamil Nadu,0.52,0.01,0.0052,Tier 2,75%,0.0823827578031145,7223.0,BRSR_XBRL,HIGH,0.12,0.008639069638654297
Eris Lifesciences Limited,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,0.4183693020830232,1663.6297121,BRSR_XBRL,HIGH,0.75,0.26147645526894286
Escorts Kubota Limited,Chemicals & Fertilizers,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,0.0489538850585681,11099.751105703,BRSR_XBRL,HIGH,0.75,0.03040608719835115
Eureka Forbes Limited,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,206891.28595813247,2590.34,Gemini_Low,LOW,0.75,0.12160565794451693
