Tag,Frequency,Example_Value,Sample_Company
FinancialImplicationsOfTheRiskOrOpportunity,992,Positive Implications,360 ONE WAM LIMITED
DoTheEnlistedPoliciesExtendToYourValueChainPartners,900,No,360 ONE WAM LIMITED
NumberOfEmployeesCoveredAsPercentageOfTotalEmployees,702,0.72,360 ONE WAM LIMITED
NumberOfEmployeesCoveredAsPercentageOfTotalWorker,702,0,360 ONE WAM LIMITED
DeductedAndDepositedWithTheAuthority,702,Yes,360 ONE WAM LIMITED
DetailsOfOtherFrequencyOfEngagement,656,"a. Regular Basis
b. Need Basis",360 ONE WAM LIMITED
DetailsOfOtherChannelsOfCommunication,645,"a. Regular business interactions through sale and service teams
b. Customer feedback surveys
c. Customer grievance channels
d. Periodic press releases and media interactions programmes
e. Social media",360 ONE WAM LIMITED
NumberOfLocations,600,0,360 ONE WAM LIMITED
unitNumerator,460,,360 ONE WAM LIMITED
unitDenominator,460,,360 ONE WAM LIMITED
TotalNumberOfTrainingAndAwarenessProgramsHeld,400,1,360 ONE WAM LIMITED
NumberOfFatalities,400,0,360 ONE WAM LIMITED
WebLinkForDetailsOfInitiativeTakenByEntity,396,Conscious efforts towards procurement of green power,360 ONE WAM LIMITED
NumberOfBoardOfDirectorsForRemunerationOrSalaryOrWages,300,9,360 ONE WAM LIMITED
NumberOfKeyManagerialPersonnelForRemunerationOrSalaryOrWages,300,3,360 ONE WAM LIMITED
NumberOfEmployeesOtherThanBodAndKMPForRemunerationOrSalaryOrWages,300,838,360 ONE WAM LIMITED
NumberOfWorkersForRemunerationOrSalaryOrWages,300,0,360 ONE WAM LIMITED
ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain,245,ProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverDomain1,360 ONE WAM LIMITED
NameOfStockExchangeWhereTheCompanyIsListed,204,BSE,360 ONE WAM LIMITED
NumberOfDirectorsAgainstWhomDisciplinaryActionWasTaken,200,0,360 ONE WAM LIMITED
NumberOfKMPsAgainstWhomDisciplinaryActionWasTaken,200,0,360 ONE WAM LIMITED
NumberOfEmployeesAgainstWhomDisciplinaryActionWasTaken,200,0,360 ONE WAM LIMITED
NumberOfWorkersAgainstWhomDisciplinaryActionWasTaken,200,0,360 ONE WAM LIMITED
NumberOfComplaintsReceivedInRelationToIssuesOfConflictOfInterestOfTheDirectors,200,0,360 ONE WAM LIMITED
NumberOfComplaintsReceivedInRelationToIssuesOfConflictOfInterestOfTheKMPs,200,0,360 ONE WAM LIMITED
TotalComplaintsReportedUnderSexualHarassmentOfWomenAtWorkplace,198,0,360 ONE WAM LIMITED
NumberOfTradingHousesWherePurchasesAreMade,194,0,360 ONE WAM LIMITED
AmountOfAccountsPayableDuringTheYear,192,6.63,360 ONE WAM LIMITED
NumberOfDaysOfAccountsPayable,192,P0D,360 ONE WAM LIMITED
NumberOfDealersOrDistributorsToWhomSalesAreMade,192,0,360 ONE WAM LIMITED
AverageNumberOfFemaleEmployeesOrWorkersAtTheBeginningOfTheYearAndAsAtEndOfTheYear,186,366,360 ONE WAM LIMITED
TotalNumberOfAffectedEmployees,176,0,360 ONE WAM LIMITED
NumberOfEmployeesOrWhoseFamilyMembersRehabilitatedAndPlacedInSuitableEmployment,176,0,360 ONE WAM LIMITED
TotalNumberOfAffectedWorkers,174,0,360 ONE WAM LIMITED
NumberOfWorkersOrWhoseFamilyMembersRehabilitatedAndPlacedInSuitableEmployment,174,0,360 ONE WAM LIMITED
DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain,167,DetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverDomain1,360 ONE WAM LIMITED
OperationsOrOfficesWhereEnvironmentalApprovalsOrClearancesRequiredDomain,160,OperationsOrOfficesWhereEnvironmentalApprovalsOrClearancesRequired1,Aarti Industries Limited
PercentageOfComplaintsInRespectOfNumberOfEmployeesOrWorker,123,0,360 ONE WAM LIMITED
NumberOfVoluntaryRecalls,101,0,360 ONE WAM LIMITED
NumberOfForcedRecalls,101,0,360 ONE WAM LIMITED
DetailsOfAnyCorrectiveActionsTakenOrUnderwayOnIssuesRelatingToAdvertisingAndDeliveryOfEssentialServicesOrCyberSecurityAndDataPrivacyOrRecallsOrPenaltyOrActionTakenByRegulatoryAuthoritiesOnSafetyOfProductsOrServicesExplanatoryTextBlock,101,"There have been no such corrective actions or underway on issues observed or notified by regulator from cyber security and data privacy perspective.

360 ONE has established a well-defined governance ",360 ONE WAM LIMITED
NumberOfInstancesOfDataBreachesAlongWithImpact,101,0,360 ONE WAM LIMITED
DetailsOfImpactOfDataBreachesExplanatoryTextBlock,101,Nil,360 ONE WAM LIMITED
CorporateIdentityNumber,100,L74140MH2008PLC177884,360 ONE WAM LIMITED
AddressOfRegisteredOfficeOfCompany,100,"360 ONE Centre, Kamala City, Senapati Bapat Marg, Lower Parel, Mumbai – 400013",360 ONE WAM LIMITED
AddressOfCorporateOfficeOfCompany,100,"360 ONE Centre, Kamala City, Senapati Bapat Marg, Lower Parel, Mumbai – 400013",360 ONE WAM LIMITED
WebsiteOfCompany,100,www.360.one,360 ONE WAM LIMITED
ContactNumberOfContactPerson,100,+91-22-48765600,360 ONE WAM LIMITED
ReportingBoundary,100,Consolidated basis,360 ONE WAM LIMITED
NumberOfStatesWhereMarketServedByTheEntity,100,17,360 ONE WAM LIMITED
NumberOfCountriesWhereMarketServedByTheEntity,100,4,360 ONE WAM LIMITED
PercentageOfContributionOfExportsInTheTotalTurnoverOfTheEntity,100,0.1103,360 ONE WAM LIMITED
TotalNumberOfBoardOfDirectors,100,8,360 ONE WAM LIMITED
NumberOfFemaleBoardOfDirectors,100,1,360 ONE WAM LIMITED
TotalNumberOfKeyManagementPersonnel,100,3,360 ONE WAM LIMITED
NumberOfFemaleKeyManagementPersonnel,100,0,360 ONE WAM LIMITED
StatementByDirectorResponsibleForTheBusinessResponsibilityReportHighlightingESGRelatedChallengesTargetsAndAchievementsExplanatoryTextBlock,100,Covered in MD and CEO’s statement in the Annual Report.,360 ONE WAM LIMITED
DetailsOfTheHighestAuthorityResponsibleForImplementationAndOversightOfTheBusinessResponsibilityPolicyExplanatoryTextBlock,100,"Mr. Karan Bhagat - Managing Director & Promoter
DIN: 03247753",360 ONE WAM LIMITED
DetailsOfAnyCorrectiveActionTakenOrUnderwayOnIssuesRelatedToFinesOrPenaltiesOrActionTakenByRegulatorsOrLawEnforcementAgenciesOrJudicialInstitutionsOnCasesOfCorruptionAndConflictsOfInterestExplanatoryTextBlock,100,No such incidents have been reported.,360 ONE WAM LIMITED
DetailsOfImprovementsInEnvironmentalAndSocialImpactsDueToRAndD,100,Not Applicable,360 ONE WAM LIMITED
DetailsOfImprovementsInEnvironmentalAndSocialImpactsDueToCapex,100,Not Applicable,360 ONE WAM LIMITED
AreThePremisesOrOfficesOfTheEntityAccessibleToDifferentlyAbledEmployeesAndWorkers,100,Yes,360 ONE WAM LIMITED
DoesTheEntityHaveAnEqualOpportunityPolicyAsPerTheRightsOfPersonsWithDisabilitiesAct2016,100,Yes,360 ONE WAM LIMITED
WhetherYouHaveProcessesForWorkersToReportTheWorkRelatedHazardsAndToRemoveThemselvesFromSuchRisks,100,NA,360 ONE WAM LIMITED
DetailsOfAnyCorrectiveActionTakenOrUnderwayToAddressSafetyRelatedIncidentsOfYourPlantsAndOfficesThatWereAssessedExplanatoryTextBlock,100,"360 ONE has not carried out any assessments. However, the Organisation pays utmost attention to safety related concerns and constantly works on making appropriate enhancements.",360 ONE WAM LIMITED
PercentageOfHealthAndSafetyPracticesOfYourPlantsAndOfficesThatWereAssessedP3,100,0,360 ONE WAM LIMITED
PercentageOfWorkingConditionsOfYourPlantsAndOfficesThatWereAssessedP3,100,0,360 ONE WAM LIMITED
DoYouHaveAFocalPointResponsibleForAddressingHumanRightsImpactsOrIssuesCausedOrContributedToByTheBusiness,100,true,360 ONE WAM LIMITED
PercentageOfChildLabourOfYourPlantsAndOfficesThatWereAssessedP5,100,1,360 ONE WAM LIMITED
PercentageOfForcedLabourOrInvoluntaryLabourOfYourPlantsAndOfficesThatWereAssessedP5,100,1,360 ONE WAM LIMITED
PercentageOfSexualHarassmentOfYourPlantsAndOfficesThatWereAssessedP5,100,1,360 ONE WAM LIMITED
PercentageOfDiscriminationAtWorkPlaceOfYourPlantsAndOfficesThatWereAssessedP5,100,1,360 ONE WAM LIMITED
PercentageOfWagesOfYourPlantsAndOfficesThatWereAssessedP5,100,1,360 ONE WAM LIMITED
DetailsOfAnyCorrectiveActionsTakenOrUnderwayToAddressSignificantRisksOrConcernsArisingFromTheAssessmentsOfPlantAndOfficeExplanatoryTextBlock,100,"In FY 2024-25, there were no issues identified in relation to above provided list and hence no corrective action was taken.",360 ONE WAM LIMITED
WhetherDetailsOfTotalEnergyConsumptionAndEnergyIntensityApplicableToTheCompany,100,true,360 ONE WAM LIMITED
DoesTheEntityHaveAnySitesOrFacilitiesIdentifiedAsDesignatedConsumersUnderThePerformanceAchieveAndTradeSchemeOfTheGovernmentOfIndia,100,false,360 ONE WAM LIMITED
WhetherDetailsOfAirEmissionsOtherThanGhgEmissionsByTheEntityIsApplicableToTheCompany,100,false,360 ONE WAM LIMITED
WhetherDetailsOfGreenHouseGasEmissionsAndItsIntensityIsApplicableToTheCompany,100,true,360 ONE WAM LIMITED
DetailsOfWasteManagementPracticesAdoptedInYourEstablishmentsAndTheStrategyAdoptedByCompanyToReduceUsageOfHazardousAndToxicChemicalsExplanatoryTextBlock,100,"The Organisation's operations do not involve any usage of hazardous and toxic chemicals. However, 360 ONE monitors waste generated in its office and waste management initiatives such as waste segregat",360 ONE WAM LIMITED
NumberOfAffiliationsWithTradeAndIndustryChambersOrAssociations,100,6,360 ONE WAM LIMITED
DescribeTheMechanismsToReceiveAndRedressGrievancesOfTheCommunityExplanatoryTextBlock,100,"360 ONE’s operations do not trigger any community related grievances and therefore the Organisation does not need this mechanism.

However, 360 ONE’S Corporate Social Responsibility programmes work as",360 ONE WAM LIMITED
DetailsOfMechanismAvailableToReceiveAndRedressGrievancesForPermanentEmployeesExplanatoryTextBlock,99,"The Organisation is committed to developing a culture where all of its stakeholders, including contractual staff, vendors, suppliers, service providers, employees and directors, feel secure raising co",360 ONE WAM LIMITED
DetailsOfOccupationalHealthAndSafetyManagementSystemExplanatoryTextBlock,98,"The organisation recognizes the importance of inculcating healthy and safe behaviours among its employees and is committed to promoting overall wellbeing of both, the mind and body. To foster such a c",360 ONE WAM LIMITED
WebLinkOfEqualOppertunityPolicyTextBlock,97,"Yes, 360 ONE has an Equal Opportunity and Commitment to Diversity policy in place which is available at:
https://x-docket.360.one/ir-assets/360ONE_Equal_Opportunity_and_Commitment_to_Diversity_Policy.",360 ONE WAM LIMITED
DetailsOfSpecifiedCommitteeOfTheBoardOrDirectorResponsibleForDecisionMakingOnSustainabilityRelatedIssuesExplanatoryTextBlock,93,"The Corporate Social Responsibility and Environment, Social and Governance Committee reports to the Board and is responsible for review and monitoring of the sustainability goal(s) / ESG initiatives. ",360 ONE WAM LIMITED
DetailsOfProjectRelatedToReducingGreenHouseGasEmissionExplanatoryTextBlock,91,360 ONE has adopted various initiatives to reduce its carbon footprint. The Organisation educates employees to reduce the overall paper consumption and print when necessary and required. The workspace,360 ONE WAM LIMITED
DetailsOfTheEntityHaveProcessesInPlaceToAvoidOrManageConflictOfInterestsInvolvingMembersOfTheBoardExplanatoryTextBlock,90,"Yes, the Organisation has a process to avoid / manage conflict of interests involving members of the Board. These are governed by the Related Party Transaction  Policy adopted by the Board of the Comp",360 ONE WAM LIMITED
DetailsOfMeasuresUndertakenByTheEntityToEnsureThatStatutoryDuesHaveBeenDeductedAndDepositedByTheValueChainPartnersExplanatoryTextBlock,88,360 ONE ensures communication of expectations to all value chain partners on adherence to compliance requirements such as labour laws and human rights in their areas of business.,360 ONE WAM LIMITED
DetailsOfAnyCorrectiveActionTakenOrUnderwayToAddressSafetyRelatedIncidentsOnAssessmentOfValueChainPartnersExplanatoryTextBlock,88,"360 ONE has not carried out any assessments. However, the Organisation works towards greater integration of health and safety practices throughout its value chain. At present no significant risks have",360 ONE WAM LIMITED
WhetherStakeholderConsultationIsUsedToSupportTheIdentificationAndManagementOfEnvironmentalAndSocialTopics,87,true,360 ONE WAM LIMITED
DetailsOfInstancesAsToHowTheInputsReceivedFromStakeholdersOnTheseTopicsWereIncorporatedIntoPoliciesAndActivitiesOfTheEntityExplanatoryTextBlock,87,360 ONE embarked on its ESG journey by leveraging stakeholder engagements and materiality assessment to determine key material topics. 360 ONE conducted its first materiality assessment with internal ,360 ONE WAM LIMITED
DetailsOfInstancesOfEngagementWithAndActionsTakenToAddressTheConcernsOfVulnerableMarginalizedStakeholderGroupsExplanatoryTextBlock,86,"360 ONE believes that the community at large is a critical stakeholder. Therefore, inclusive growth and equitable development of communities are critical drivers for Corporate Social Responsibility (“",360 ONE WAM LIMITED
DetailsOfABusinessProcessBeingModifiedOrIntroducedAsAResultOfAddressingHumanRightsGrievancesOrComplaintsExplanatoryTextBlock,86,No business processes were required to be modified or introduced as there were no instances of grievance or complaints registered.,360 ONE WAM LIMITED
IsThePremiseOrOfficeOfTheEntityAccessibleToDifferentlyAbledVisitorsAsPerTheRequirementsOfTheRightsOfPersonsWithDisabilitiesAct2016,85,true,360 ONE WAM LIMITED
DetailsOfTheScopeAndCoverageOfAnyHumanRightsDueDiligenceConductedExplanatoryTextBlock,84,No human rights due diligence conducted.,360 ONE WAM LIMITED
DetailsOfAnyCorrectiveActionsTakenOrUnderwayToAddressSignificantRisksOrConcernsArisingFromTheAssessmentsOfValueChainPartnerExplanatoryTextBlock,81,"Not Applicable, since there was no assessment conducted.",360 ONE WAM LIMITED
DetailsOfMechanismAvailableToReceiveAndRedressGrievancesForOtherThanPermanentEmployeesExplanatoryTextBlock,81,"Contract employees have the same access as permanent employees to the platforms 
available for reporting grievances.",3M INDIA LIMITED
LocationOfOperationsOrOffices,80,NIL,Aarti Industries Limited
DetailsOfSignificantDirectAndIndirectImpactOfTheEntityOnBiodiversityInSuchAreasAlongWithPreventionAndRemediationActivitiesExplanatoryTextBlock,79,"Since the Organisation does not operate in any ecologically sensitive areas, there is no impact on biodiversity.",360 ONE WAM LIMITED
TotalNumberOfAwarenessProgrammesHeld,79,19,Aarti Industries Limited
DetailsOfMechanismAvailableToReceiveAndRedressGrievancesForOtherThanPermanentWorkersExplanatoryTextBlock,71,"Contract workers and their representatives hold regular meetings with HR and Plant 
leadership to discuss and address their concerns. Additionally, contract workers can 
anonymously submit their conce",3M INDIA LIMITED
FacilityOrPlantLocatedInAreasOfWaterStressDomain,70,FacilityOrPlantLocatedInAreasOfWaterStressDomain1,3M INDIA LIMITED
DetailsOfMechanismAvailableToReceiveAndRedressGrievancesForPermanentWorkersExplanatoryTextBlock,69,"Permanent workers of the entity have multiple avenues to express their concerns 
to management. These include the Employee Communication Forum (ECF) and a 
monthly grievance committee with female repr",3M INDIA LIMITED
DetailsOfCoverageAndImplementationIfForZeroLiquidDischargeExplanatoryTextBlock,69,The Company has implemented a mechanism to support Zero Liquid Discharge (ZLD) by commissioning a Multiple Effect Evaporator (MEE) system at its Ranjangaon plant in 2024. This initiative aims to enhan,3M INDIA LIMITED
DidYourEntityCarryOutAnySurveyWithRegardToConsumerSatisfactionRelatingToTheMajorProductsOrServicesOfTheEntitySignificantLocationsOfOperationOfTheEntityOrTheEntityAsAWhole,67,No,360 ONE WAM LIMITED
NumberOfGreenCreditsHaveBeenGeneratedOrProcuredByTheListedEntity,62,0,360 ONE WAM LIMITED
DetailsOfProductInformationOnTheProductOverAndAboveWhatIsMandatedAsPerLocalLawsExplanatoryTextBlock,62,Products may include a visual representation of the usage of the product where personal application is required. It may also include guidance on how to store the product and information on recycling.,3M INDIA LIMITED
TypeOfAssuranceForDetailsOfTheListedEntity,61,Partial,360 ONE WAM LIMITED
WhetherCorporateIdentityNumberIsAssuredByAssurer,61,false,360 ONE WAM LIMITED
WhetherAddressOfRegisteredOfficeOfCompanyIsAssuredByAssurer,61,false,360 ONE WAM LIMITED
WhetherAddressOfCorporateOfficeOfCompanyIsAssuredByAssurer,61,false,360 ONE WAM LIMITED
WhetherWebsiteOfCompanyIsAssuredByAssurer,61,false,360 ONE WAM LIMITED
WhetherDetailsOfFinancialYearForWhichReportingIsBeingDoneIsAssuredByAssurer,61,false,360 ONE WAM LIMITED
WhetherDetailsOfTheStockExchangeWhereTheCompanyIsListedIsAssuredByAssurer,61,false,360 ONE WAM LIMITED
WhetherNameAndContactDetailsOfTheContactPersonInCaseOfAnyQueriesOnTheBRSRReportIsAssuredByAssurer,61,false,360 ONE WAM LIMITED
WhetherReportingBoundaryIsAssuredByAssurer,61,false,360 ONE WAM LIMITED
TypeOfAssuranceForDetailsOfProductsOrServices,61,Partial,360 ONE WAM LIMITED
WhetherDetailsOfBusinessActivitiesAccountingForNinetyPercentOfTheTurnoverIsAssuredByAssurer,61,false,360 ONE WAM LIMITED
WhetherProductsOrServicesSoldByTheEntityAccountingForNinetyPercentOfTheTurnoverIsAssuredByAssurer,61,false,360 ONE WAM LIMITED
TypeOfAssuranceForDetailsOfOperations,61,Partial,360 ONE WAM LIMITED
WhetherDetailsOfNumberOfLocationsWherePlantsAndOrOperationsOrOfficesOfTheEntityAreSituatedIsAssuredByAssurer,61,false,360 ONE WAM LIMITED
TypeOfAssuranceForDetailsOfEmployees,61,Partial,360 ONE WAM LIMITED
WhetherDetailsOfEmployeesAsAtTheEndOfFinancialYearIsAssuredByAssurer,61,false,360 ONE WAM LIMITED
TypeOfAssuranceForDetailsOfHoldingSubsidiaryAndAssociateCompaniesIncludingJointVentures,61,Partial,360 ONE WAM LIMITED
TypeOfAssuranceForDetailsOfCSR,61,Partial,360 ONE WAM LIMITED
AssurerHasAssuredWhetherTheEnlistedPoliciesExtendToYourValueChainPartners,61,false,360 ONE WAM LIMITED
WhetherStatementByDirectorResponsibleForTheBusinessResponsibilityReportHighlightingESGRelatedChallengesTargetsAndAchievementsIsAssuredByAssurer,61,false,360 ONE WAM LIMITED
WhetherDetailsOfTheHighestAuthorityResponsibleForImplementationAndOversightOfTheBusinessResponsibilityPolicyIsAssuredByAssurer,61,false,360 ONE WAM LIMITED
WhetherDetailsOfFinesOrPenaltiesOrPunishmentOrAwardOrCompoundingFeesOrSettlementIsAssuredByAssurer,61,false,360 ONE WAM LIMITED
WhetherDetailsOfTheAppealOrRevisionPreferredInCasesWhereMonetaryOrNonMonetaryActionHasBeenAppealedIsAssuredByAssurer,61,false,360 ONE WAM LIMITED
WhetherDetailsAndWeblinkOfAnAntiCorruptionOrAntiBriberyPolicyIsPlaceIsAssuredByAssurer,61,false,360 ONE WAM LIMITED
WhetherNumberOfDirectorsOrKMPsOrEmployeesOrWorkersAgainstWhomDisciplinaryActionWasTakenByAnyLawEnforcementAgencyForTheChargesOfBriberyOrCorruptionIsAssuredByAssurer,61,false,360 ONE WAM LIMITED
WhetherDetailsOfComplaintsWithRegardToConflictOfInterestIsAssuredByAssurer,61,false,360 ONE WAM LIMITED
WhetherDetailsOfAnyCorrectiveActionTakenOrUnderwayOnIssuesRelatedToFinesOrPenaltiesOrActionTakenByRegulatorsOrLawEnforcementAgenciesOrJudicialInstitutionsOnCasesOfCorruptionAndConflictsOfInterestIsAssuredByAssurer,61,false,360 ONE WAM LIMITED
WhetherNumberOfDaysOfAccountsPayablesIsAssuredByAssurer,61,true,360 ONE WAM LIMITED
AssuranceSubTypeForNumberOfDaysOfAccountsPayables,61,Reasonable,360 ONE WAM LIMITED
WhetherDetailsOfConcentrationOfPurchasesAndSalesWithTradingHousesDealersAndRelatedPartiesAlongWithLoansAndAdvancesAndInvestmentsWithRelatedPartiesIsAssuredByAssurer,61,true,360 ONE WAM LIMITED
AssuranceSubTypeForDetailsOfConcentrationOfPurchasesAndSalesWithTradingHousesDealersAndRelatedPartiesAlongWithLoansAndAdvancesAndInvestmentsWithRelatedParties,61,Reasonable,360 ONE WAM LIMITED
AssurerHasAssuredWhetherTheWasteCollectionPlanIsInLineWithTheExtendedProducerResponsibilityPlanSubmittedToPollutionControlBoardsAndStepsTakenToAddressTheWasteCollectionPlanIfNotSubmitted,61,false,360 ONE WAM LIMITED
WhetherDetailsOfSignificantSocialOrEnvironmentalConcernsFromProductionOrDisposalOfProductOrServiceWithActionTakenToMitigateTheSameIsAssuredByAssurer,61,false,360 ONE WAM LIMITED
WhetherDetailsOfPercentageOfRecycledOrReusedInputMaterialToTotalMaterialByValueUsedInProductionOrProvidingServicesIsAssuredByAssurer,61,false,360 ONE WAM LIMITED
WhetherDetailsOfReclaimedProductsAndTheirPackagingMaterialsForEachProductCategoryIsAssuredByAssurer,61,false,360 ONE WAM LIMITED
WhetherDetailsOfMeasuresForTheWellBeingOfEmployeesAndWorkersAndSpendingOnItIsAssuredByAssurer,61,true,360 ONE WAM LIMITED
AssuranceSubTypeForDetailsOfMeasuresForTheWellBeingOfEmployeesAndWorkersAndSpendingOnIt,61,Reasonable,360 ONE WAM LIMITED
WhetherDetailsOfRetirementBenefitsIsAssuredByAssurer,61,false,360 ONE WAM LIMITED
WhetherThePremisesOrOfficesOfTheEntityAccessibleToDifferentlyAbledEmployeesAndWorkersAndStepsAreBeingTakenByTheEntityIfThePremisesOrOfficesOfTheEntityNotAccessibleIsAssuredByAssurer,61,false,360 ONE WAM LIMITED
AssurerHasAssuredWhetherTheEntityHaveAnEqualOpportunityPolicyAsPerTheRightsOfPersonsWithDisabilitiesAct2016,61,false,360 ONE WAM LIMITED
WhetherMembershipOfEmployeesAndWorkerInAssociationsOrUnionsRecognisedByTheListedEntityIsAssuredByAssurer,61,false,360 ONE WAM LIMITED
WhetherDetailsOfTrainingGivenToEmployeesAndWorkersIsAssuredByAssurer,61,false,360 ONE WAM LIMITED
WhetherDetailsOfPerformanceAndCareerDevelopmentReviewsOfEmployeesAndWorkerIsAssuredByAssurer,61,false,360 ONE WAM LIMITED
WhetherDetailsOfSafetyRelatedIncidentsIsAssuredByAssurer,61,true,360 ONE WAM LIMITED
WhetherDetailsOfComplaintsMadeByEmployeesAndWorkersIsAssuredByAssurerAsPerP3,61,false,360 ONE WAM LIMITED
WhetherAssessmentsOfYourPlantsAndOfficesThatWereAssessedForTheYearP3IsAssuredByAssurer,61,false,360 ONE WAM LIMITED
WhetherDetailsOfAnyCorrectiveActionTakenOrUnderwayToAddressSafetyRelatedIncidentsOfYourPlantsAndOfficesThatWereAssessedIsAssuredByAssurer,61,false,360 ONE WAM LIMITED
WhetherDetailsOfMeasuresUndertakenByTheEntityToEnsureThatStatutoryDuesHaveBeenDeductedAndDepositedByTheValueChainPartnersIsAssuredByAssurer,61,false,360 ONE WAM LIMITED
WhetherDetailsOfNumberOfEmployeesOrWorkersHavingSufferedHighConsequenceWorkRelatedInjuryOrIllHealthOrFatalitiesWhoOrWhoseFamilyMembersAreRehabilitatedAndPlacedInSuitableEmploymentIsAssuredByAssurer,61,false,360 ONE WAM LIMITED
WhetherDetailsOnAssessmentOfValueChainPartnersP3IsAssuredByAssurer,61,false,360 ONE WAM LIMITED
WhetherDetailsOfAnyCorrectiveActionTakenOrUnderwayToAddressSafetyRelatedIncidentsOnAssessmentOfValueChainPartnersIsAssuredByAssurer,61,false,360 ONE WAM LIMITED
WhetherListStakeholderGroupsIdentifiedAsKeyForYourEntityAndTheFrequencyOfEngagementWithEachStakeholderGroupIsAssuredByAssurer,61,false,360 ONE WAM LIMITED
AssurerHasAssuredWhetherStakeholderConsultationIsUsedToSupportTheIdentificationAndManagementOfEnvironmentalAndSocialTopics,61,false,360 ONE WAM LIMITED
WhetherDetailsOfInstancesOfEngagementWithAndActionsTakenToAddressTheConcernsOfVulnerableOrMarginalizedStakeholderGroupsIsAssuredByAssurer,61,false,360 ONE WAM LIMITED
WhetherDetailsOfMinimumWagesPaidToEmployeesAndWorkersIsAssuredByAssurer,61,false,360 ONE WAM LIMITED
WhetherDetailsOfMedianOfRemunerationOrSalaryOrWagesAndWagesPaidToFemaleIsAssuredByAssurer,61,true,360 ONE WAM LIMITED
AssurerHasAssuredWhetherDoYouHaveAFocalPointResponsibleForAddressingHumanRightsImpactsOrIssuesCausedOrContributedToByTheBusiness,61,false,360 ONE WAM LIMITED
WhetherDetailsOfComplaintsMadeByEmployeesAndWorkersIsAssuredByAssurerAsPerP5,61,false,360 ONE WAM LIMITED
WhetherAssessmentsOfYourPlantsAndOfficesThatWereAssessedForTheYearP5IsAssuredByAssurer,61,false,360 ONE WAM LIMITED
WhetherDetailsOfAnyCorrectiveActionsTakenOrUnderwayToAddressSignificantRisksOrConcernsArisingFromTheAssessmentsOfPlantAndOfficeIsAssuredByAssurer,61,false,360 ONE WAM LIMITED
WhetherDetailsOfABusinessProcessBeingModifiedOrIntroducedAsAResultOfAddressingHumanRightsGrievancesOrComplaintsIsAssuredByAssurer,61,false,360 ONE WAM LIMITED
WhetherDetailsOfTheScopeAndCoverageOfAnyHumanRightsDueDiligenceConductedIsAssuredByAssurer,61,false,360 ONE WAM LIMITED
AssurerHasAssuredWhetherThePremiseOrOfficeOfTheEntityAccessibleToDifferentlyAbledVisitorsAsPerTheRequirementsOfTheRightsOfPersonsWithDisabilitiesAct2016,61,false,360 ONE WAM LIMITED
WhetherDetailsOnAssessmentOfValueChainPartnersP5IsAssuredByAssurer,61,false,360 ONE WAM LIMITED
