Company_Name,Sector,City,State,Base_MSA_Loss,Sector_EIF,Weighted_MSA_Loss,Data_Tier,Confidence,Revenue_Cr,MSA_Intensity
BHARAT HEAVY ELECTRICALS LIMITED,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,283394464158.2102,2.4559407046548554e-09
BLS International Services Limited,Chemicals & Fertilizers,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,1384905799.2346187,3.899182170357263e-07
Bajaj Auto Limited,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,500103104169.46173,1.0077921848475825e-09
Bajaj Finance Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,697342906774.7539,8.776170146055271e-10
Bajaj Finserv Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,1338443453587.353,4.931101110256395e-10
Bajaj Holdings  Investment Limited,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,16002548647.05497,4.649259417417375e-08
Balkrishna Industries Limited,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,1041287.9999989202,0.0005531610851182355
Balrampur Chini Mills Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,54153785508.767426,1.1522740176658106e-08
Bandhan Bank Limited,Financial Services,Kolkata,West Bengal,0.58,0.01,0.0058,Tier 2,75%,249121131066.1062,2.328184676739014e-11
Bharat Dynamics Limited,Chemicals & Fertilizers,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,33450893172.350487,1.6143066710288857e-08
Bharat Forge Limited,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,88437412902.69695,5.698945541911372e-09
Bharti Airtel Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,1089423791821.5613,5.617648564262681e-10
Bharti Hexacom Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,85478859390.36382,7.721207380481297e-09
Bikaji Foods International Limited,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,253686.25999950242,0.0029327563897290267
Biocon Limited,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,24848.999999971293,0.02318000724377904
Birla Corporation Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,92144970856.62085,6.7719376781935795e-09
Birlasoft Limited,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,26578495982.666786,2.6186583336163853e-08
Blue Dart Express Limited,Chemicals & Fertilizers,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,57201832191.007866,9.440257056746656e-09
Blue Star Limited,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,113255169540.94809,4.45012799012036e-09
Bosch limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,181725000000.0,3.3677259595542714e-09
Brigade Enterprises Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,50742077109.48834,1.30069567033271e-08
Britannia Industries Limited,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,172958660372.99524,4.301605935172726e-09
CCL Products India Limited,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,17179971000.960392,3.352741398502946e-08
CE INFO SYSTEMS LIMITED,Chemicals & Fertilizers,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,38386.9999989087,0.016255503165596156
CEAT Limited,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,131716692857.23717,5.284068290071392e-09
CERA Sanitaryware Limited,Chemicals & Fertilizers,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,191525.1200036199,0.0028194734977312315
CESC Limited,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,95839994064.98822,5.2587649333350566e-09
CG Power and Industrial Solutions Limited,Power Generation,Ahmedabad,Gujarat,0.51,2.5,1.275,Tier 2,75%,93287619586.2199,1.3667408447715803e-08
CHENNAI PETROLEUM CORPORATION LIMITED,Oil & Gas,Mumbai,Maharashtra,0.55,2.0,1.1,Tier 2,75%,71049.90999897323,0.015482074502499674
CITY UNION BANK LIMITED,Financial Services,Delhi,Delhi,0.62,0.01,0.0062,Tier 2,75%,67322320426.48708,9.209427067758483e-11
COAL INDIA LIMITED,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,143368939892.28613,4.017606605954902e-09
COROMANDEL INTERNATIONAL LIMITED,Chemicals & Fertilizers,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,240639634354.9885,2.593089046501306e-09
Campus Activewear Limited,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,15929382991.83485,4.3692841107327166e-08
Can Fin Homes Limited,Chemicals & Fertilizers,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,39866666666.66667,1.354515050167224e-08
Canara Bank,Financial Services,Pune,Maharashtra,0.42,0.01,0.0042,Tier 2,75%,1422142372655.9385,2.953290810227559e-12
Caplin Point Laboratories Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,19212272050.166176,3.185463949302688e-08
Capri Global Capital Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,24101510824.504833,2.7384175407334023e-08
Carborundum Universal Limited,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,27862745098.039215,2.670232230823364e-08
Cello World Limited,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,11127343750.0,5.176437548269325e-08
Central Bank of India,Financial Services,Chennai,Tamil Nadu,0.52,0.01,0.0052,Tier 2,75%,,
Century Plyboards India Limited,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,406790.9700000613,0.0017109524333834033
Chalet Hotels Limited,Chemicals & Fertilizers,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,17178.249999960317,0.031435099617321174
Chemplast Sanmar Limited,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,24087398055.336025,2.0923804175202313e-08
Cholamandalam Financial Holdings Limited,Financial Services,Ahmedabad,Gujarat,0.51,0.01,0.0051,Tier 2,75%,334568965517.2414,1.5243493944859573e-11
Cholamandalam Investment and Finance Company Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,260518507807.9815,2.5334092596847725e-09
Cipla Limited,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,275476097940.1477,2.7007787810383745e-09
Clean Science and Technology Limited,Information Technology,Bangalore,Karnataka,0.48,0.1,0.048,Tier 2,75%,9223146191.187452,5.204297861597719e-09
Cochin Shipyard Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,45278508144.46703,1.3781372787483324e-08
Coforge Limited,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,55567271862.36422,1.2525358483028237e-08
Computer Age Management Services Limited,Chemicals & Fertilizers,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,14224932963.476652,3.7961514573494414e-08
Concord Biotech Limited,Information Technology,Pune,Maharashtra,0.42,0.1,0.042,Tier 2,75%,12000874441.278046,3.499744973211066e-09
Container Corporation of India Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,88633607117.14871,6.904830119247071e-09
Craftsman Automation Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,384794.3599919816,0.0017152018548654228
CreditAccess Grameen Limited,Cement,Delhi,Delhi,0.62,1.0,0.62,Tier 2,75%,57559250417.760796,1.0771509279569934e-08
Crompton Greaves Consumer Electricals Limited,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,70289386368.1791,8.194693818820455e-09
Cummins India Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,101661519769.14899,6.138015656434875e-09
Cyient Limited,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,24136194217.789867,2.8836360601001666e-08
Cyient Limited,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,24136194217.789867,2.8836360601001666e-08
Cyient Limited,Chemicals & Fertilizers,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,24136194217.789867,2.2373038397328882e-08
Cyient Limited,Chemicals & Fertilizers,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,24136194217.789867,2.2373038397328882e-08
DCM Shriram Limited,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,123688064437.3932,4.074766650222003e-09
DIVIS LABORATORIES LIMITED,Chemicals & Fertilizers,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,91980836889.26622,6.653559814168399e-09
DLF Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,79936854419.41074,8.256517032020402e-09
DOMS Industries Limited,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,170910.0000021139,0.0043531683341571465
Dabur India Limited,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,90707302655.5111,6.350095120649075e-09
Dalmia Bharat Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,139789569990.85086,4.463852346357746e-09
Data Patterns India Limited,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,7083478260.869564,9.825681315983305e-08
Deepak Nitrite Limited,Chemicals & Fertilizers,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,25264722896.150352,2.1373675944107865e-08
Delhivery Limited,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,89319041357.87712,5.642693790012915e-09
Devyani International Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,33493.329999967376,0.018272294812149047
Dixon Technologies India Limited,Information Technology,Mumbai,Maharashtra,0.55,0.1,0.055,Tier 2,75%,54181250000.0,1.0151113161841043e-09
Dr Reddys Laboratories Limited,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,326439.0000006831,0.0022791394410546627
EICHER MOTORS LIMITED,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,18451.460000007046,0.031217041903447207
EIH Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,2743.1499999999182,0.22747571222864904
ESAB India Limited,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,137347.00000025396,0.005067456879281769
Easy Trip Planners Limited,Chemicals & Fertilizers,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,4032814045.499505,1.3390153721633242e-07
Electronics Mart India Limited,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,69647424164.52441,7.236448526932274e-09
Elgi Equipments Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,20809069827.364082,2.9410252600297174e-08
Emami Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,31235130346.747658,2.113005429057613e-08
Endurance Technologies Limited,Information Technology,Delhi,Delhi,0.62,0.1,0.062,Tier 2,75%,88461546281.18916,7.008695032632946e-10
Engineers India Limited,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,30283525470.70541,1.9020242559182556e-08
Equitas Small Finance Bank Limited,Financial Services,Chennai,Tamil Nadu,0.52,0.01,0.0052,Tier 2,75%,631200039.749508,8.238275780311455e-09
Eris Lifesciences Limited,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,16636019816.336393,4.183693020830231e-08
Escorts Kubota Limited,Chemicals & Fertilizers,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,110307894736.8421,4.895388505856813e-09
Eureka Forbes Limited,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,24360.620007069407,0.020689128595813247
Exide Industries Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,165881170863.56525,3.689387992705699e-09
FERTILIZERS AND CHEMICALS TRAVANCORE LIMITED,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,40509089277.64959,1.629263979440158e-08
FINE ORGANIC INDUSTRIES LIMITED,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,22051926526.624332,3.3738548833895926e-08
Finolex Cables Limited,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,53189106114.311035,1.0829285206675464e-08
Finolex Industries Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,41419686173.40705,1.506530004567323e-08
Firstsource Solutions Limited,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,23065820947.67114,3.0174516726675285e-08
Five-Star Business Finance Limited,Chemicals & Fertilizers,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,28479810676.598385,1.8960800200954754e-08
Force Motors Ltd,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,80069964664.31096,6.294495097044104e-09
Fortis Healthcare Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,652803.000006444,0.0009374956916465743
G R Infraprojects Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,65155698561.38938,1.0129582132837564e-08
GAIL India Limited,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,137287.99999998466,0.005419264611619975
GALAXY SURFACTANTS LIMITED,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,30012701499.09051,1.9191874480791234e-08
GLAND PHARMA LIMITED,Pharmaceuticals,Chennai,Tamil Nadu,0.52,0.5,0.26,Tier 2,75%,41161484539.96763,6.316584615589875e-09
GLOBAL HEALTH LIMITED,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,369230.9999922848,0.0018849988219151238
GODAWARI POWER AND ISPAT LIMITED,Power Generation,Hyderabad,Telangana,0.45,2.5,1.125,Tier 2,75%,46612446911.21709,2.4135184367016646e-08
GODFREY PHILLIPS INDIA LIMITED,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,67349311583.43508,7.483372704940334e-09
GODREJ AGROVET LIMITED,Chemicals & Fertilizers,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,70090654326.27406,8.731549246938427e-09
GRANULES INDIA LIMITED,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,30277663230.24055,2.1798247605211788e-08
GRAPHITE INDIA LIMITED,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,24200028250.958622,3.074376576277461e-08
GUJARAT GAS LIMITED,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,171851574161.6735,3.351729553888835e-09
Garden Reach Shipbuilders  Engineers Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,50759179265.658745,1.2293342978107781e-08
General Insurance Corporation of India,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,410413131313.13135,1.6958521716230748e-09
Genus Power Infrastructures Limited,Power Generation,Hyderabad,Telangana,0.45,2.5,1.125,Tier 2,75%,24419877408.05604,4.60690273419991e-08
Gillette India Limited,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,22348076472.360798,2.2552276506809297e-08
GlaxoSmithKline Pharmaceuticals Limited,Pharmaceuticals,Ahmedabad,Gujarat,0.51,0.5,0.255,Tier 2,75%,372361254739.74493,6.848188332006442e-10
Glenmark Pharmaceuticals Limited,Pharmaceuticals,Mumbai,Maharashtra,0.55,0.5,0.275,Tier 2,75%,92263876310.00128,2.980581469133336e-09
Go Digit General Insurance Limited,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,102855564516.12903,7.233444330406952e-09
Godrej Consumer Products Limited,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,89101499621.36166,6.4645376615177275e-09
Godrej Industries Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,41712186264.68196,1.4959657018226008e-08
Godrej Properties Limited,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,49228887124.52031,1.413804050129199e-08
Grasim Industries Limited,Chemicals & Fertilizers,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,315632340610.3302,1.7108512991913813e-09
Grindwell Norton Limited,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,27373643021.84991,1.841187158018033e-08
Gujarat Ambuja Exports Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,46125755640.71764,1.3268075319285507e-08
Gujarat Fluorochemicals Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,45645456061.65676,1.4459270581248839e-08
Gujarat Pipavav Port Limited,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,9876749688.187113,7.532842518929544e-08
Gujarat State Petronet Limited,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,11107813639.192675,5.185538925208905e-08
HCL Technologies Limited,Information Technology,Chennai,Tamil Nadu,0.52,0.1,0.052,Tier 2,75%,1170550.0000410574,4.4423561572061075e-05
HDFC Asset Management Company Limited,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,3498.029999983964,0.19896913405636618
HDFC Bank Limited,Financial Services,Hyderabad,Telangana,0.45,0.01,0.0045,Tier 2,75%,3460043223750.4194,1.300561787526558e-12
HDFC Life Insurance Company Limited,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,710372093023.2559,7.094873305833825e-10
HEG Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,21527084093.083237,2.842930316775409e-08
HERO MOTOCORP LIMITED,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,407555534139.6425,1.6194112083234806e-09
