Company_Name,Facility_ID,Facility_Type,Address,City,State,Country,Source
Birlasoft Limited,3,Facility,Pune office SDB,Pune,Maharashtra,India,XBRL_TextExtraction
Birlasoft Limited,4,Facility,Pune location is certified with ISO,Pune,Maharashtra,India,XBRL_TextExtraction
Birla Corporation Limited,1,Registered Office,"9/1, R N Mukherjee Road, Birla Building, Kolkata 700 001",Kolkata,West Bengal,India,XBRL_RegisteredOffice
Birla Corporation Limited,2,Corporate Office,"1, Shakespeare Sarani (2nd Floor), Kolkata 700 071",Kolkata,West Bengal,India,XBRL_CorporateOffice
Birla Corporation Limited,3,Plant,"Chanderia, Rajasthan",,Rajasthan,India,XBRL_Context_D_FacilityOrPlantLocatedInAreasOfWaterStress1
BLS International Services Limited,1,Registered Office,"G-4B-1 Extension, Mohan Co-Operative Indl. Estate, Mathura Road, New Delhi 110044",Delhi,Delhi,India,XBRL_RegisteredOffice
BLS International Services Limited,2,Corporate Office,"912, Indraprakash Building, 21, Barakhamba Road, New Delhi 110001",Delhi,Delhi,India,XBRL_CorporateOffice
Blue Dart Express Limited,1,Registered Office,"Blue Dart Centre, Sahar Airport Road, Andheri (East), Mumbai – 400099",Mumbai,Maharashtra,India,XBRL_RegisteredOffice
Blue Star Limited,1,Registered Office,"Kasturi Buildings, Mohan T Advani Chowk, Jamshedji Tata Road, Mumbai 400020",Mumbai,Maharashtra,India,XBRL_RegisteredOffice
Blue Star Limited,2,Corporate Office,"Band Box House, Dr Annie Besant Road, Worli, Mumbai 400030",Mumbai,Maharashtra,India,XBRL_CorporateOffice
Bosch limited,1,Registered Office,"Hosur Road, Adugodi, bangalore, Karnataka, 560030, India",Bangalore,Karnataka,India,XBRL_RegisteredOffice
Bosch limited,2,Plant,"Bengaluru, Bidadi, Chennai, Gangaikondan, Jaipur and Naganathapura",Bengaluru,Karnataka,India,XBRL_Context_D_FacilityOrPlantLocatedInAreasOfWaterStress1
Brigade Enterprises Limited,1,Registered Office,"29th & 30th Floor, World Trade Center, 26/1, Brigade Gateway Dr. Rajkumar Road, Malleswaram-Rajajinagar Bangalore - 560055",Bangalore,Karnataka,India,XBRL_RegisteredOffice
Brigade Enterprises Limited,2,Plant,Brigade Group has its development projects across six cities in India as mentioned in section A of the report.,,,India,XBRL_Context_D_FacilityOrPlantLocatedInAreasOfWaterStress1
Britannia Industries Limited,1,Registered Office,"5/1A, Hungerford Street, Kolkata-700017, West Bengal, India",Kolkata,West Bengal,India,XBRL_RegisteredOffice
Britannia Industries Limited,2,Corporate Office,"Prestige Shantiniketan, The Business Precinct, Tower C, 15th, 16th & 17th Floor, Whitefield Main Road,Mahadevapura Post, Bengaluru - 560048, Karnataka, India",Bengaluru,Karnataka,India,XBRL_CorporateOffice
Britannia Industries Limited,3,Plant,"Hajipur, Bihar",,Bihar,India,XBRL_Context_D_FacilityOrPlantLocatedInAreasOfWaterStress1
Campus Activewear Limited,1,Registered Office,"D1- Udyog Nagar, Main Rohtak Road, New Delhi- 110041",Delhi,Delhi,India,XBRL_RegisteredOffice
Campus Activewear Limited,2,Corporate Office,"DLF Cyber park, Block B, First Floor, Sector-20, Udyog Vihar, Phase III, Gurugram- 122016",Gurugram,Haryana,India,XBRL_CorporateOffice
Canara Bank,1,Registered Office,"Canara Bank, Head Office,
112 J C Road, Bengaluru- 560002",Bengaluru,Karnataka,India,XBRL_RegisteredOffice
Can Fin Homes Limited,1,Registered Office,"No.29/1, 1st Floor, Sir M N Krishna Rao Road, Basavanagudi, Bengaluru 560004",Bengaluru,Karnataka,India,XBRL_RegisteredOffice
Caplin Point Laboratories Limited,1,Registered Office,"Ashvich Towers, 3rd Floor, No.3, Developed Plots Industrial Estate, Perungudi, Chennai, Tamil Nadu 600096",Chennai,Tamil Nadu,India,XBRL_RegisteredOffice
Capri Global Capital Limited,1,Registered Office,"502, Tower A, Peninsula Business Park, Senapati Bapat Marg, Lower Parel Mumbai - 400013",Mumbai,Maharashtra,India,XBRL_RegisteredOffice
Carborundum Universal Limited,1,Registered Office,"Dare House’, No.234, N.S.C.Bose Road, Parrys, Chennai ‐ 600001",Chennai,Tamil Nadu,India,XBRL_RegisteredOffice
Castrol India Limited,1,Registered Office,"Technopolis Knowledge Park, Mahakali Caves Road, Andheri (East), Mumbai – 400 093",Mumbai,Maharashtra,India,XBRL_RegisteredOffice
Castrol India Limited,2,Facility,Mumbai continues to procure green power for,Mumbai,Maharashtra,India,XBRL_TextExtraction
CCL Products India Limited,1,Registered Office,"Duggirala, Guntur, Andhra Pradesh -522330, India",Guntur,Andhra Pradesh,India,XBRL_RegisteredOffice
CCL Products India Limited,2,Corporate Office,"8-2-269/4A, Road No. 2, Banjara Hills, Hyderabad - 500034, Telangana, India",Hyderabad,Telangana,India,XBRL_CorporateOffice
CEAT Limited,1,Registered Office,"463, Dr. Annie Besant Road, Worli, Mumbai - 400 030",Mumbai,Maharashtra,India,XBRL_RegisteredOffice
Cello World Limited,1,Registered Office,"597/2A, Somnath Road, Dabhel, Nani Daman 396 210, Daman and Diu, India",Daman,Daman and Diu,India,XBRL_RegisteredOffice
Cello World Limited,2,Corporate Office,"Cello House, Corporate Avenue, B Wing, 8th Floor, Sonawala Road, Goregaon (East), Mumbai – 400 063, Maharashtra, India",Mumbai,Maharashtra,India,XBRL_CorporateOffice
Central Bank of India,1,Registered Office,"Chandermukhi Building, Nariman Point, Mumbai - 400 021",Mumbai,Maharashtra,India,XBRL_RegisteredOffice
Century Plyboards India Limited,1,Registered Office,"P-15/1, Taratala Road, Kolkata- 700 088",Kolkata,West Bengal,India,XBRL_RegisteredOffice
Century Plyboards India Limited,2,Corporate Office,"CENTURY HOUSE, P-15/1, Taratala Road, Kolkata - 700 088",Kolkata,West Bengal,India,XBRL_CorporateOffice
Century Plyboards India Limited,3,Plant,"Karnal, Gummidipoondi, Hoshiarpur",,,India,XBRL_Context_D_FacilityOrPlantLocatedInAreasOfWaterStress1
Century Plyboards India Limited,4,Facility,Kolkata and,Kolkata,West Bengal,India,XBRL_TextExtraction
CERA Sanitaryware Limited,1,Registered Office,"9, GIDC Industrial Estate, Kadi-382715, Dist. Mehsana, Gujarat, India.",Mehsana,Gujarat,India,XBRL_RegisteredOffice
CERA Sanitaryware Limited,2,Corporate Office,"7th & 8th Floor, B Wing, Privilon, Ambli BRTS Road, ISKCON Crossroads, Ahmedabad - 380059",Ahmedabad,Gujarat,India,XBRL_CorporateOffice
CESC Limited,1,Registered Office,"CESC House, Chowringhee Square, Kolkata 700001, West Bengal, India",Kolkata,West Bengal,India,XBRL_RegisteredOffice
CE INFO SYSTEMS LIMITED,1,Registered Office,"FIRST, SECOND, THIRD FLOOR, PLOT NO. 237, OKHLA INDUSTRIAL AREA, PHASE-III, NEW DELHI-110020",Delhi,Delhi,India,XBRL_RegisteredOffice
CE INFO SYSTEMS LIMITED,2,Corporate Office,"FIRST, SECOND & THRID FLOOR, PLOT NO. 237 OKHLA INDUSTRIAL ESTATE, PHASE –III, NEW DELHI NEW DELHI South Delhi DL 110020 IN",Delhi,Delhi,India,XBRL_CorporateOffice
CG Power and Industrial Solutions Limited,1,Registered Office,"CG House, 6th Floor, Dr. Annie Besant Road, Worli, Mumbai - 400030,  Maharashtra, India",Mumbai,Maharashtra,India,XBRL_RegisteredOffice
Chalet Hotels Limited,1,Registered Office,"Raheja Tower, Plot No. C-30, Block ‘G’, Next to Bank of Baroda, Bandra Kurla Complex, Bandra (East), Mumbai 400051",Mumbai,Maharashtra,India,XBRL_RegisteredOffice
Chemplast Sanmar Limited,1,Registered Office,"No. 9 Cathedral Road, Chennai 600086",Chennai,Tamil Nadu,India,XBRL_RegisteredOffice
CHENNAI PETROLEUM CORPORATION LIMITED,1,Registered Office,"CHENNAI PETROLEUM CORPORATION LIMITED, 536, ANNA SALAI, TEYNAMPET, CHENNAI-6000018",Chennai,Tamil Nadu,India,XBRL_RegisteredOffice
CHENNAI PETROLEUM CORPORATION LIMITED,2,Plant,"Manali, Chennai",Chennai,Tamil Nadu,India,XBRL_Context_D_FacilityOrPlantLocatedInAreasOfWaterStress1
Cholamandalam Financial Holdings Limited,1,Registered Office,"‘Dare House’, No. 234, NSC Bose Road, Chennai - 600 001, Tamil Nadu",Chennai,Tamil Nadu,India,XBRL_RegisteredOffice
Cholamandalam Investment and Finance Company Limited,1,Registered Office,"Chola Crest, C54-55 & Super B-4, Thiru-Vi-Ka Industrial Estate, Guindy, Chennai - 600032.",Chennai,Tamil Nadu,India,XBRL_RegisteredOffice
CIE AUTOMOTIVE INDIA LIMITED,1,Registered Office,"Suite F9D, Grand Hyatt Plaza (Lobby Level) Off Western Express Highway, Santacruz  (E) Mumbai-400055",Mumbai,Maharashtra,India,XBRL_RegisteredOffice
CIE AUTOMOTIVE INDIA LIMITED,2,Corporate Office,"602-603, Amar Business Park, Baner Road, opp. Sadanand Resort, Pune, Maharashtra 411045",Pune,Maharashtra,India,XBRL_CorporateOffice
Cipla Limited,1,Registered Office,"Cipla House, Peninsula Business Park, Ganpatrao Kadam Marg, Lower Parel, Mumbai - 400013",Mumbai,Maharashtra,India,XBRL_RegisteredOffice
Cipla Limited,2,Plant,"Baddi, Bommasandra, Virgonagar, Indore, Satara
Note: As per WRI Aqueduct tool (Beta Version 3.0). Sites with water stress >80% are considered",Baddi,,India,XBRL_Context_D_FacilityOrPlantLocatedInAreasOfWaterStress1
CITY UNION BANK LIMITED,1,Registered Office,"149, TSR (Big) street, Thanjavur Dist. Kumbakonam, Tamil Nadu, India - 612 001",,Tamil Nadu,India,XBRL_RegisteredOffice
CITY UNION BANK LIMITED,2,Corporate Office,"""Narayana"" No.24B, Gandhi Nagar Kumbakonam, Tamilnadu, India - 612 001",,,India,XBRL_CorporateOffice
Clean Science and Technology Limited,1,Registered Office,"Office No. 603 & 604, 6th floor, Tower No. 15, Cybercity,Magarpatta City, Hadapsar, Pune 411013",Pune,Maharashtra,India,XBRL_RegisteredOffice
COAL INDIA LIMITED,1,Registered Office,"Coal Bhawan, Premises 04-MAR, Action Area 1A, Newtown Rajarhat Kolkata-700156",Kolkata,West Bengal,India,XBRL_RegisteredOffice
COAL INDIA LIMITED,2,Facility,Gujarat and,,Gujarat,India,XBRL_TextExtraction
Cochin Shipyard Limited,1,Registered Office,"Cochin Shipyard Limited, Administrative Building, Cochin Shipyard Premises, Perumanoor, Kochi – 682015, Kerala, India",Kochi,Kerala,India,XBRL_RegisteredOffice
Coforge Limited,1,Registered Office,"Plot No. 13, Udyog Vihar, Phase-IV, Sector-18, Palam Road, Gurugram - 122015, Haryana, India",Gurugram,Haryana,India,XBRL_RegisteredOffice
Coforge Limited,2,Corporate Office,"Special Economic Zone, Plot No. TZ-2& 2A, Sector - Tech Zone, Greater Noida (UP)- 201308, India",Noida,Uttar Pradesh,India,XBRL_CorporateOffice
Computer Age Management Services Limited,1,Registered Office,"New No.10, Old No 178, M.G.R. Salai, Nungambakkam, Chennai (Madras), Tamil Nadu, 600034",Chennai,Tamil Nadu,India,XBRL_RegisteredOffice
Computer Age Management Services Limited,2,Corporate Office,"Rayala Towers, Tower - 1, Anna Salai, No.158, Rayala Towers, Tower - I, 3rd Floor, Anna Salai 
Chennai 600002",Chennai,Tamil Nadu,India,XBRL_CorporateOffice
Concord Biotech Limited,1,Registered Office,"1482-1486, Trasad Road, Dholka, Dist. Ahmedabad - 382225, Gujarat",Ahmedabad,Gujarat,India,XBRL_RegisteredOffice
Concord Biotech Limited,2,Corporate Office,"B-1601-1602, B-Wing, Mondeal Heights, Iskcon CrossRoad, S. G. Highway, Ahmedabad - 380015, Gujarat",Ahmedabad,Gujarat,India,XBRL_CorporateOffice
Container Corporation of India Limited,1,Registered Office,"CONCOR Bhawan, C-3, Mathura Road, Opposite Apollo Hospital, New Delhi-110076",Delhi,Delhi,India,XBRL_RegisteredOffice
COROMANDEL INTERNATIONAL LIMITED,1,Registered Office,"Coromandel House’, 1-2-10, Sardar Patel Road, Secunderabad - 500 003",,,India,XBRL_RegisteredOffice
COROMANDEL INTERNATIONAL LIMITED,2,Corporate Office,"Olympia Terraces, #15B(SP), SIDCO Industrial Estate, Guindy, Chennai – 600 032",Chennai,Tamil Nadu,India,XBRL_CorporateOffice
COROMANDEL INTERNATIONAL LIMITED,3,Plant,"Udaipur, Block Girwa, Rajasthan",Udaipur,Rajasthan,India,XBRL_Context_D_FacilityOrPlantLocatedInAreasOfWaterStress1
Craftsman Automation Limited,1,Registered Office,"123/4, Sangothipalayam Road, Arasur Post, Coimbatore –641407 Tamil Nadu, India.",Coimbatore,Tamil Nadu,India,XBRL_RegisteredOffice
Craftsman Automation Limited,2,Corporate Office,"Krishna Towers, 4th & 5th Floor, 1087, Avinashi Road,Coimbatore – 641037 Tamil Nadu, India.",Coimbatore,Tamil Nadu,India,XBRL_CorporateOffice
CreditAccess Grameen Limited,1,Registered Office,"New No. 49 (Old No725), 46th Cross, 8th Block, Jayanagar, 
(Next to Rajalakshmi Kalyana Mantap) Bengaluru KA-560070",Bengaluru,Karnataka,India,XBRL_RegisteredOffice
Crisil Limited,1,Registered Office,"Crisil House, Central Avenue, Hiranandani Business Park, Powai, Mumbai 400 076*

*Registered Office shifted to Lightbridge IT Park, Saki Vihar Road, Andheri East, Mumbai 400 072 w.e.f. March 19, 2025.",Mumbai,Maharashtra,India,XBRL_RegisteredOffice
Crisil Limited,2,Corporate Office,"Lightbridge IT Park, Saki Vihar Road, Andheri East, Mumbai 400 072",Mumbai,Maharashtra,India,XBRL_CorporateOffice
Crisil Limited,3,Plant,"India offices of Ahmedabad, Gurugram, Pune (one)",Ahmedabad,Maharashtra,India,XBRL_Context_D_FacilityOrPlantLocatedInAreasOfWaterStress1
Crisil Limited,4,Facility,"Mumbai
In the conceptualisation and execution of our new office at Lightbridge",Mumbai,Maharashtra,India,XBRL_TextExtraction
Crompton Greaves Consumer Electricals Limited,1,Registered Office,"05GBD, Godrej Business District, Pirojshanagar, Vikhroli (West), Mumbai 400079",Mumbai,Maharashtra,India,XBRL_RegisteredOffice
Cummins India Limited,1,Registered Office,"Cummins India Office Campus, Tower A, 5th Floor, Survey No. 21, Balewadi Pune, 411045, Maharashtra, India",Pune,Maharashtra,India,XBRL_RegisteredOffice
Cyient Limited,1,Registered Office,"4th Floor, ‘A’ Wing, Plot .11, Software, Units Layout,
Infocity, Madhapur Hyderabad, Telangana - 500 0815G, Survey No.99/1, Mamidipalli Village, GMR Aerospace & Industrial Park Limited, Rajiv Gandhi International Airport, Shamshabad, Hyderabad, Telangana, India - 500108",Hyderabad,Telangana,India,XBRL_RegisteredOffice
Cyient Limited,2,Corporate Office,"4th Floor, ‘A’ Wing, Plot .11, Software, Units Layout,
Infocity, Madhapur Hyderabad, Telangana - 500 081",Hyderabad,Telangana,India,XBRL_CorporateOffice
Dabur India Limited,1,Registered Office,"8/3, Asaf Ali Road, New Delhi – 110002",Delhi,Delhi,India,XBRL_RegisteredOffice
Dabur India Limited,2,Corporate Office,"Dabur India Limited, Kaushambi, Ghaziabad – 201010, Uttar Pradesh, India",Ghaziabad,Uttar Pradesh,India,XBRL_CorporateOffice
Dabur India Limited,3,Plant,"i.	Uttar Pradesh - Sahibabad
ii.	Rajasthan - Newai, Alwar
iii.	Madhya Pradesh – Indore, Pithampur
iv.	Dadra & Nagar Haveli - Silvassa",Indore,Rajasthan,India,XBRL_Context_D_FacilityOrPlantLocatedInAreasOfWaterStress1
Dabur India Limited,4,Facility,Uttar Pradesh now operates entirely on renewable electricity,,Uttar Pradesh,India,XBRL_TextExtraction
Dabur India Limited,5,Facility,Uttar Pradesh has become the first factory in the Dabur Network to operate using,,Uttar Pradesh,India,XBRL_TextExtraction
Dalmia Bharat Limited,1,Registered Office,"Dalmiapuram, Dist. Tiruchirapalli, Tamil Nadu- 621651",,Tamil Nadu,India,XBRL_RegisteredOffice
Dalmia Bharat Limited,2,Corporate Office,"11th & 12th Floors, Hansalaya Building, 15, Barakhamba Road, New Delhi-110001",Delhi,Delhi,India,XBRL_CorporateOffice
Dalmia Bharat Limited,3,Plant,"Kadapa, Andhra Pradesh",,Andhra Pradesh,India,XBRL_Context_D_FacilityOrPlantLocatedInAreasOfWaterStress1
Dalmia Bharat Limited,4,Plant,"Belgaum, Karnataka",,Karnataka,India,XBRL_Context_D_FacilityOrPlantLocatedInAreasOfWaterStress2
Data Patterns India Limited,1,Registered Office,"Plot No. H-9, Fourth Main Road, SIPCOT IT Park, Siruseri, Chenai - 603103",,,India,XBRL_RegisteredOffice
DCM Shriram Limited,1,Registered Office,"2nd Floor (West wing), Worldmark-1, Aerocity, New Delhi-110037",Delhi,Delhi,India,XBRL_RegisteredOffice
DCM Shriram Limited,2,Facility,Kota,Kota,,India,XBRL_TextExtraction
DCM Shriram Limited,3,Facility,Kota resulted in reduced steam consumption,Kota,,India,XBRL_TextExtraction
Deepak Nitrite Limited,1,Registered Office,"2nd Floor, Fermenter House, Alembic City, Alembic Avenue Road,
Vadodara - 390003",Vadodara,Gujarat,India,XBRL_RegisteredOffice
Deepak Nitrite Limited,2,Plant,Nandesari and Dahej in Gujarat and Jeedimetla in Telangana,,Gujarat,India,XBRL_Context_D_FacilityOrPlantLocatedInAreasOfWaterStress1
Delhivery Limited,1,Registered Office,"N24-N34, S24-S34, Air Cargo Logistics Centre-II, Opposite Gate 6 Cargo Terminal, IGI Airport, New Delhi 110037",Delhi,Delhi,India,XBRL_RegisteredOffice
Delhivery Limited,2,Corporate Office,"Plot No. 5, Sector 44, Gurugram 122001",Gurugram,Haryana,India,XBRL_CorporateOffice
Devyani International Limited,1,Registered Office,"F-2/7, Okhla Industrial Area, Phase-I, New Delhi-110020",Delhi,Delhi,India,XBRL_RegisteredOffice
Devyani International Limited,2,Corporate Office,"Plot No.-18, Sector-35, Gurugram-122004, Haryana",Gurugram,Haryana,India,XBRL_CorporateOffice
Devyani International Limited,3,Plant,"As per the Central Ground Water Authority categorization, for all stores/offices located in water stress areas.",,,India,XBRL_Context_D_FacilityOrPlantLocatedInAreasOfWaterStress1
DIVIS LABORATORIES LIMITED,1,Registered Office,"Divi Towers,1-72/23(P)/DIVIS/303, Cyber Hills, Gachibowli, Hyderabad - 500 032, Telangana, India",Hyderabad,Telangana,India,XBRL_RegisteredOffice
Dixon Technologies India Limited,1,Registered Office,"B-14 & 15, Phase-II, District Gautam Buddha Nagar,
Noida, Uttar Pradesh-201305",Noida,Uttar Pradesh,India,XBRL_RegisteredOffice
DLF Limited,1,Registered Office,"Shopping Mall, 3rd Floor, Arjun Marg, Phase - I, DLF City, Gurugram - 122 002 (Haryana)",Gurugram,Haryana,India,XBRL_RegisteredOffice
DLF Limited,2,Corporate Office,"DLF Gateway Tower, R Block, DLF City, Phase – III, Gurugram - 122 002 (Haryana)",Gurugram,Haryana,India,XBRL_CorporateOffice
DLF Limited,3,Plant,"DLF has operations across the locations of North Capital Region (Gurugram and New Delhi), Chennai and Hyderabad.",Gurugram,Delhi,India,XBRL_Context_D_FacilityOrPlantLocatedInAreasOfWaterStress1
DOMS Industries Limited,1,Registered Office,"J-19, G.I.D.C, Opp. Telephone Exchange, Umbergaon, Dist. Valsad, Gujarat, India – 396171",Valsad,Gujarat,India,XBRL_RegisteredOffice
DOMS Industries Limited,2,Corporate Office,"Plot No. 117, 52 Hector Expansion Area, G.I.D.C, Umbergaon, Dist. Valsad, Gujarat, India – 396171",Valsad,Gujarat,India,XBRL_CorporateOffice
Dr Reddys Laboratories Limited,1,Registered Office,"8-2-337, Road No. 3, Banjara Hills, Hyderabad – 500 034,  Telangana, India",Hyderabad,Telangana,India,XBRL_RegisteredOffice
Dr Reddys Laboratories Limited,2,Plant,"Hyderabad, Pydibhimavaram",Hyderabad,Telangana,India,XBRL_Context_D_FacilityOrPlantLocatedInAreasOfWaterStress1
Easy Trip Planners Limited,1,Registered Office,"223 FIE Patparganj Industrial Area, East Delhi,
Delhi-110092",Delhi,Delhi,India,XBRL_RegisteredOffice
eClerx Services Limited,1,Registered Office,"Sonawala Building, 1st Floor, 29 Bank Street, Fort, Mumbai – 400 023, Maharashtra, India",Mumbai,Maharashtra,India,XBRL_RegisteredOffice
eClerx Services Limited,2,Corporate Office,"4th Floor, Express Towers, Nariman Point, Mumbai – 400021",Mumbai,Maharashtra,India,XBRL_CorporateOffice
EICHER MOTORS LIMITED,1,Registered Office,"Office Number 1111, 11th Floor, Ashoka Estate, Plot no. 24, Barakhamba Road, New Delhi - 110001, India",Delhi,Delhi,India,XBRL_RegisteredOffice
EICHER MOTORS LIMITED,2,Corporate Office,"#96, Sector 32, Gurugram- 122 001, Haryana, India",Gurugram,Haryana,India,XBRL_CorporateOffice
EIH Limited,1,Registered Office,"N-806-A, 8th Floor, Diamond Heritage Building, 16, Strand Road, Fairley Place, Kolkata – 700 001 West Bengal",Kolkata,West Bengal,India,XBRL_RegisteredOffice
EIH Limited,2,Corporate Office,"7 Shamnath Marg, Delhi – 110054",Delhi,Delhi,India,XBRL_CorporateOffice
EIH Limited,3,Plant,"The following hotels/units are located in water stress areas: 
 The Oberoi Gurgaon, The Oberoi New Delhi, Trident Gurgaon, Maidens New Delhi, The Oberoi Amarvilas, Agra, Trident Agra, The Oberoi Bangalore, Trident Hyderabad, Trident Chennai, The Oberoi Vanyavilas, The Oberoi Udaivilas, The Oberoi Rajvilas, Trident Jaipur, Trident Udaipur, The Oberoi Marrakech, The Oberoi 
       Lombok, On-Flight services, Delhi, On-Flight services, Chennai",Gurgaon,Delhi,India,XBRL_Context_D_FacilityOrPlantLocatedInAreasOfWaterStress1
Electronics Mart India Limited,1,Registered Office,"6-1-91, Shop No. 10, Ground Floor, Next to Telephone Bhawan, Secretariat Road, Saifabad, Hyderabad,Telangana - 500004",Hyderabad,Telangana,India,XBRL_RegisteredOffice
Electronics Mart India Limited,2,Corporate Office,"6-3-666/A1 to 7, Opp. NIMS Hospital, Panjagutta Main Road, Hyderabad,Telangana - 500082",Hyderabad,Telangana,India,XBRL_CorporateOffice
Electrosteel Castings Limited,1,Registered Office,"Rathod Colony, Rajgangpur, Sundergarh, Odisha 770 017",,Odisha,India,XBRL_RegisteredOffice
Electrosteel Castings Limited,2,Corporate Office,"G. K. Tower, 19, Camac Street, Kolkata – 700017",Kolkata,West Bengal,India,XBRL_CorporateOffice
Elgi Equipments Limited,1,Registered Office,"Elgi Industrial Complex III, Trichy Road, Singanallur Coimbatore -641 005",Coimbatore,Tamil Nadu,India,XBRL_RegisteredOffice
Elgi Equipments Limited,2,Plant,"CCP, ACP and Foundry Plant",,,India,XBRL_Context_D_FacilityOrPlantLocatedInAreasOfWaterStress1
Emami Limited,1,Registered Office,"Emami Tower, 687, Anandapur, E.M. Bypass, Kolkata 700107",Kolkata,West Bengal,India,XBRL_RegisteredOffice
Emami Limited,2,Plant,"Silvassa, Dadra and Nagar Haveli",Silvassa,Dadra and Nagar Haveli,India,XBRL_Context_D_FacilityOrPlantLocatedInAreasOfWaterStress1
Endurance Technologies Limited,1,Registered Office,"E-92, MIDC Industrial Area, Waluj, Chh. Sambhajinagar - 431 136, Maharashtra",,Maharashtra,India,XBRL_RegisteredOffice
Endurance Technologies Limited,2,Plant,"Narasapura plant, located in Malur Taluk of Kolar district",,,India,XBRL_Context_D_FacilityOrPlantLocatedInAreasOfWaterStress1
Engineers India Limited,1,Registered Office,"Engineers India Bhavan, 1, Bhikaji Cama Place, New Delhi -110066",Delhi,Delhi,India,XBRL_RegisteredOffice
Equitas Small Finance Bank Limited,1,Registered Office,"4th Floor, Phase II, Spencer Plaza No.769,
Mount Road, Anna Salai,
Chennai – 600 002, Tamil Nadu",Chennai,Tamil Nadu,India,XBRL_RegisteredOffice
Eris Lifesciences Limited,1,Registered Office,"Shivarth Ambit, Plot No 142/2, Ramdas Road, Off SBR, Near Swati Bungalows, Bodakdev, Ahmedabad, Gujarat-380054",Ahmedabad,Gujarat,India,XBRL_RegisteredOffice
Eris Lifesciences Limited,2,Facility,Ahmedabad for both the fiscal years,Ahmedabad,Gujarat,India,XBRL_TextExtraction
Eris Lifesciences Limited,3,Facility,Ahmedabad was added to the scope of reporting,Ahmedabad,Gujarat,India,XBRL_TextExtraction
Eris Lifesciences Limited,4,Facility,Guwahati manufacturing facility to eliminate liquid waste and recycle treated water for gardening and utility purposes,Guwahati,,India,XBRL_TextExtraction
ESAB India Limited,1,Registered Office,"No.13, 3rd Main Road, Industrial Estate, Ambattur,Chennai 600 058.",Chennai,Tamil Nadu,India,XBRL_RegisteredOffice
Escorts Kubota Limited,1,Registered Office,"15/5, Mathura Road, Faridabad, Haryana – 121003, India",Faridabad,Haryana,India,XBRL_RegisteredOffice
Eureka Forbes Limited,1,Registered Office,"B1/B2, 7th Floor, 701, Marathon Innova, Ganpatrao Kadam Marg, Lower Parel, Mumbai – 400013",Mumbai,Maharashtra,India,XBRL_RegisteredOffice
Exide Industries Limited,1,Registered Office,"Exide House, 59E Chowringhee Road, Kolkata - 700020",Kolkata,West Bengal,India,XBRL_RegisteredOffice
Exide Industries Limited,2,Plant,"Krishnagiri district, Tamil Nadu; Purba Medinipur district, West Bengal",,Tamil Nadu,India,XBRL_Context_D_FacilityOrPlantLocatedInAreasOfWaterStress1
FERTILIZERS AND CHEMICALS TRAVANCORE LIMITED,1,Registered Office,"Eloor Udyogamandal, Ernakulam District, Kerala - 683501",,Kerala,India,XBRL_RegisteredOffice
FINE ORGANIC INDUSTRIES LIMITED,1,Registered Office,"Fine House, Anandji Street, Off M. G. Road, Ghatkopar East, Mumbai- 400077, Maharashtra, India",Mumbai,Maharashtra,India,XBRL_RegisteredOffice
Finolex Cables Limited,1,Registered Office,"26-27 Mumbai-Pune Road, Pimpri, Pune - 411 018,
Maharashtra, India",Mumbai,Maharashtra,India,XBRL_RegisteredOffice
Finolex Industries Limited,1,Registered Office,"Gat No.399, Village Urse, Taluka Maval, District Pune, Maharashtra, India - 410506",Pune,Maharashtra,India,XBRL_RegisteredOffice
Finolex Industries Limited,2,Corporate Office,"IndiQube - The Kode, 11th Floor, Baner-Pashan Link Road Baner Gaon, Pune, Maharashtra, India - 411045",Pune,Maharashtra,India,XBRL_CorporateOffice
Firstsource Solutions Limited,1,Registered Office,"5th Floor, Paradigm ‘B’ Wing, Mindspace, Link Road, Malad - West, Mumbai - 400064, India",Mumbai,Maharashtra,India,XBRL_RegisteredOffice
Five-Star Business Finance Limited,1,Registered Office,"New No.27, Old No.4, Taylor's Road, Kilpauk, Chennai - 600010",Chennai,Tamil Nadu,India,XBRL_RegisteredOffice
Force Motors Ltd,1,Registered Office,"Mumbai-Pune Road, Akurdi, Pune – 411 035",Mumbai,Maharashtra,India,XBRL_RegisteredOffice
Fortis Healthcare Limited,1,Registered Office,"Fortis Hospital, Sector 62, Phase VIII, Mohali-160062, Punjab",,Punjab,India,XBRL_RegisteredOffice
Fortis Healthcare Limited,2,Corporate Office,"Tower A, 3rd Floor, Unitech Business Park, South City-1, Gurugram, Haryana- 120001",Gurugram,Haryana,India,XBRL_CorporateOffice
