Variant_Name,Master_Company_Name,Match_Score,Match_Type,Confidence,Status,Sources,Date_Created
Trident Limited,TRIDENT LIMITED,100,EXACT,HIGH,AUTO,REVENUE_INT|ALL_SOURCES|SCOPE3,2026-01-14
TTK PRESTIGE LIMITED,TTK PRESTIGE LIMITED,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
TVS Motor Company Limited,TVS Motor Company Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
TVS Supply Chain Solutions Limited,TVS Supply Chain Solutions Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Tamilnad Mercantile Bank Limited,Tamilnad Mercantile Bank Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Tamil Nadu Newsprint and Papers (TNPL),Tamilnad Mercantile Bank Limited,49,FUZZY,VERY_LOW,MANUAL_REVIEW,SCOPE3,2026-01-14
Tanla Platforms Limited,Tanla Platforms Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Tata Consultancy Services Limited,Tata Consultancy Services Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Tata Consumer Products Limited,Tata Consumer Products Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Hatsun Agro Products,Tata Consumer Products Limited,56,FUZZY,VERY_LOW,MANUAL_REVIEW,ALL_SOURCES|SCOPE3,2026-01-14
Tata Elxsi Limited,Tata Elxsi Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Tata Investment Corporation Limited,Tata Investment Corporation Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
AP Mineral Development Corporation,Tata Investment Corporation Limited,64,FUZZY,VERY_LOW,MANUAL_REVIEW,SCOPE3,2026-01-14
NMDC (National Mineral Development Corporation),Tata Investment Corporation Limited,59,FUZZY,VERY_LOW,MANUAL_REVIEW,SCOPE3,2026-01-14
GMDC (Gujarat Mineral Development Corporation),Tata Investment Corporation Limited,57,FUZZY,VERY_LOW,MANUAL_REVIEW,SCOPE3,2026-01-14
Karnataka State Mineral Corporation,Tata Investment Corporation Limited,54,FUZZY,VERY_LOW,MANUAL_REVIEW,SCOPE3,2026-01-14
"Vedanta Resources (Zinc, Copper, Iron)",Tata Investment Corporation Limited,44,FUZZY,VERY_LOW,MANUAL_REVIEW,SCOPE3,2026-01-14
Tata Motors Limited,Tata Motors Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Tata Power,Tata Power,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Tata,Tata Power,57,FUZZY,VERY_LOW,MANUAL_REVIEW,REVENUE_INT|ALL_SOURCES,2026-01-14
itc-nature-report,Tata Power,44,FUZZY,VERY_LOW,MANUAL_REVIEW,REVENUE_INT|ALL_SOURCES,2026-01-14
Tata Steel Limited,Tata Steel Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Bhushan Steel (Tata Steel BSL),Tata Steel Limited,50,FUZZY,VERY_LOW,MANUAL_REVIEW,ALL_SOURCES,2026-01-14
Tata Technologies Limited,Tata Technologies Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Tata Teleservices Maharashtra Limited,Tata Teleservices Maharashtra Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Tata Teleservices (Maharashtra) Limited,Tata Teleservices Maharashtra Limited,97,FUZZY,HIGH,AUTO,SCOPE3,2026-01-14
Tech Mahindra Limited,Tech Mahindra Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Techno Electric  Engineering Company Limited,Techno Electric  Engineering Company Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Techno Electric & Engineering Company Limited,Techno Electric  Engineering Company Limited,99,FUZZY,HIGH,AUTO,ALL_SOURCES|SCOPE3,2026-01-14
Tejas Networks Limited,Tejas Networks Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
The Ramco Cements Limited,The Ramco Cements Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Thermax Limited,Thermax Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Thomas Cook  India  Limited,Thomas Cook  India  Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Thomas Cook  (India)  Limited,Thomas Cook  India  Limited,96,FUZZY,HIGH,AUTO,SCOPE3,2026-01-14
Timken India Limited,Timken India Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Titan Company Limited,Titan Company Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Torrent Pharmaceuticals Limited,Torrent Pharmaceuticals Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Torrent Power Limited,Torrent Power Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Torrent Power,Torrent Power Limited,99,NORMALIZED,HIGH,AUTO,SCOPE3,2026-01-14
Triveni Engineering  Industries Limited,Triveni Engineering  Industries Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Triveni Engineering & Industries Limited,Triveni Engineering  Industries Limited,99,FUZZY,HIGH,AUTO,SCOPE3,2026-01-14
Triveni Turbine Limited,Triveni Turbine Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Tube Investments of India Limited,Tube Investments of India Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
UNION BANK OF INDIA,UNION BANK OF INDIA,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
UNITED BREWERIES LIMITED,UNITED BREWERIES LIMITED,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Varun Beverages Limited,UNITED BREWERIES LIMITED,72,FUZZY,LOW,REVIEW_NEEDED,BRSR_REVENUE|SCOPE3,2026-01-14
UPL LIMITED,UPL LIMITED,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
UTI Asset Management Company Limited,UTI Asset Management Company Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Ujjivan Small Finance Bank Limited,Ujjivan Small Finance Bank Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
UltraTech Cement Limited,UltraTech Cement Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
United Spirits Limited,United Spirits Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Uno Minda Limited,Uno Minda Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Usha Martin Limited,Usha Martin Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Usha Martin,Usha Martin Limited,99,NORMALIZED,HIGH,AUTO,ALL_SOURCES|SCOPE3,2026-01-14
S Kumars Nationwide,Usha Martin Limited,53,FUZZY,VERY_LOW,MANUAL_REVIEW,SCOPE3,2026-01-14
V-GUARD INDUSTRIES LIMITED,V-GUARD INDUSTRIES LIMITED,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
VALOR ESTATE LIMITED,VALOR ESTATE LIMITED,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
VIP INDUSTRIES LIMITED,VIP INDUSTRIES LIMITED,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Vardhman Textiles,Vardhman Textiles,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Vistara (TATA SIA Airlines),Vardhman Textiles,50,FUZZY,VERY_LOW,MANUAL_REVIEW,ALL_SOURCES|SCOPE3,2026-01-14
Varroc Engineering Limited,Varroc Engineering Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Varun Beverages (PepsiCo franchise),Varun Beverages (PepsiCo franchise),100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Vedant Fashions Limited,Vedant Fashions Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Vedanta,Vedanta,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Vedanta Limited,Vedanta Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Vedanta-Aluminium-TNFD-2025,Vedanta Limited,57,FUZZY,VERY_LOW,MANUAL_REVIEW,REVENUE_INT|ALL_SOURCES,2026-01-14
Vinati Organics Limited,Vinati Organics Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Vodafone Idea Limited,Vodafone Idea Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Voltamp Transformers Limited,Voltamp Transformers Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Voltas Limited,Voltas Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
TVS Holdings Limited,Voltas Limited,71,FUZZY,LOW,REVIEW_NEEDED,XBRL|BRSR_REVENUE|REVENUE_INT|SCOPE3,2026-01-14
Waaree Renewable Technologies Limited,Waaree Renewable Technologies Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Welspun Corp Limited,Welspun Corp Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Welspun Living Limited,Welspun Living Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Welspun Living Limited (formerly Welspun India),Welspun Living Limited (formerly Welspun India),100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
West Coast Paper Mills,West Coast Paper Mills,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
West Coast Paper Mills Limited,West Coast Paper Mills Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Whirlpool of India Limited,Whirlpool of India Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Wipro Limited,Wipro Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Wockhardt Limited,Wockhardt Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
YES Bank Limited,YES Bank Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
ZENSAR TECHNOLOGIES LIMITED,ZENSAR TECHNOLOGIES LIMITED,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
ZF Commercial Vehicle Control Systems India Limited,ZF Commercial Vehicle Control Systems India Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Zee Entertainment Enterprises Limited,Zee Entertainment Enterprises Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Zen Technologies Limited,Zen Technologies Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Zydus Lifesciences Limited,Zydus Lifesciences Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Zydus Wellness Limited,Zydus Wellness Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
eClerx Services Limited,eClerx Services Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
