Variant_Name,Master_DB_Name,Source,Match_Confidence,Notes
Aether Industries,Aether Industries Limited,G2.1_Land_BRSR,HIGH,Core name match
Ajanta Pharma Limited,Ajanta Pharma Limited,G2.1_Land_BRSR,HIGH,Exact match
Akzo Nobel India,Akzo Nobel India Limited,C3.1_Renewable,HIGH,Core name match
Alkem Laboratories,Alkem Laboratories Limited,C3.1_Renewable,HIGH,Core name match
Amara Raja Energy & Mobility,Amara Raja Energy  Mobility Limited,G2.1_Land_BRSR,HIGH,Corrected with double space
Amber Enterprises,Amber Enterprises India Limited,C3.1_Renewable,HIGH,Core name match
Ambuja Cements,Ambuja Cements Limited,C3.1_Renewable,HIGH,Core name match
Anand Rathi Wealth,Anand Rathi Wealth Limited,G2.1_Land_BRSR,HIGH,Core name match
Anant Raj Limited,Anant Raj Limited,G2.1_Land_BRSR,HIGH,Exact match
Andhra Paper Limited,Andhra Paper Limited (formerly Andhra Pradesh Paper Mills),C2.1_Scope3_Remaining,HIGH,Exact V2 match
Andhra Paper Ltd,Andhra Paper Limited (formerly Andhra Pradesh Paper Mills),C3.2_Water_Quality,HIGH,Exact V2 match
Anupam Rasayan India,Anupam Rasayan India Limited,G2.1_Land_BRSR,HIGH,Core name match
Apollo Tyres,Apollo Tyres Limited,C3.1_Renewable,HIGH,Core name match
Aptus Value Housing,Aptus Value Housing Finance India Limited,G2.1_Land_BRSR,HIGH,Core name match
Asahi India Glass Limited,Asahi India Glass Limited,G2.1_Land_BRSR,HIGH,Exact match
Ashok Leyland Limited,Ashok Leyland Limited,G2.1_Land_BRSR,HIGH,Exact match
Asian Paints,Asian Paints Limited,C3.1_Renewable,HIGH,Core name match
Aster DM Healthcare,Aster DM Healthcare Limited,C3.1_Renewable,HIGH,Core name match
AstraZeneca Pharma,AstraZeneca Pharma India Limited,G2.1_Land_BRSR,HIGH,Core name match
Astral Limited,Astral Limited,G2.1_Land_BRSR,HIGH,Exact match
Atul Limited,Atul Limited,G2.1_Land_BRSR,HIGH,Exact match
Avenue Supermarts,Avenue Supermarts Limited,G2.1_Land_BRSR,HIGH,Core name match
Avenue Supermarts (DMart),Avenue Supermarts Limited,C3.1_Renewable,HIGH,Includes brand name
Axis Bank Limited,Axis Bank Limited,G2.1_Land_BRSR,HIGH,Exact match
BAJAJ ELECTRICALS,BAJAJ ELECTRICALS LIMITED,C3.2_Water_Quality,HIGH,Core name match
BANK OF INDIA,BANK OF INDIA,G2.1_Land_BRSR,HIGH,Exact match
BANK OF MAHARASHTRA,BANK OF MAHARASHTRA,G2.1_Land_BRSR,HIGH,Exact match
BASF India Limited,BASF India Limited,G2.1_Land_BRSR,HIGH,Exact match
BATA INDIA LIMITED,BATA INDIA LIMITED,G2.1_Land_BRSR,HIGH,Exact match
BEML Limited,BEML Limited,G2.1_Land_BRSR,HIGH,Exact match
BHARAT ELECTRONICS LIMITED,BHARAT ELECTRONICS LIMITED,G2.1_Land_BRSR,HIGH,Exact match
BHARAT HEAVY ELECTRICALS,BHARAT HEAVY ELECTRICALS LIMITED,G2.1_Land_BRSR,HIGH,Suffix missing
BHEL,Bharat Heavy Electricals Limited (BHEL),G2.2_Land_AR,HIGH,Exact match with abbreviation
BLS International Services,BLS International Services Limited,G2.1_Land_BRSR,HIGH,Core name match
Bajaj Auto Limited,Bajaj Auto Limited,G2.1_Land_BRSR,HIGH,Exact match
Bajaj Finance Limited,Bajaj Finance Limited,G2.1_Land_BRSR,HIGH,Exact match
Bajaj Finserv Limited,Bajaj Finserv Limited,G2.1_Land_BRSR,HIGH,Exact match
Bajaj Holdings & Invest,Bajaj Holdings  Investment Limited,G2.1_Land_BRSR,HIGH,Corrected with double space
Balkrishna Industries Limited,Balkrishna Industries Limited,G2.1_Land_BRSR,HIGH,Exact match
Balrampur Chini Mills,Balrampur Chini Mills Limited,G2.1_Land_BRSR,HIGH,Core name match
Bandhan Bank Limited,Bandhan Bank Limited,G2.1_Land_BRSR,HIGH,Exact match
BIAL (Bangalore Airport),Bangalore International Airport Ltd (BIAL),G2.2_Land_AR,HIGH,Exact match
Bharat Dynamics,Bharat Dynamics Limited,C3.1_Renewable,HIGH,Core name match
Bharat Forge Limited,Bharat Forge Limited,G2.1_Land_BRSR,HIGH,Exact match
Bharti Airtel Limited,Bharti Airtel Limited,G2.1_Land_BRSR,HIGH,Exact match
Bharti Hexacom Limited,Bharti Hexacom Limited,G2.1_Land_BRSR,HIGH,Exact match
Bikaji Foods,Bikaji Foods,G2.2_Land_AR,HIGH,Exact match
Biocon Limited,Biocon Limited,G2.1_Land_BRSR,HIGH,Exact match
Birla Corporation Limited,Birla Corporation Limited,G2.1_Land_BRSR,HIGH,Exact match
Birlasoft Limited,Birlasoft Limited,G2.1_Land_BRSR,HIGH,Exact match
Blue Dart Express,Blue Dart Express Limited,C3.1_Renewable,HIGH,Core name match
Blue Star Limited,Blue Star Limited,G2.1_Land_BRSR,HIGH,Exact match
Bosch limited,Bosch limited,G2.1_Land_BRSR,HIGH,Exact match
Brigade Enterprises,Brigade Enterprises Limited,C3.1_Renewable,HIGH,Core name match
Britannia Industries Limited,Britannia Industries Limited,G2.1_Land_BRSR,HIGH,Exact match
CCL Products (India),CCL Products (India) Limited,G2.2_Land_AR,HIGH,Core name match
CCL Products India Limited,CCL Products India Limited,G2.1_Land_BRSR,HIGH,Exact match
CE INFO SYSTEMS,CE INFO SYSTEMS LIMITED,G2.1_Land_BRSR,HIGH,Core name match
CE INFO SYSTEMS LIMITED (MapmyIndia),CE INFO SYSTEMS LIMITED,C2.1_Scope3_Remaining,HIGH,Includes brand name
CEAT Limited,CEAT Limited,G2.1_Land_BRSR,HIGH,Exact match
CERA Sanitaryware Limited,CERA Sanitaryware Limited,G2.1_Land_BRSR,HIGH,Exact match
CESC Limited,CESC Limited,G2.1_Land_BRSR,HIGH,Exact match
CG Power and Industrial,CG Power and Industrial Solutions Limited,G2.1_Land_BRSR,HIGH,Core name match
CHENNAI PETROLEUM,CHENNAI PETROLEUM CORPORATION LIMITED,G2.1_Land_BRSR,HIGH,Abbreviated
CITY UNION BANK LIMITED,CITY UNION BANK LIMITED,G2.1_Land_BRSR,HIGH,Exact match
COAL INDIA LIMITED,COAL INDIA LIMITED,G2.1_Land_BRSR,HIGH,Exact match
COROMANDEL INTERNATIONAL,COROMANDEL INTERNATIONAL LIMITED,G2.1_Land_BRSR,HIGH,Core name match
Campus Activewear,Campus Activewear Limited,G2.1_Land_BRSR,HIGH,Core name match
Can Fin Homes Limited,Can Fin Homes Limited,G2.1_Land_BRSR,HIGH,Exact match
Canara Bank,Canara Bank,G2.1_Land_BRSR,HIGH,Exact match
Caplin Point Laboratories,Caplin Point Laboratories Limited,G2.1_Land_BRSR,HIGH,Core name match
Capri Global Capital,Capri Global Capital Limited,G2.1_Land_BRSR,HIGH,Core name match
Carborundum Universal,Carborundum Universal Limited,G2.1_Land_BRSR,HIGH,Core name match
Carborundum Universal (CUMI),Carborundum Universal Limited,C3.1_Renewable,HIGH,Includes common abbreviation
Cello World Limited,Cello World Limited,G2.1_Land_BRSR,HIGH,Exact match
Century Plyboards India,Century Plyboards India Limited,G2.1_Land_BRSR,HIGH,Core name match
Century Plyboards,Century Plyboards India Limited,C3.1_Renewable,HIGH,Abbreviated
Chalet Hotels Limited,Chalet Hotels Limited,G2.1_Land_BRSR,HIGH,Exact match
Chemplast Sanmar Limited,Chemplast Sanmar Limited,G2.1_Land_BRSR,HIGH,Exact match
Cholamandalam Holdings,Cholamandalam Financial Holdings Limited,G2.1_Land_BRSR,HIGH,Abbreviated
Cholamandalam Investment,Cholamandalam Investment and Finance Company Limited,G2.1_Land_BRSR,HIGH,Abbreviated
Cipla Limited,Cipla Limited,G2.1_Land_BRSR,HIGH,Exact match
City Union Bank,CITY UNION BANK LIMITED,C3.1_Renewable,HIGH,Case correction to V2
Clean Science and Tech,Clean Science and Technology Limited,G2.1_Land_BRSR,HIGH,Standard abbreviation
Clean Science and Technology,Clean Science and Technology Limited,C3.1_Renewable,HIGH,Exact match sans suffix
CIAL (Cochin Airport),Cochin International Airport (CIAL),G2.2_Land_AR,HIGH,Standard abbreviation
Cochin Shipyard Limited,Cochin Shipyard Limited,G2.1_Land_BRSR,HIGH,Exact match
Cochin Shipyard,Cochin Shipyard Limited,C3.1_Renewable,HIGH,Abbreviated
Coforge Limited,Coforge Limited,G2.1_Land_BRSR,HIGH,Exact match
Colgate-Palmolive India,Colgate-Palmolive (India) Limited,C3.1_Renewable,HIGH,Corrected V2 name with brackets
Concord Biotech Limited,Concord Biotech Limited,C3.1_Renewable,HIGH,Exact match
Container Corp (CONCOR),Container Corporation of India Limited,C3.1_Renewable,HIGH,Includes common abbreviation
Container Corporation of India Limited,Container Corporation of India Limited,C2.1_Scope3_Remaining,HIGH,Exact match
Craftsman Automation,Craftsman Automation Limited,C3.1_Renewable,HIGH,Core name match
Craftsman Automation Limited,Craftsman Automation Limited,C2.1_Scope3_Remaining,HIGH,Exact match
CreditAccess Grameen,CreditAccess Grameen Limited,G2.1_Land_BRSR,HIGH,Core name match
Crompton Greaves,Crompton Greaves Consumer Electricals Limited,C3.1_Renewable,HIGH,Parent group name used
Crompton Greaves Consumer,Crompton Greaves Consumer Electricals Limited,C3.1_Renewable,HIGH,Abbreviated
Cummins India Limited,Cummins India Limited,C2.1_Scope3_Remaining,HIGH,Exact match
Cyient Limited,Cyient Limited,C2.1_Scope3_Remaining,HIGH,Exact match
DIVIS LABORATORIES LIMITED,DIVI'S LABORATORIES LIMITED,G2.1_Land_BRSR,HIGH,Character match to V2
DIVI'S LABORATORIES,DIVI'S LABORATORIES LIMITED,G2.2_Land_AR,HIGH,Core name match
Divi's Laboratories,DIVI'S LABORATORIES LIMITED,C2.2_Missing_Env,HIGH,Case variation
DLF Limited,DLF Limited,C2.1_Scope3_Remaining,HIGH,Exact match
DOMS Industries Limited,DOMS Industries Limited,C2.1_Scope3_Remaining,HIGH,Exact match
Dabur India,Dabur India Limited,C3.1_Renewable,HIGH,Core name match
Dalmia Bharat Limited,Dalmia Bharat Limited,C3.1_Renewable,HIGH,Exact match
Damodar Valley Corp (DVC),Damodar Valley Corporation (DVC),G2.2_Land_AR,HIGH,Standard abbreviation
Data Patterns India,Data Patterns India Limited,C3.1_Renewable,HIGH,Core name match
Data Patterns India Limited,Data Patterns India Limited,C2.1_Scope3_Remaining,HIGH,Exact match
Deepak Fertilisers,Deepak Fertilisers and Petrochemicals Corp Limited,C3.1_Renewable,MEDIUM,Abbreviated (NOT IN V2 - NEEDS VERIFICATION)
Deepak Nitrite Limited,Deepak Nitrite Limited,C3.1_Renewable,HIGH,Exact match
Delhivery Limited,Delhivery Limited,C3.1_Renewable,HIGH,Exact match
Devyani International,Devyani International Limited,C3.1_Renewable,HIGH,Core name match
Devyani International Limited,Devyani International Limited,C2.1_Scope3_Remaining,HIGH,Exact match
Dhanlaxmi Bank,Dhanlaxmi Bank Limited,C3.1_Renewable,HIGH,Core name match
Dilip Buildcon Limited,Dilip Buildcon Limited,C3.1_Renewable,HIGH,Exact match
Dixon Technologies,Dixon Technologies India Limited,C3.1_Renewable,HIGH,Core name match
Dixon Technologies India Limited,Dixon Technologies India Limited,C2.1_Scope3_Remaining,HIGH,Exact match
Dr Reddys Laboratories,Dr Reddys Laboratories Limited,C3.1_Renewable,HIGH,Core name match
Dr. Reddy's Laboratories,Dr Reddys Laboratories Limited,C2.2_Missing_Env,HIGH,Standard punctuation correction
Dr. Lal PathLabs,Dr. Lal PathLabs Limited,C3.1_Renewable,MEDIUM,(NOT IN V2 - NEEDS VERIFICATION)
Eicher Motors Limited,EICHER MOTORS LIMITED,C3.1_Renewable,HIGH,Corrected to ALL CAPS per V2
EICHER MOTORS LIMITED,EICHER MOTORS LIMITED,C2.1_Scope3_Remaining,HIGH,Exact match
EIH Limited,EIH Limited,C3.1_Renewable,HIGH,Exact match
ESAB India Limited,ESAB India Limited,C2.1_Scope3_Remaining,HIGH,Exact match
ESAF Small Finance Bank,ESAF Small Finance Bank Limited,C3.1_Renewable,HIGH,Core name match
Easy Trip Planners,Easy Trip Planners Limited,C3.1_Renewable,HIGH,Core name match
Easy Trip Planners Limited,Easy Trip Planners Limited,C2.1_Scope3_Remaining,HIGH,Exact match
Elecon Engineering,Elecon Engineering Company Limited,C3.1_Renewable,MEDIUM,(NOT IN V2 - NEEDS VERIFICATION)
Electronics Mart India,Electronics Mart India Limited,C3.1_Renewable,HIGH,Core name match
Electronics Mart India Limited,Electronics Mart India Limited,C2.1_Scope3_Remaining,HIGH,Exact match
Electrosteel Castings,Electrosteel Castings,G2.2_Land_AR,HIGH,"V2 Name sans ""Limited"""
Elgi Equipments Limited,Elgi Equipments Limited,C2.1_Scope3_Remaining,HIGH,Exact match
Emami Limited,Emami Limited,C3.1_Renewable,HIGH,Exact match
Emami Paper Mills,Emami Paper Mills Limited,G2.2_Land_AR,HIGH,Core name match
Emami Paper Mills Limited,Emami Paper Mills Limited,C2.1_Scope3_Remaining,HIGH,Exact match
Endurance Technologies,Endurance Technologies Limited,C3.1_Renewable,HIGH,Core name match
Engineers India Limited,Engineers India Limited,C3.1_Renewable,HIGH,Exact match
Engineers India Limited (EIL),Engineers India Limited,C3.1_Renewable,HIGH,Includes common abbreviation
Equitas Small Finance Bank,Equitas Small Finance Bank Limited,C3.1_Renewable,HIGH,Core name match
Eris Lifesciences Limited,Eris Lifesciences Limited,C3.1_Renewable,HIGH,Exact match
Escorts Kubota Limited,Escorts Kubota Limited,C3.1_Renewable,HIGH,Exact match
Essar Steel (AM/NS India),Essar Steel India (AM/NS India),G2.2_Land_AR,HIGH,Standard brand mapping
Eureka Forbes Limited,Eureka Forbes Limited,C2.1_Scope3_Remaining,HIGH,Exact match
Exide Industries Limited,Exide Industries Limited,C3.1_Renewable,HIGH,Exact match
FDC Limited,FDC Limited,C3.1_Renewable,HIGH,Exact match
FERTILIZERS AND CHEMICALS,FERTILIZERS AND CHEMICALS TRAVANCORE LIMITED,G2.1_Land_BRSR,HIGH,Abbreviated
FERTILIZERS AND CHEMICALS TRAVANCORE LIMITED,FERTILIZERS AND CHEMICALS TRAVANCORE LIMITED,C2.1_Scope3_Remaining,HIGH,Exact match
FINE ORGANIC INDUSTRIES,FINE ORGANIC INDUSTRIES LIMITED,G2.1_Land_BRSR,HIGH,Core name match
Finolex Cables Limited,Finolex Cables Limited,C2.1_Scope3_Remaining,HIGH,Exact match
Finolex Industries,Finolex Industries Limited,C3.1_Renewable,HIGH,Core name match
Firstsource Solutions,Firstsource Solutions Limited,C3.1_Renewable,HIGH,Core name match
Five-Star Business Finance,Five-Star Business Finance Limited,C3.1_Renewable,HIGH,Core name match
Force Motors Ltd,Force Motors Ltd,C3.1_Renewable,HIGH,Suffix correction to V2
Fortis Healthcare Limited,Fortis Healthcare Limited,C2.1_Scope3_Remaining,HIGH,Exact match
GAIL (India) Limited,GAIL (India) Limited,G2.2_Land_AR,HIGH,Exact match
GAIL India Limited,GAIL India Limited,C2.2_Missing_Env,HIGH,Exact V2 entry variation
GALAXY SURFACTANTS,GALAXY SURFACTANTS LIMITED,G2.1_Land_BRSR,HIGH,Core name match
GE T&D India Limited,GE T&D India Limited,C3.1_Renewable,HIGH,Exact match
GLAND PHARMA LIMITED,GLAND PHARMA LIMITED,C2.1_Scope3_Remaining,HIGH,Case correction to V2
GLOBAL HEALTH LIMITED,GLOBAL HEALTH LIMITED,C2.1_Scope3_Remaining,HIGH,Exact match
GMR Airports,"GMR Airports (Delhi, Hyderabad)",G2.2_Land_AR,HIGH,Mapping to exact V2 parent name
GODAWARI POWER AND ISPAT LIMITED,GODAWARI POWER AND ISPAT LIMITED,C2.1_Scope3_Remaining,HIGH,Exact match
GODFREY PHILLIPS INDIA LIMITED,GODFREY PHILLIPS INDIA LIMITED,C2.1_Scope3_Remaining,HIGH,Exact match
GODREJ AGROVET LIMITED,GODREJ AGROVET LIMITED,G2.1_Land_BRSR,HIGH,Exact match
GRANULES INDIA LIMITED,GRANULES INDIA LIMITED,G2.1_Land_BRSR,HIGH,Exact match
GRAPHITE INDIA LIMITED,GRAPHITE INDIA LIMITED,G2.1_Land_BRSR,HIGH,Exact match
GSK Pharma India,GlaxoSmithKline Pharmaceuticals Limited,C3.1_Renewable,HIGH,Mapping to full V2 name
GUJARAT GAS LIMITED,GUJARAT GAS LIMITED,G2.1_Land_BRSR,HIGH,Exact match
Garden Reach Shipbuilders,Garden Reach Shipbuilders  Engineers Limited,C2.1_Scope3_Remaining,HIGH,Fixed double space per V2
Garden Reach Shipbuilders (GRSE),Garden Reach Shipbuilders  Engineers Limited,G2.2_Land_AR,HIGH,Fixed double space per V2
Garware Hi-Tech Films,Garware Hi-Tech Films Limited,C3.1_Renewable,MEDIUM,(NOT IN V2 - NEEDS VERIFICATION)
Gateway Distriparks Limited,Gateway Distriparks Limited,C3.1_Renewable,MEDIUM,(NOT IN V2 - NEEDS VERIFICATION)
Gati Limited,Gati Limited,C3.1_Renewable,MEDIUM,(NOT IN V2 - NEEDS VERIFICATION)
General Insurance Corp (GIC),General Insurance Corporation of India,C3.1_Renewable,HIGH,Exact V2 match
General Insurance Corporation of India,General Insurance Corporation of India,C2.1_Scope3_Remaining,HIGH,Exact match
Gillette India Limited,Gillette India Limited,C3.1_Renewable,HIGH,Exact match
Gland Pharma Limited,GLAND PHARMA LIMITED,C3.1_Renewable,HIGH,Corrected to ALL CAPS per V2
GlaxoSmithKline Pharmaceuticals Limited,GlaxoSmithKline Pharmaceuticals Limited,C2.1_Scope3_Remaining,HIGH,Exact match
GlaxoSmithKline Pharma,GlaxoSmithKline Pharmaceuticals Limited,C3.1_Renewable,HIGH,Core name match
Glenmark Pharmaceuticals Limited,Glenmark Pharmaceuticals Limited,C3.1_Renewable,HIGH,Exact match
Global Health (Medanta),GLOBAL HEALTH LIMITED,C3.1_Renewable,HIGH,Corrected to ALL CAPS per V2
Go Digit General Insurance Limited,Go Digit General Insurance Limited,C2.1_Scope3_Remaining,HIGH,Exact match
Godrej Consumer Products Limited,Godrej Consumer Products Limited,C3.1_Renewable,HIGH,Exact match
Godrej Industries Limited,Godrej Industries Limited,C3.1_Renewable,HIGH,Exact match
Godrej Properties Limited,Godrej Properties Limited,C3.1_Renewable,HIGH,Exact match
Grasim Industries Limited,Grasim Industries Limited,C2.1_Scope3_Manual,HIGH,Exact match
Greaves Cotton Limited,Greaves Cotton Limited,C3.1_Renewable,MEDIUM,(NOT IN V2 - NEEDS VERIFICATION)
Grindwell Norton Limited,Grindwell Norton Limited,C2.1_Scope3_Remaining,HIGH,Exact match
Gujarat Ambuja Exports Limited,Gujarat Ambuja Exports Limited,C3.1_Renewable,HIGH,Exact match
Gujarat Fluorochemicals Limited,Gujarat Fluorochemicals Limited,C3.1_Renewable,HIGH,Exact match
Gujarat Pipavav Port Limited,Gujarat Pipavav Port Limited,C2.1_Scope3_Remaining,HIGH,Exact match
Gujarat Pipavav Port (GPPL),Gujarat Pipavav Port Limited,C3.1_Renewable,HIGH,Includes abbreviation
Gujarat State Petronet Limited,Gujarat State Petronet Limited,C3.1_Renewable,HIGH,Exact match
Gulf Oil Lubricants,Gulf Oil Lubricants India Limited,C3.1_Renewable,MEDIUM,(NOT IN V2 - NEEDS VERIFICATION)
H.G. Infra Engineering,H.G. Infra Engineering Limited,C3.1_Renewable,MEDIUM,(NOT IN V2 - NEEDS VERIFICATION)
HAL,HINDUSTAN AERONAUTICS LIMITED,C3.1_Renewable,HIGH,Mapping to V2 CAPS name
HCL Technologies Limited,HCL Technologies Limited,Facility_Geocoding,HIGH,Exact match
HCL Technologies,HCL Technologies Limited,C3.1_Renewable,HIGH,Core name match
HDFC Asset Management,HDFC Asset Management Company Limited,C3.1_Renewable,HIGH,Core name match
HDFC Bank Limited,HDFC Bank Limited,Facility_Geocoding,HIGH,Exact match
HDFC Bank,HDFC Bank Limited,C2.2_Missing_Env,HIGH,Core name match
HDFC Life,HDFC Life Insurance Company Limited,C3.1_Renewable,HIGH,Core name match
HDFC Life Insurance Company Limited,HDFC Life Insurance Company Limited,Facility_Geocoding,HIGH,Exact match
HEG Limited,HEG Limited,C3.1_Renewable,HIGH,Exact match
Hero MotoCorp,HERO MOTOCORP LIMITED,C3.1_Renewable,HIGH,Corrected to ALL CAPS per V2
HFCL Limited,HFCL Limited,C3.1_Renewable,HIGH,Corrected to ALL CAPS per V2
HINDALCO INDUSTRIES LIMITED,HINDALCO INDUSTRIES LIMITED,Facility_Geocoding,HIGH,Exact match
Hindalco Industries,HINDALCO INDUSTRIES LIMITED,C3.1_Renewable,HIGH,Core name match
HINDUSTAN AERONAUTICS LIMITED,HINDUSTAN AERONAUTICS LIMITED,C2.1_Scope3_Remaining,HIGH,Exact match
HINDUSTAN COPPER LIMITED,HINDUSTAN COPPER LIMITED,C2.1_Scope3_Remaining,HIGH,Exact match
HONEYWELL AUTOMATION INDIA LIMITED,HONEYWELL AUTOMATION INDIA LIMITED,C2.1_Scope3_Remaining,HIGH,Exact match
HUDCO,Housing & Urban Development Corporation Limited,C3.1_Renewable,MEDIUM,(NOT IN V2 - NEEDS VERIFICATION)
Haldiram Snacks Food Private Limited,Haldiram Snacks Food Private Limited,C2.1_Scope3_Remaining,HIGH,Exact match
Haldiram Snacks,Haldiram Snacks Food Private Limited,G2.2_Land_AR,HIGH,Brand variant
Happiest Minds Technologies Limited,Happiest Minds Technologies Limited,C3.1_Renewable,HIGH,Exact match
Happy Forgings Limited,Happy Forgings Limited,C3.1_Renewable,HIGH,Exact match
Havells India,Havells India Limited,C3.1_Renewable,MEDIUM,(NOT IN V2 - NEEDS VERIFICATION)
Heritage Foods,Heritage Foods,G2.2_Land_AR,HIGH,"Corrected to V2 name (no ""Limited"")"
Himadri Speciality Chemical Limited,Himadri Speciality Chemical Limited,C3.1_Renewable,HIGH,Exact match
Himadri Speciality,Himadri Speciality Chemical Limited,G2.2_Land_AR,HIGH,Core name match
Hindustan Petroleum (HPCL),Hindustan Petroleum Corporation Limited,C3.1_Renewable,HIGH,Includes abbreviation
Hindustan Petroleum Corporation Limited,Hindustan Petroleum Corporation Limited,Facility_Geocoding,HIGH,Exact match
Hindustan Petroleum Corp Ltd,Hindustan Petroleum Corporation Limited,C2.2_Missing_Env,HIGH,Standard abbreviation
Hindustan Unilever Limited,Hindustan Unilever Limited,Facility_Geocoding,HIGH,Exact match
Hindustan Unilever (HUL),Hindustan Unilever Limited,C3.1_Renewable,HIGH,Includes abbreviation
Hindustan Zinc Limited,Hindustan Zinc Limited,C3.1_Renewable,HIGH,Exact match
Hitachi Energy India Limited,Hitachi Energy India Limited,C3.1_Renewable,HIGH,Exact match
Home First Finance,Home First Finance Company India Limited,C3.1_Renewable,HIGH,Core name match
Honasa Consumer Limited (Mamaearth),Honasa Consumer Limited,C3.1_Renewable,HIGH,Includes brand name
ICICI Bank Limited,ICICI Bank Limited,Facility_Geocoding,HIGH,Exact match
ICICI Lombard General,ICICI Lombard General Insurance Company Limited,C3.1_Renewable,HIGH,Core name match
ICICI Prudential Life,ICICI Prudential Life Insurance Company Limited,C3.1_Renewable,HIGH,Core name match
ICICI Prudential Life Insurance,ICICI Prudential Life Insurance Company Limited,C2.1_Scope3_Manual,HIGH,Core name match
IDBI Bank,IDBI Bank Limited,C3.1_Renewable,HIGH,Core name match
IDFC FIRST Bank,IDFC FIRST Bank Limited,C3.1_Renewable,HIGH,Core name match
IFCI Limited,IFCI Limited,C3.1_Renewable,HIGH,Exact match
IIFL Finance Limited,IIFL Finance Limited,C3.1_Renewable,HIGH,Exact match
INDIAN OVERSEAS BANK,INDIAN OVERSEAS BANK,G2.1_Land_BRSR,HIGH,Exact match
INDIAN RAILWAY FINANCE,INDIAN RAILWAY FINANCE CORPORATION LIMITED,G2.1_Land_BRSR,HIGH,Corrected to V2 CAPS name
INOX India Limited,INOX India Limited,G2.1_Land_BRSR,HIGH,Exact match
INTELLECT DESIGN ARENA,INTELLECT DESIGN ARENA LIMITED,G2.1_Land_BRSR,HIGH,Corrected to V2 CAPS name
IPCA Laboratories,Ipca Laboratories Limited,C3.1_Renewable,HIGH,Case correction to V2 (Ipca)
IRB Infrastructure,IRB Infrastructure Developers Limited,C3.1_Renewable,HIGH,Core name match
IRCON International Limited,Ircon International Limited,C2.1_Scope3_Remaining,HIGH,Case correction to V2 (Ircon)
IREDA,Indian Renewable Energy Development Agency Limited,C3.1_Renewable,HIGH,Mapping to full V2 name
ISGEC Heavy Engineering,ISGEC Heavy Engineering Limited,C3.1_Renewable,HIGH,Core name match
ITC Limited,ITC Limited,Facility_Geocoding,HIGH,Exact match
ITC Limited (Paperboards Division),ITC Limited (Paperboards Division),C3.2_Water_Quality,HIGH,Exact match
ITD Cementation India,ITD Cementation India Limited,C3.1_Renewable,MEDIUM,(NOT IN V2 - NEEDS VERIFICATION)
ITI Limited,ITI Limited,C3.1_Renewable,MEDIUM,(NOT IN V2 - NEEDS VERIFICATION)
Indegene Limited,Indegene Limited,C3.1_Renewable,HIGH,Exact match
IndiGo (InterGlobe Aviation),IndiGo (InterGlobe Aviation),C3.1_Renewable,HIGH,Exact match
