Variant_Name,Master_Company_Name,Match_Score,Match_Type,Confidence,Status,Sources,Date_Created
Go First (GoAir),IDFC FIRST Bank Limited,46,FUZZY,VERY_LOW,MANUAL_REVIEW,SCOPE3,2026-01-14
Century Pulp and Paper,Century Plyboards India Limited,57,FUZZY,VERY_LOW,MANUAL_REVIEW,SCOPE3,2026-01-14
Tayo Rolls,APL Apollo Tubes,46,FUZZY,VERY_LOW,MANUAL_REVIEW,SCOPE3,2026-01-14
Shreyans Industries (Paper),Sanghi Industries,64,FUZZY,VERY_LOW,MANUAL_REVIEW,SCOPE3,2026-01-14
Neyveli Lignite Corporation,Life Insurance Corporation of India,58,FUZZY,VERY_LOW,MANUAL_REVIEW,SCOPE3,2026-01-14
Parle Products,CCL Products India Limited,50,FUZZY,VERY_LOW,MANUAL_REVIEW,SCOPE3,2026-01-14
Rama Paper Mills,Emami Paper Mills Limited,68,FUZZY,VERY_LOW,MANUAL_REVIEW,SCOPE3,2026-01-14
Tamil Nadu Newsprint and Papers (TNPL),Tamilnad Mercantile Bank Limited,49,FUZZY,VERY_LOW,MANUAL_REVIEW,SCOPE3,2026-01-14
Andhra Pradesh Paper Mills,Andhra Paper Limited (formerly Andhra Pradesh Paper Mills),62,FUZZY,VERY_LOW,MANUAL_REVIEW,SCOPE3,2026-01-14
Hindustan Paper Corporation,Hindustan Petroleum Corporation Limited,76,FUZZY,LOW,REVIEW_NEEDED,SCOPE3,2026-01-14
Monnet Ispat,Nestle India,50,FUZZY,VERY_LOW,MANUAL_REVIEW,SCOPE3,2026-01-14
Mukand,Ambuja Cements Limited,36,FUZZY,VERY_LOW,MANUAL_REVIEW,SCOPE3,2026-01-14
S Kumars Nationwide,Usha Martin Limited,53,FUZZY,VERY_LOW,MANUAL_REVIEW,SCOPE3,2026-01-14
Welspun India,Nestle India,64,FUZZY,VERY_LOW,MANUAL_REVIEW,SCOPE3,2026-01-14
Air Asia India,BANK OF INDIA,59,FUZZY,VERY_LOW,MANUAL_REVIEW,SCOPE3,2026-01-14
Ballarpur Industries (BILT),APAR Industries Limited,68,FUZZY,VERY_LOW,MANUAL_REVIEW,SCOPE3,2026-01-14
Alliance Air,AU Small Finance Bank Limited,54,FUZZY,VERY_LOW,MANUAL_REVIEW,SCOPE3,2026-01-14
