Master_DB_Name,Variant_Source,Variant_Name,Match_Confidence,Date_Added
BANK OF INDIA,MASTER_DB,BANK OF INDIA,CANONICAL,2026-01-14
BANK OF MAHARASHTRA,MASTER_DB,BANK OF MAHARASHTRA,CANONICAL,2026-01-14
BASF India Limited,MASTER_DB,BASF India Limited,CANONICAL,2026-01-14
BATA INDIA LIMITED,MASTER_DB,BATA INDIA LIMITED,CANONICAL,2026-01-14
BEML Limited,MASTER_DB,BEML Limited,CANONICAL,2026-01-14
BHARAT ELECTRONICS LIMITED,MASTER_DB,BHARAT ELECTRONICS LIMITED,CANONICAL,2026-01-14
BHARAT HEAVY ELECTRICALS LIMITED,MASTER_DB,BHARAT HEAVY ELECTRICALS LIMITED,CANONICAL,2026-01-14
BLS International Services Limited,MASTER_DB,BLS International Services Limited,CANONICAL,2026-01-14
Bajaj Auto Limited,MASTER_DB,Bajaj Auto Limited,CANONICAL,2026-01-14
Bajaj Finance Limited,MASTER_DB,Bajaj Finance Limited,CANONICAL,2026-01-14
Bajaj Finserv Limited,MASTER_DB,Bajaj Finserv Limited,CANONICAL,2026-01-14
Bajaj Holdings  Investment Limited,MASTER_DB,Bajaj Holdings  Investment Limited,CANONICAL,2026-01-14
Balkrishna Industries Limited,MASTER_DB,Balkrishna Industries Limited,CANONICAL,2026-01-14
Balrampur Chini Mills Limited,MASTER_DB,Balrampur Chini Mills Limited,CANONICAL,2026-01-14
Bandhan Bank Limited,MASTER_DB,Bandhan Bank Limited,CANONICAL,2026-01-14
Bharat Dynamics Limited,MASTER_DB,Bharat Dynamics Limited,CANONICAL,2026-01-14
Bharat Forge Limited,MASTER_DB,Bharat Forge Limited,CANONICAL,2026-01-14
Bharti Airtel Limited,MASTER_DB,Bharti Airtel Limited,CANONICAL,2026-01-14
Bharti Hexacom Limited,MASTER_DB,Bharti Hexacom Limited,CANONICAL,2026-01-14
Bikaji Foods International Limited,MASTER_DB,Bikaji Foods International Limited,CANONICAL,2026-01-14
Biocon Limited,MASTER_DB,Biocon Limited,CANONICAL,2026-01-14
Birla Corporation Limited,MASTER_DB,Birla Corporation Limited,CANONICAL,2026-01-14
Birlasoft Limited,MASTER_DB,Birlasoft Limited,CANONICAL,2026-01-14
Blue Dart Express Limited,MASTER_DB,Blue Dart Express Limited,CANONICAL,2026-01-14
Blue Star Limited,MASTER_DB,Blue Star Limited,CANONICAL,2026-01-14
Bosch limited,MASTER_DB,Bosch limited,CANONICAL,2026-01-14
Brigade Enterprises Limited,MASTER_DB,Brigade Enterprises Limited,CANONICAL,2026-01-14
Britannia Industries Limited,MASTER_DB,Britannia Industries Limited,CANONICAL,2026-01-14
CCL Products India Limited,MASTER_DB,CCL Products India Limited,CANONICAL,2026-01-14
CE INFO SYSTEMS LIMITED,MASTER_DB,CE INFO SYSTEMS LIMITED,CANONICAL,2026-01-14
CEAT Limited,MASTER_DB,CEAT Limited,CANONICAL,2026-01-14
CERA Sanitaryware Limited,MASTER_DB,CERA Sanitaryware Limited,CANONICAL,2026-01-14
CESC Limited,MASTER_DB,CESC Limited,CANONICAL,2026-01-14
CG Power and Industrial Solutions Limited,MASTER_DB,CG Power and Industrial Solutions Limited,CANONICAL,2026-01-14
CHENNAI PETROLEUM CORPORATION LIMITED,MASTER_DB,CHENNAI PETROLEUM CORPORATION LIMITED,CANONICAL,2026-01-14
CITY UNION BANK LIMITED,MASTER_DB,CITY UNION BANK LIMITED,CANONICAL,2026-01-14
COAL INDIA LIMITED,MASTER_DB,COAL INDIA LIMITED,CANONICAL,2026-01-14
COROMANDEL INTERNATIONAL LIMITED,MASTER_DB,COROMANDEL INTERNATIONAL LIMITED,CANONICAL,2026-01-14
Campus Activewear Limited,MASTER_DB,Campus Activewear Limited,CANONICAL,2026-01-14
Can Fin Homes Limited,MASTER_DB,Can Fin Homes Limited,CANONICAL,2026-01-14
Canara Bank,MASTER_DB,Canara Bank,CANONICAL,2026-01-14
Caplin Point Laboratories Limited,MASTER_DB,Caplin Point Laboratories Limited,CANONICAL,2026-01-14
Capri Global Capital Limited,MASTER_DB,Capri Global Capital Limited,CANONICAL,2026-01-14
Carborundum Universal Limited,MASTER_DB,Carborundum Universal Limited,CANONICAL,2026-01-14
Cello World Limited,MASTER_DB,Cello World Limited,CANONICAL,2026-01-14
Century Plyboards India Limited,MASTER_DB,Century Plyboards India Limited,CANONICAL,2026-01-14
Chalet Hotels Limited,MASTER_DB,Chalet Hotels Limited,CANONICAL,2026-01-14
Chemplast Sanmar Limited,MASTER_DB,Chemplast Sanmar Limited,CANONICAL,2026-01-14
Cholamandalam Financial Holdings Limited,MASTER_DB,Cholamandalam Financial Holdings Limited,CANONICAL,2026-01-14
Cholamandalam Investment and Finance Company Limited,MASTER_DB,Cholamandalam Investment and Finance Company Limited,CANONICAL,2026-01-14
Cipla Limited,MASTER_DB,Cipla Limited,CANONICAL,2026-01-14
Clean Science and Technology Limited,MASTER_DB,Clean Science and Technology Limited,CANONICAL,2026-01-14
Cochin Shipyard Limited,MASTER_DB,Cochin Shipyard Limited,CANONICAL,2026-01-14
Coforge Limited,MASTER_DB,Coforge Limited,CANONICAL,2026-01-14
Computer Age Management Services Limited,MASTER_DB,Computer Age Management Services Limited,CANONICAL,2026-01-14
Concord Biotech Limited,MASTER_DB,Concord Biotech Limited,CANONICAL,2026-01-14
Container Corporation of India Limited,MASTER_DB,Container Corporation of India Limited,CANONICAL,2026-01-14
Craftsman Automation Limited,MASTER_DB,Craftsman Automation Limited,CANONICAL,2026-01-14
CreditAccess Grameen Limited,MASTER_DB,CreditAccess Grameen Limited,CANONICAL,2026-01-14
Crompton Greaves Consumer Electricals Limited,MASTER_DB,Crompton Greaves Consumer Electricals Limited,CANONICAL,2026-01-14
Cummins India Limited,MASTER_DB,Cummins India Limited,CANONICAL,2026-01-14
Cyient Limited,MASTER_DB,Cyient Limited,CANONICAL,2026-01-14
DCM Shriram Limited,MASTER_DB,DCM Shriram Limited,CANONICAL,2026-01-14
DIVIS LABORATORIES LIMITED,MASTER_DB,DIVIS LABORATORIES LIMITED,CANONICAL,2026-01-14
DLF Limited,MASTER_DB,DLF Limited,CANONICAL,2026-01-14
DOMS Industries Limited,MASTER_DB,DOMS Industries Limited,CANONICAL,2026-01-14
Dabur India Limited,MASTER_DB,Dabur India Limited,CANONICAL,2026-01-14
Dalmia Bharat Limited,MASTER_DB,Dalmia Bharat Limited,CANONICAL,2026-01-14
Data Patterns India Limited,MASTER_DB,Data Patterns India Limited,CANONICAL,2026-01-14
Deepak Nitrite Limited,MASTER_DB,Deepak Nitrite Limited,CANONICAL,2026-01-14
Delhivery Limited,MASTER_DB,Delhivery Limited,CANONICAL,2026-01-14
Devyani International Limited,MASTER_DB,Devyani International Limited,CANONICAL,2026-01-14
Dixon Technologies India Limited,MASTER_DB,Dixon Technologies India Limited,CANONICAL,2026-01-14
Dr Reddys Laboratories Limited,MASTER_DB,Dr Reddys Laboratories Limited,CANONICAL,2026-01-14
EICHER MOTORS LIMITED,MASTER_DB,EICHER MOTORS LIMITED,CANONICAL,2026-01-14
EIH Limited,MASTER_DB,EIH Limited,CANONICAL,2026-01-14
ESAB India Limited,MASTER_DB,ESAB India Limited,CANONICAL,2026-01-14
Easy Trip Planners Limited,MASTER_DB,Easy Trip Planners Limited,CANONICAL,2026-01-14
Electronics Mart India Limited,MASTER_DB,Electronics Mart India Limited,CANONICAL,2026-01-14
Elgi Equipments Limited,MASTER_DB,Elgi Equipments Limited,CANONICAL,2026-01-14
Emami Limited,MASTER_DB,Emami Limited,CANONICAL,2026-01-14
Endurance Technologies Limited,MASTER_DB,Endurance Technologies Limited,CANONICAL,2026-01-14
Engineers India Limited,MASTER_DB,Engineers India Limited,CANONICAL,2026-01-14
Equitas Small Finance Bank Limited,MASTER_DB,Equitas Small Finance Bank Limited,CANONICAL,2026-01-14
Eris Lifesciences Limited,MASTER_DB,Eris Lifesciences Limited,CANONICAL,2026-01-14
Escorts Kubota Limited,MASTER_DB,Escorts Kubota Limited,CANONICAL,2026-01-14
Eureka Forbes Limited,MASTER_DB,Eureka Forbes Limited,CANONICAL,2026-01-14
Exide Industries Limited,MASTER_DB,Exide Industries Limited,CANONICAL,2026-01-14
FERTILIZERS AND CHEMICALS TRAVANCORE LIMITED,MASTER_DB,FERTILIZERS AND CHEMICALS TRAVANCORE LIMITED,CANONICAL,2026-01-14
FINE ORGANIC INDUSTRIES LIMITED,MASTER_DB,FINE ORGANIC INDUSTRIES LIMITED,CANONICAL,2026-01-14
Finolex Cables Limited,MASTER_DB,Finolex Cables Limited,CANONICAL,2026-01-14
Finolex Industries Limited,MASTER_DB,Finolex Industries Limited,CANONICAL,2026-01-14
Firstsource Solutions Limited,MASTER_DB,Firstsource Solutions Limited,CANONICAL,2026-01-14
Five-Star Business Finance Limited,MASTER_DB,Five-Star Business Finance Limited,CANONICAL,2026-01-14
Force Motors Ltd,MASTER_DB,Force Motors Ltd,CANONICAL,2026-01-14
Fortis Healthcare Limited,MASTER_DB,Fortis Healthcare Limited,CANONICAL,2026-01-14
G R Infraprojects Limited,MASTER_DB,G R Infraprojects Limited,CANONICAL,2026-01-14
GAIL India Limited,MASTER_DB,GAIL India Limited,CANONICAL,2026-01-14
GALAXY SURFACTANTS LIMITED,MASTER_DB,GALAXY SURFACTANTS LIMITED,CANONICAL,2026-01-14
GLAND PHARMA LIMITED,MASTER_DB,GLAND PHARMA LIMITED,CANONICAL,2026-01-14
GLOBAL HEALTH LIMITED,MASTER_DB,GLOBAL HEALTH LIMITED,CANONICAL,2026-01-14
GODAWARI POWER AND ISPAT LIMITED,MASTER_DB,GODAWARI POWER AND ISPAT LIMITED,CANONICAL,2026-01-14
GODFREY PHILLIPS INDIA LIMITED,MASTER_DB,GODFREY PHILLIPS INDIA LIMITED,CANONICAL,2026-01-14
GODREJ AGROVET LIMITED,MASTER_DB,GODREJ AGROVET LIMITED,CANONICAL,2026-01-14
GRANULES INDIA LIMITED,MASTER_DB,GRANULES INDIA LIMITED,CANONICAL,2026-01-14
GRAPHITE INDIA LIMITED,MASTER_DB,GRAPHITE INDIA LIMITED,CANONICAL,2026-01-14
GUJARAT GAS LIMITED,MASTER_DB,GUJARAT GAS LIMITED,CANONICAL,2026-01-14
Garden Reach Shipbuilders  Engineers Limited,MASTER_DB,Garden Reach Shipbuilders  Engineers Limited,CANONICAL,2026-01-14
General Insurance Corporation of India,MASTER_DB,General Insurance Corporation of India,CANONICAL,2026-01-14
Genus Power Infrastructures Limited,MASTER_DB,Genus Power Infrastructures Limited,CANONICAL,2026-01-14
Gillette India Limited,MASTER_DB,Gillette India Limited,CANONICAL,2026-01-14
GlaxoSmithKline Pharmaceuticals Limited,MASTER_DB,GlaxoSmithKline Pharmaceuticals Limited,CANONICAL,2026-01-14
Glenmark Pharmaceuticals Limited,MASTER_DB,Glenmark Pharmaceuticals Limited,CANONICAL,2026-01-14
Go Digit General Insurance Limited,MASTER_DB,Go Digit General Insurance Limited,CANONICAL,2026-01-14
Godrej Consumer Products Limited,MASTER_DB,Godrej Consumer Products Limited,CANONICAL,2026-01-14
Godrej Industries Limited,MASTER_DB,Godrej Industries Limited,CANONICAL,2026-01-14
Godrej Properties Limited,MASTER_DB,Godrej Properties Limited,CANONICAL,2026-01-14
Grasim Industries Limited,MASTER_DB,Grasim Industries Limited,CANONICAL,2026-01-14
Grindwell Norton Limited,MASTER_DB,Grindwell Norton Limited,CANONICAL,2026-01-14
Gujarat Ambuja Exports Limited,MASTER_DB,Gujarat Ambuja Exports Limited,CANONICAL,2026-01-14
Gujarat Fluorochemicals Limited,MASTER_DB,Gujarat Fluorochemicals Limited,CANONICAL,2026-01-14
Gujarat Pipavav Port Limited,MASTER_DB,Gujarat Pipavav Port Limited,CANONICAL,2026-01-14
Gujarat State Petronet Limited,MASTER_DB,Gujarat State Petronet Limited,CANONICAL,2026-01-14
HCL Technologies Limited,MASTER_DB,HCL Technologies Limited,CANONICAL,2026-01-14
HDFC Asset Management Company Limited,MASTER_DB,HDFC Asset Management Company Limited,CANONICAL,2026-01-14
HDFC Bank Limited,MASTER_DB,HDFC Bank Limited,CANONICAL,2026-01-14
HDFC Life Insurance Company Limited,MASTER_DB,HDFC Life Insurance Company Limited,CANONICAL,2026-01-14
HEG Limited,MASTER_DB,HEG Limited,CANONICAL,2026-01-14
HERO MOTOCORP LIMITED,MASTER_DB,HERO MOTOCORP LIMITED,CANONICAL,2026-01-14
HFCL Limited,MASTER_DB,HFCL Limited,CANONICAL,2026-01-14
HINDALCO INDUSTRIES LIMITED,MASTER_DB,HINDALCO INDUSTRIES LIMITED,CANONICAL,2026-01-14
HINDUSTAN AERONAUTICS LIMITED,MASTER_DB,HINDUSTAN AERONAUTICS LIMITED,CANONICAL,2026-01-14
HINDUSTAN COPPER LIMITED,MASTER_DB,HINDUSTAN COPPER LIMITED,CANONICAL,2026-01-14
HONEYWELL AUTOMATION INDIA LIMITED,MASTER_DB,HONEYWELL AUTOMATION INDIA LIMITED,CANONICAL,2026-01-14
Happiest Minds Technologies Limited,MASTER_DB,Happiest Minds Technologies Limited,CANONICAL,2026-01-14
Happy Forgings Limited,MASTER_DB,Happy Forgings Limited,CANONICAL,2026-01-14
Hindustan Petroleum Corporation Limited,MASTER_DB,Hindustan Petroleum Corporation Limited,CANONICAL,2026-01-14
Hindustan Unilever Limited,MASTER_DB,Hindustan Unilever Limited,CANONICAL,2026-01-14
Hindustan Zinc Limited,MASTER_DB,Hindustan Zinc Limited,CANONICAL,2026-01-14
Hitachi Energy India Limited,MASTER_DB,Hitachi Energy India Limited,CANONICAL,2026-01-14
Home First Finance Company India Limited,MASTER_DB,Home First Finance Company India Limited,CANONICAL,2026-01-14
Honasa Consumer Limited,MASTER_DB,Honasa Consumer Limited,CANONICAL,2026-01-14
ICICI Bank Limited,MASTER_DB,ICICI Bank Limited,CANONICAL,2026-01-14
ICICI Lombard General Insurance Company Limited,MASTER_DB,ICICI Lombard General Insurance Company Limited,CANONICAL,2026-01-14
ICICI Prudential Life Insurance Company Limited,MASTER_DB,ICICI Prudential Life Insurance Company Limited,CANONICAL,2026-01-14
IDBI Bank Limited,MASTER_DB,IDBI Bank Limited,CANONICAL,2026-01-14
IDFC FIRST Bank Limited,MASTER_DB,IDFC FIRST Bank Limited,CANONICAL,2026-01-14
IFCI Limited,MASTER_DB,IFCI Limited,CANONICAL,2026-01-14
IIFL Finance Limited,MASTER_DB,IIFL Finance Limited,CANONICAL,2026-01-14
INDIAN OVERSEAS BANK,MASTER_DB,INDIAN OVERSEAS BANK,CANONICAL,2026-01-14
INDIAN RAILWAY FINANCE CORPORATION LIMITED,MASTER_DB,INDIAN RAILWAY FINANCE CORPORATION LIMITED,CANONICAL,2026-01-14
INOX India Limited,MASTER_DB,INOX India Limited,CANONICAL,2026-01-14
INTELLECT DESIGN ARENA LIMITED,MASTER_DB,INTELLECT DESIGN ARENA LIMITED,CANONICAL,2026-01-14
IRB Infrastructure Developers Limited,MASTER_DB,IRB Infrastructure Developers Limited,CANONICAL,2026-01-14
ISGEC Heavy Engineering Limited,MASTER_DB,ISGEC Heavy Engineering Limited,CANONICAL,2026-01-14
ITC Limited,MASTER_DB,ITC Limited,CANONICAL,2026-01-14
Indegene Limited,MASTER_DB,Indegene Limited,CANONICAL,2026-01-14
Indian Energy Exchange Limited,MASTER_DB,Indian Energy Exchange Limited,CANONICAL,2026-01-14
Indian Oil Corporation Limited,MASTER_DB,Indian Oil Corporation Limited,CANONICAL,2026-01-14
Indian Renewable Energy Development Agency Limited,MASTER_DB,Indian Renewable Energy Development Agency Limited,CANONICAL,2026-01-14
Indus Towers Limited,MASTER_DB,Indus Towers Limited,CANONICAL,2026-01-14
IndusInd Bank Limited,MASTER_DB,IndusInd Bank Limited,CANONICAL,2026-01-14
Infibeam Avenues Limited,MASTER_DB,Infibeam Avenues Limited,CANONICAL,2026-01-14
Infosys Limited,MASTER_DB,Infosys Limited,CANONICAL,2026-01-14
Inox Wind Limited,MASTER_DB,Inox Wind Limited,CANONICAL,2026-01-14
InterGlobe Aviation Limited,MASTER_DB,InterGlobe Aviation Limited,CANONICAL,2026-01-14
Ion Exchange India Limited,MASTER_DB,Ion Exchange India Limited,CANONICAL,2026-01-14
Ipca Laboratories Limited,MASTER_DB,Ipca Laboratories Limited,CANONICAL,2026-01-14
Ircon International Limited,MASTER_DB,Ircon International Limited,CANONICAL,2026-01-14
JAI BALAJI INDUSTRIES LIMITED,MASTER_DB,JAI BALAJI INDUSTRIES LIMITED,CANONICAL,2026-01-14
JAIPRAKASH POWER VENTURES LIMITED,MASTER_DB,JAIPRAKASH POWER VENTURES LIMITED,CANONICAL,2026-01-14
JBM Auto Limited,MASTER_DB,JBM Auto Limited,CANONICAL,2026-01-14
JINDAL STEEL  POWER LIMITED,MASTER_DB,JINDAL STEEL  POWER LIMITED,CANONICAL,2026-01-14
JK CEMENT LIMITED,MASTER_DB,JK CEMENT LIMITED,CANONICAL,2026-01-14
JK LAKSHMI CEMENT LIMITED,MASTER_DB,JK LAKSHMI CEMENT LIMITED,CANONICAL,2026-01-14
JK Tyre  Industries Limited,MASTER_DB,JK Tyre  Industries Limited,CANONICAL,2026-01-14
JM Financial Limited,MASTER_DB,JM Financial Limited,CANONICAL,2026-01-14
JSW Energy Limited,MASTER_DB,JSW Energy Limited,CANONICAL,2026-01-14
JSW Infrastructure Limited,MASTER_DB,JSW Infrastructure Limited,CANONICAL,2026-01-14
JSW Steel Limited,MASTER_DB,JSW Steel Limited,CANONICAL,2026-01-14
JUBILANT INGREVIA LIMITED,MASTER_DB,JUBILANT INGREVIA LIMITED,CANONICAL,2026-01-14
JYOTHY LABS LIMITED,MASTER_DB,JYOTHY LABS LIMITED,CANONICAL,2026-01-14
JYOTI CNC AUTOMATION LIMITED,MASTER_DB,JYOTI CNC AUTOMATION LIMITED,CANONICAL,2026-01-14
Jindal Stainless Limited,MASTER_DB,Jindal Stainless Limited,CANONICAL,2026-01-14
Jio Financial Services Limited,MASTER_DB,Jio Financial Services Limited,CANONICAL,2026-01-14
Jubilant FoodWorks Limited,MASTER_DB,Jubilant FoodWorks Limited,CANONICAL,2026-01-14
Jubilant Pharmova Limited,MASTER_DB,Jubilant Pharmova Limited,CANONICAL,2026-01-14
Juniper Hotels Limited,MASTER_DB,Juniper Hotels Limited,CANONICAL,2026-01-14
Jupiter Life Line Hospitals Limited,MASTER_DB,Jupiter Life Line Hospitals Limited,CANONICAL,2026-01-14
Jupiter Wagons Limited,MASTER_DB,Jupiter Wagons Limited,CANONICAL,2026-01-14
Just Dial Limited,MASTER_DB,Just Dial Limited,CANONICAL,2026-01-14
KARUR VYSYA BANK LIMITED,MASTER_DB,KARUR VYSYA BANK LIMITED,CANONICAL,2026-01-14
KEC International Limited,MASTER_DB,KEC International Limited,CANONICAL,2026-01-14
KEI INDUSTRIES LIMITED,MASTER_DB,KEI INDUSTRIES LIMITED,CANONICAL,2026-01-14
KFin Technologies Limited,MASTER_DB,KFin Technologies Limited,CANONICAL,2026-01-14
KIOCL Limited,MASTER_DB,KIOCL Limited,CANONICAL,2026-01-14
KNR Constructions Limited,MASTER_DB,KNR Constructions Limited,CANONICAL,2026-01-14
KOTAK MAHINDRA BANK LIMITED,MASTER_DB,KOTAK MAHINDRA BANK LIMITED,CANONICAL,2026-01-14
KPI GREEN ENERGY LIMITED,MASTER_DB,KPI GREEN ENERGY LIMITED,CANONICAL,2026-01-14
KPIT Technologies Limited,MASTER_DB,KPIT Technologies Limited,CANONICAL,2026-01-14
KPR MILL LIMITED,MASTER_DB,KPR MILL LIMITED,CANONICAL,2026-01-14
Kajaria Ceramics Limited,MASTER_DB,Kajaria Ceramics Limited,CANONICAL,2026-01-14
Kalpataru Projects International Limited,MASTER_DB,Kalpataru Projects International Limited,CANONICAL,2026-01-14
Kalyan Jewellers India Limited,MASTER_DB,Kalyan Jewellers India Limited,CANONICAL,2026-01-14
Kaynes Technology India Limited,MASTER_DB,Kaynes Technology India Limited,CANONICAL,2026-01-14
Keystone Realtors Limited,MASTER_DB,Keystone Realtors Limited,CANONICAL,2026-01-14
Kirloskar Brothers Limited,MASTER_DB,Kirloskar Brothers Limited,CANONICAL,2026-01-14
Kirloskar Oil Engines Limited,MASTER_DB,Kirloskar Oil Engines Limited,CANONICAL,2026-01-14
Krishna Institute of Medical Sciences Limited,MASTER_DB,Krishna Institute of Medical Sciences Limited,CANONICAL,2026-01-14
LAURUS LABS LIMITED,MASTER_DB,LAURUS LABS LIMITED,CANONICAL,2026-01-14
LIC Housing Finance Limited,MASTER_DB,LIC Housing Finance Limited,CANONICAL,2026-01-14
Latent View Analytics Limited,MASTER_DB,Latent View Analytics Limited,CANONICAL,2026-01-14
Lemon Tree Hotels Limited,MASTER_DB,Lemon Tree Hotels Limited,CANONICAL,2026-01-14
Life Insurance Corporation of India,MASTER_DB,Life Insurance Corporation of India,CANONICAL,2026-01-14
Linde India Limited,MASTER_DB,Linde India Limited,CANONICAL,2026-01-14
Lloyds Metals and Energy Limited,MASTER_DB,Lloyds Metals and Energy Limited,CANONICAL,2026-01-14
Lupin Limited,MASTER_DB,Lupin Limited,CANONICAL,2026-01-14
MACROTECH DEVELOPERS LIMITED,MASTER_DB,MACROTECH DEVELOPERS LIMITED,CANONICAL,2026-01-14
MAHARASHTRA SCOOTERS LIMITED,MASTER_DB,MAHARASHTRA SCOOTERS LIMITED,CANONICAL,2026-01-14
MANKIND PHARMA LIMITED,MASTER_DB,MANKIND PHARMA LIMITED,CANONICAL,2026-01-14
MAX HEALTHCARE INSTITUTE LIMITED,MASTER_DB,MAX HEALTHCARE INSTITUTE LIMITED,CANONICAL,2026-01-14
MOIL Limited,MASTER_DB,MOIL Limited,CANONICAL,2026-01-14
MRF Limited,MASTER_DB,MRF Limited,CANONICAL,2026-01-14
MUTHOOT FINANCE LIMITED,MASTER_DB,MUTHOOT FINANCE LIMITED,CANONICAL,2026-01-14
Mahanagar Gas Limited,MASTER_DB,Mahanagar Gas Limited,CANONICAL,2026-01-14
Maharashtra Seamless Limited,MASTER_DB,Maharashtra Seamless Limited,CANONICAL,2026-01-14
Mahindra  Mahindra Financial Services Limited,MASTER_DB,Mahindra  Mahindra Financial Services Limited,CANONICAL,2026-01-14
Mahindra  Mahindra Limited,MASTER_DB,Mahindra  Mahindra Limited,CANONICAL,2026-01-14
Mahindra Holidays  Resorts India Limited,MASTER_DB,Mahindra Holidays  Resorts India Limited,CANONICAL,2026-01-14
Mahindra Lifespace Developers Limited,MASTER_DB,Mahindra Lifespace Developers Limited,CANONICAL,2026-01-14
Man Infraconstruction Limited,MASTER_DB,Man Infraconstruction Limited,CANONICAL,2026-01-14
Manappuram Finance Limited,MASTER_DB,Manappuram Finance Limited,CANONICAL,2026-01-14
Marico Limited,MASTER_DB,Marico Limited,CANONICAL,2026-01-14
Maruti Suzuki India Limited,MASTER_DB,Maruti Suzuki India Limited,CANONICAL,2026-01-14
Mastek Limited,MASTER_DB,Mastek Limited,CANONICAL,2026-01-14
Max Financial Services Limited,MASTER_DB,Max Financial Services Limited,CANONICAL,2026-01-14
Mazagon Dock Shipbuilders Limited,MASTER_DB,Mazagon Dock Shipbuilders Limited,CANONICAL,2026-01-14
