Master_DB_Name,Sector,Variant_Name_1,Variant_Name_2,Variant_Name_3,Variant_Name_4,All_Variants
Sun Pharma Advanced Research Company Limited,Pharmaceuticals & Healthcare,Sun Pharma Advanced Research,Sun Pharma Advanced Research Company (SPARC),Sun Pharma Advanced Research Company Limited,Sun Pharma Advanced,Sun Pharma Advanced Research; Sun Pharma Advanced Research Company (SPARC); Sun Pharma Advanced Research Company Limited; Sun Pharma Advanced; Sun Pharma Advanced Research Company (SPARC); Sun Pharma Advanced Research Company Limited
Aegis Logistics Limited,Chemicals & Fertilizers,Aegis Logistics Limited,Aegis Logistics Ltd,Aegis Logistics Limited,Aegis Logistics Limited,Aegis Logistics Limited; Aegis Logistics Ltd; Aegis Logistics Limited; Aegis Logistics Limited; Aegis Logistics Limited
CE INFO SYSTEMS LIMITED,Chemicals & Fertilizers,CE INFO SYSTEMS,CE INFO SYSTEMS LIMITED (MapmyIndia),CE INFO SYSTEMS,CE INFO SYSTEMS LIMITED (MapmyIndia),CE INFO SYSTEMS; CE INFO SYSTEMS LIMITED (MapmyIndia); CE INFO SYSTEMS; CE INFO SYSTEMS LIMITED (MapmyIndia); MapmyIndia; CE INFO SYSTEMS LIMITED
Mishra Dhatu Nigam Limited,Chemicals & Fertilizers,Mishra Dhatu Nigam (MIDHANI),Mishra Dhatu Nigam,Mishra Dhatu Nigam (MIDHANI),Mishra Dhatu Nigam Limited (MIDHANI),Mishra Dhatu Nigam (MIDHANI); Mishra Dhatu Nigam; Mishra Dhatu Nigam (MIDHANI); Mishra Dhatu Nigam Limited (MIDHANI); Mishra Dhatu Nigam Ltd; Mishra Dhatu Nigam Limited
PNC Infratech Limited,Information Technology,PNC Infratech Limited,PNC Infratech Ltd,PNC Infratech Limited,,PNC Infratech Limited; PNC Infratech Ltd; PNC Infratech Limited
Piramal Pharma Limited,Pharmaceuticals & Healthcare,Piramal Pharma Limited,Piramal Pharma,Piramal Pharma Limited,PPL,Piramal Pharma Limited; Piramal Pharma; Piramal Pharma Limited; PPL
Piramal Enterprises Limited,Chemicals & Fertilizers,Piramal Enterprises,Piramal Enterprises Limited,Piramal Enterprises,Piramal Enterprises,Piramal Enterprises; Piramal Enterprises Limited; Piramal Enterprises; Piramal Enterprises; Piramal Enterprises Limited; PEL
Man Infraconstruction Limited,Cement Manufacturing,Man Infraconstruction,Man Infraconstruction Limited,,,Man Infraconstruction; Man Infraconstruction Limited
PTC Industries Limited,Chemicals & Fertilizers,PTC Industries Limited,PTC Industries Ltd,PTC Industries Limited,,PTC Industries Limited; PTC Industries Ltd; PTC Industries Limited
POLY MEDICURE LIMITED,Pharmaceuticals & Healthcare,POLY MEDICURE LIMITED,POLY MEDICURE LTD,POLY MEDICURE LIMITED,,POLY MEDICURE LIMITED; POLY MEDICURE LTD; POLY MEDICURE LIMITED
Engineers India Limited,Chemicals & Fertilizers,Engineers India Limited,Engineers India Limited (EIL),Engineers India Ltd,Engineers India Limited,Engineers India Limited; Engineers India Limited (EIL); Engineers India Ltd; Engineers India Limited; Engineers India Limited
Campus Activewear Limited,Chemicals & Fertilizers,Campus Activewear,Campus Activewear,Campus Activewear Limited,,Campus Activewear; Campus Activewear; Campus Activewear Limited
PATANJALI FOODS LIMITED,Pharmaceuticals & Healthcare,Patanjali Foods,PATANJALI FOODS LIMITED,Patanjali Foods,Patanjali Foods Limited,Patanjali Foods; PATANJALI FOODS LIMITED; Patanjali Foods; Patanjali Foods Limited; Patanjali Foods Limited
Ircon International Limited,Chemicals & Fertilizers,IRCON International Limited,Ircon International,Ircon International Limited,,IRCON International Limited; Ircon International; Ircon International Limited
Data Patterns India Limited,Information Technology,Data Patterns India,Data Patterns India Limited,Data Patterns India,Data Patterns India Limited,Data Patterns India; Data Patterns India Limited; Data Patterns India; Data Patterns India Limited
DOMS Industries Limited,Chemicals & Fertilizers,DOMS Industries Limited,DOMS Industries Ltd,DOMS Industries Limited,,DOMS Industries Limited; DOMS Industries Ltd; DOMS Industries Limited
Oberoi Realty Limited,Real Estate & Construction,Oberoi Realty Limited,Oberoi Realty Ltd,Oberoi Realty Limited,,Oberoi Realty Limited; Oberoi Realty Ltd; Oberoi Realty Limited
NBCC India Limited,Cement Manufacturing,NBCC India Limited,NBCC (India) Limited,NBCC India Limited,,NBCC India Limited; NBCC (India) Limited; NBCC India Limited
Cello World Limited,Pharmaceuticals & Healthcare,Cello World Limited,Cello World Limited,Cello World Limited,,Cello World Limited; Cello World Limited; Cello World Limited
KIOCL Limited,Steel & Iron,KIOCL Limited,,,,KIOCL Limited
RELIANCE POWER LIMITED,Oil & Gas,RELIANCE POWER LIMITED,RELIANCE POWER LIMITED,R-Power,Sasan Power,RELIANCE POWER LIMITED; RELIANCE POWER LIMITED; R-Power; Sasan Power; Rosa Power
KNR Constructions Limited,Cement Manufacturing,KNR Constructions,KNR Constructions Limited,,,KNR Constructions; KNR Constructions Limited
Ramkrishna Forgings Limited,Chemicals & Fertilizers,Ramkrishna Forgings,Ramkrishna Forgings Limited,Ramkrishna Forgings,Ramkrishna Forgings,Ramkrishna Forgings; Ramkrishna Forgings Limited; Ramkrishna Forgings; Ramkrishna Forgings; Ramkrishna Forgings Limited; RK Forgings
KPR MILL LIMITED,Textiles & Apparel,KPR MILL LIMITED,,,,KPR MILL LIMITED
Maharashtra Seamless Limited,Chemicals & Fertilizers,Maharashtra Seamless,Maharashtra Seamless,Maharashtra Seamless Limited,MSL,Maharashtra Seamless; Maharashtra Seamless; Maharashtra Seamless Limited; MSL
JYOTI CNC AUTOMATION LIMITED,Chemicals & Fertilizers,JYOTI CNC AUTOMATION,JYOTI CNC AUTO,JYOTI CNC AUTOMATION LIMITED,,JYOTI CNC AUTOMATION; JYOTI CNC AUTO; JYOTI CNC AUTOMATION LIMITED
Kalyan Jewellers India Limited,Pharmaceuticals & Healthcare,Kalyan Jewellers,Kalyan Jewellers,Kalyan Jewellers India Limited,,Kalyan Jewellers; Kalyan Jewellers; Kalyan Jewellers India Limited
ALOK INDUSTRIES LIMITED,Chemicals & Fertilizers,ALOK INDUSTRIES LIMITED,Alok Industries,ALOK INDUSTRIES LIMITED,,ALOK INDUSTRIES LIMITED; Alok Industries; ALOK INDUSTRIES LIMITED
Welspun Corp Limited,Textiles & Apparel,Welspun Corp Limited,Welspun Corp,Welspun Corp Limited,,Welspun Corp Limited; Welspun Corp; Welspun Corp Limited
Vedant Fashions Limited,Textiles & Apparel,Vedant Fashions Limited,Vedant Fashions Limited (Manyavar),Vedant Fashions,Vedant Fashions Limited,Vedant Fashions Limited; Vedant Fashions Limited (Manyavar); Vedant Fashions; Vedant Fashions Limited; Vedant Fashions Limited (Manyavar); Manyavar
VALOR ESTATE LIMITED,Chemicals & Fertilizers,VALOR ESTATE,Valor Estate,VALOR ESTATE LIMITED,,VALOR ESTATE; Valor Estate; VALOR ESTATE LIMITED
Thomas Cook  India  Limited,Chemicals & Fertilizers,Thomas Cook India Limited,Thomas Cook India,Thomas Cook India,Thomas Cook India Limited,Thomas Cook India Limited; Thomas Cook India; Thomas Cook India; Thomas Cook India Limited; Thomas Cook  India  Limited
JAIPRAKASH POWER VENTURES LIMITED,Power Generation,JAIPRAKASH POWER VENTURES,JAIPRAKASH POWER VENTURES LIMITED,,,JAIPRAKASH POWER VENTURES; JAIPRAKASH POWER VENTURES LIMITED
Star Cement Limited,Cement Manufacturing,Star Cement Limited,Star Cement,Star Cement Limited,,Star Cement Limited; Star Cement; Star Cement Limited
JAI BALAJI INDUSTRIES LIMITED,Chemicals & Fertilizers,JAI BALAJI INDUSTRIES,JAI BALAJI INDUSTRIES LIMITED,,,JAI BALAJI INDUSTRIES; JAI BALAJI INDUSTRIES LIMITED
Sona BLW Precision Forgings Limited,Chemicals & Fertilizers,Sona BLW Precision (Sona Comstar),Sona BLW Precision Forgings,Sona BLW Precision Forgings Limited,Sona BLW Precision,Sona BLW Precision (Sona Comstar); Sona BLW Precision Forgings; Sona BLW Precision Forgings Limited; Sona BLW Precision; Sona BLW Precision Forgings; Sona BLW Precision Forgings Limited
Solar Industries India Limited,Chemicals & Fertilizers,Solar Industries India,Solar Industries India Limited,Solar Industries India,Solar Industries India,Solar Industries India; Solar Industries India Limited; Solar Industries India; Solar Industries India; Solar Industries India Limited
Signatureglobal India Limited,Chemicals & Fertilizers,Signatureglobal India,Signatureglobal India Limited,Signatureglobal India,Signatureglobal India,Signatureglobal India; Signatureglobal India Limited; Signatureglobal India; Signatureglobal India; Signatureglobal India Limited
ALEMBIC PHARMACEUTICALS LIMITED,Pharmaceuticals & Healthcare,ALEMBIC PHARMA,ALEMBIC PHARMA,Alembic Pharmaceuticals,Alembic Pharmaceuticals,ALEMBIC PHARMA; ALEMBIC PHARMA; Alembic Pharmaceuticals; Alembic Pharmaceuticals; ALEMBIC PHARMACEUTICALS LIMITED
Vodafone Idea Limited,Information Technology,Vodafone Idea Limited,,,,Vodafone Idea Limited
BHARAT HEAVY ELECTRICALS LIMITED,Chemicals & Fertilizers,BHARAT HEAVY ELECTRICALS,BHEL,BHEL,BHARAT HEAVY ELECTRICALS LIMITED,BHARAT HEAVY ELECTRICALS; BHEL; BHEL; BHARAT HEAVY ELECTRICALS LIMITED
MOIL Limited,Oil & Gas,MOIL Limited,,,,MOIL Limited
MACROTECH DEVELOPERS LIMITED,Real Estate & Construction,MACROTECH DEVELOPERS,Macrotech Developers (Lodha),Macrotech Developers,Macrotech Developers (Lodha),MACROTECH DEVELOPERS; Macrotech Developers (Lodha); Macrotech Developers; Macrotech Developers (Lodha); MACROTECH DEVELOPERS LIMITED
SARDA ENERGY  MINERALS LIMITED,Steel & Iron,SARDA ENERGY & MINERALS LIMITED,SARDA ENERGY & MINERALS,SARDA ENERGY  MINERALS LIMITED,,SARDA ENERGY & MINERALS LIMITED; SARDA ENERGY & MINERALS; SARDA ENERGY  MINERALS LIMITED
BEML Limited,Chemicals & Fertilizers,BEML Limited,BEML Limited,BEML Limited,BEML Limited,BEML Limited; BEML Limited; BEML Limited; BEML Limited; BEML Limited
Bharat Dynamics Limited,Chemicals & Fertilizers,Bharat Dynamics,Bharat Dynamics,Bharat Dynamics,Bharat Dynamics (BDL),Bharat Dynamics; Bharat Dynamics; Bharat Dynamics; Bharat Dynamics (BDL); Bharat Dynamics Limited; Bharat Dynamics; Bharat Dynamics (BDL); BDL
Anant Raj Limited,Chemicals & Fertilizers,Anant Raj Limited,Anant Raj Limited,Anant Raj Limited,,Anant Raj Limited; Anant Raj Limited; Anant Raj Limited
UNITED BREWERIES LIMITED,Pharmaceuticals & Healthcare,UNITED BREWERIES LIMITED,United Breweries,United Breweries,UNITED BREWERIES LIMITED,UNITED BREWERIES LIMITED; United Breweries; United Breweries; UNITED BREWERIES LIMITED; United Breweries
Hindustan Unilever Limited,Pharmaceuticals & Healthcare,Hindustan Unilever Limited,Hindustan Unilever (HUL),Hindustan Unilever,Hindustan Unilever Limited,Hindustan Unilever Limited; Hindustan Unilever (HUL); Hindustan Unilever; Hindustan Unilever Limited; Hindustan Unilever Limited; Hindustan Unilever (HUL)
Electronics Mart India Limited,Chemicals & Fertilizers,Electronics Mart India,Electronics Mart India Limited,Electronics Mart,Electronics Mart India Limited,Electronics Mart India; Electronics Mart India Limited; Electronics Mart; Electronics Mart India Limited; Electronics Mart India
Bosch limited,Chemicals & Fertilizers,Bosch limited,Bosch limited,Bosch limited,Bosch Limited,Bosch limited; Bosch limited; Bosch limited; Bosch Limited
Garden Reach Shipbuilders  Engineers Limited,Transportation & Logistics,Garden Reach Shipbuilders,Garden Reach Shipbuilders (GRSE),Garden Reach Ship,Garden Reach Shipbuilders,Garden Reach Shipbuilders; Garden Reach Shipbuilders (GRSE); Garden Reach Ship; Garden Reach Shipbuilders; Garden Reach Shipbuilders  Engineers Limited
Hitachi Energy India Limited,Power Generation,Hitachi Energy India Limited,Hitachi Energy India,Hitachi Energy India,,Hitachi Energy India Limited; Hitachi Energy India; Hitachi Energy India
Relaxo Footwears Limited,Chemicals & Fertilizers,Relaxo Footwears,Relaxo Footwears Limited,Relaxo Footwears,Relaxo Footwears,Relaxo Footwears; Relaxo Footwears Limited; Relaxo Footwears; Relaxo Footwears; Relaxo Footwears Limited
SHIPPING CORPORATION OF INDIA LIMITED,Chemicals & Fertilizers,SHIPPING CORPORATION,SHIPPING CORPORATION OF INDIA LIMITED,Shipping Corp of India,SHIPPING CORP,SHIPPING CORPORATION; SHIPPING CORPORATION OF INDIA LIMITED; Shipping Corp of India; SHIPPING CORP; SHIPPING CORPORATION; SHIPPING CORPORATION OF INDIA LIMITED; Shipping Corp of India
Titan Company Limited,Pharmaceuticals & Healthcare,Titan Company Limited,Titan Company Limited,Titan Company,Titan,Titan Company Limited; Titan Company Limited; Titan Company; Titan; Titan Company Ltd; Titan Company Limited; Titan Company; Titan Company Limited
Tejas Networks Limited,Chemicals & Fertilizers,Tejas Networks Limited,Tejas Networks,Tejas Networks Ltd,TEJAS NETWORKS LIMITED,Tejas Networks Limited; Tejas Networks; Tejas Networks Ltd; TEJAS NETWORKS LIMITED
Voltamp Transformers Limited,Chemicals & Fertilizers,Voltamp Transformers,Voltamp Transformers,Voltamp Transformers,Voltamp Transformers Limited,Voltamp Transformers; Voltamp Transformers; Voltamp Transformers; Voltamp Transformers Limited
Firstsource Solutions Limited,Information Technology,Firstsource Solutions,Firstsource Solutions,Firstsource Solutions,Firstsource Solutions Limited,Firstsource Solutions; Firstsource Solutions; Firstsource Solutions; Firstsource Solutions Limited
SAREGAMA India Limited,Chemicals & Fertilizers,SAREGAMA India Limited,SAREGAMA India Ltd,SAREGAMA India Limited,Saregama India Ltd,SAREGAMA India Limited; SAREGAMA India Ltd; SAREGAMA India Limited; Saregama India Ltd
Mastek Limited,Chemicals & Fertilizers,Mastek Limited,Mastek Limited,Mastek Limited,,Mastek Limited; Mastek Limited; Mastek Limited
Just Dial Limited,Information Technology,Just Dial Limited,Just Dial Limited,,,Just Dial Limited; Just Dial Limited
THE NEW INDIA ASSURANCE COMPANY LIMITED,Chemicals & Fertilizers,New India Assurance,THE NEW INDIA ASSURANCE,THE NEW INDIA ASSURANCE COMPANY LIMITED,New India Assurance,New India Assurance; THE NEW INDIA ASSURANCE; THE NEW INDIA ASSURANCE COMPANY LIMITED; New India Assurance; NEW INDIA ASSURANCE; New India Assurance
Easy Trip Planners Limited,Chemicals & Fertilizers,Easy Trip Planners,Easy Trip Planners Limited,Easy Trip Planners,Easy Trip Planners Limited,Easy Trip Planners; Easy Trip Planners Limited; Easy Trip Planners; Easy Trip Planners Limited
Route Mobile Limited,Information Technology,Route Mobile Limited,Route Mobile Limited,Route Mobile Limited,,Route Mobile Limited; Route Mobile Limited; Route Mobile Limited
Indian Energy Exchange Limited,Power Generation,Indian Energy Exchange,Indian Energy Exch,Indian Energy Exchange Limited,,Indian Energy Exchange; Indian Energy Exch; Indian Energy Exchange Limited
BLS International Services Limited,Chemicals & Fertilizers,BLS International Services,BLS International,BLS International Services Limited,,BLS International Services; BLS International; BLS International Services Limited
