Company_Name,Indicator_ID,Indicator_Name,Value,Unit,Fiscal_Year,Confidence,Source_Page,Notes
Aditya Birla Fashion and Retail Limited,5.5,E-Waste,4.2,MT,FY2023-24,HIGH,P6 Q4,IT assets from retail stores
Aegis Logistics Limited,2.3,Water Recycling %,0.0,%,FY2023-24,HIGH,BRSR P6 Q1,Logistics terminals; low water reuse
Aegis Logistics Limited,2.5,Water Discharge,1200.0,KL,FY2023-24,MEDIUM,BRSR P6 Q1,Operational runoff and domestic discharge
Aegis Logistics Limited,5.3,Waste Recycled %,45.0,%,FY2023-24,MEDIUM,P6 Q4,Metal scrap recycling focus
Aegis Logistics Limited,5.4,Plastic Waste,2.4,MT,FY2023-24,HIGH,P6 Q4,Packaging plastic EPR
Aegis Logistics Limited,5.5,E-Waste,0.6,MT,FY2023-24,HIGH,P6 Q4,Office electronics
Ajanta Pharma Limited,2.3,Water Recycling %,100.0,%,FY2023-24,HIGH,BRSR P6 Q1,ZLD at Paithan and Guwahati plants
Ajanta Pharma Limited,2.5,Water Discharge,0.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Zero Liquid Discharge (ZLD)
Ajanta Pharma Limited,5.3,Waste Recycled %,88.0,%,FY2023-24,HIGH,P6 Q4,Hazardous and non-hazardous recycling
Ajanta Pharma Limited,5.4,Plastic Waste,84.5,MT,FY2023-24,HIGH,P6 Q4,EPR obligations fulfilled
Ajanta Pharma Limited,5.5,E-Waste,2.1,MT,FY2023-24,HIGH,P6 Q4,Authorized e-waste vendors
Akzo Nobel India Limited,2.3,Water Recycling %,18.5,%,FY2023-24,HIGH,BRSR P6 Q1,Process water recycled in paint mfg
Akzo Nobel India Limited,2.5,Water Discharge,0.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Zero Liquid Discharge (ZLD) at major sites
Akzo Nobel India Limited,5.3,Waste Recycled %,72.0,%,FY2023-24,HIGH,P6 Q4,Solvent recovery and sludge recycling
Akzo Nobel India Limited,5.4,Plastic Waste,315.0,MT,FY2023-24,HIGH,P6 Q4,EPR credits for plastic paint buckets
Akzo Nobel India Limited,5.5,E-Waste,1.4,MT,FY2023-24,HIGH,P6 Q4,IT and production electronics
Alkem Laboratories Limited,2.3,Water Recycling %,32.0,%,FY2023-24,HIGH,BRSR P6 Q1,Recycled for utility use
Alkem Laboratories Limited,2.5,Water Discharge,0.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Zero Liquid Discharge (ZLD)
Alkem Laboratories Limited,5.3,Waste Recycled %,85.5,%,FY2023-24,HIGH,P6 Q4,Hazardous waste to authorized recyclers
Alkem Laboratories Limited,5.4,Plastic Waste,412.0,MT,FY2023-24,HIGH,P6 Q4,EPR compliant packaging
Alkem Laboratories Limited,5.5,E-Waste,5.6,MT,FY2023-24,HIGH,P6 Q4,Registered e-waste handlers
Amara Raja Energy  Mobility Limited,2.3,Water Recycling %,14.0,%,FY2023-24,HIGH,BRSR P6 Q1,Wastewater recycled for manufacturing
Amara Raja Energy  Mobility Limited,2.5,Water Discharge,0.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Zero Liquid Discharge (ZLD)
Amara Raja Energy  Mobility Limited,5.3,Waste Recycled %,99.5,%,FY2023-24,HIGH,P6 Q4,Lead and plastic component recycling
Amara Raja Energy  Mobility Limited,5.4,Plastic Waste,2415.0,MT,FY2023-24,HIGH,P6 Q4,Extensive EPR for battery casings
Amara Raja Energy  Mobility Limited,5.5,E-Waste,8.4,MT,FY2023-24,HIGH,P6 Q4,Electronics from automation systems
Amber Enterprises India Limited,2.3,Water Recycling %,12.0,%,FY2023-24,MEDIUM,Sustainability Report,Water reuse in component washing
Amber Enterprises India Limited,2.5,Water Discharge,4500.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Treated effluent discharge
Amber Enterprises India Limited,5.3,Waste Recycled %,68.0,%,FY2023-24,MEDIUM,P6 Q4,Metal scrap recycling focus
Amber Enterprises India Limited,5.4,Plastic Waste,142.0,MT,FY2023-24,HIGH,P6 Q4,EPR packaging compliance
Amber Enterprises India Limited,5.5,E-Waste,2.8,MT,FY2023-24,HIGH,P6 Q4,IT and component scrap
Ambuja Cements Limited,2.3,Water Recycling %,18.4,%,FY2023-24,HIGH,BRSR P6 Q1,Wastewater recycled for process cooling
Ambuja Cements Limited,2.5,Water Discharge,0.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Zero Liquid Discharge (ZLD)
Ambuja Cements Limited,5.3,Waste Recycled %,98.6,%,FY2023-24,HIGH,P6 Q4,Waste co-processing in cement kilns
Ambuja Cements Limited,5.4,Plastic Waste,14580.0,MT,FY2023-24,HIGH,Sustainability Report,Plastic Negative (8x collection vs usage)
Ambuja Cements Limited,5.5,E-Waste,14.2,MT,FY2023-24,HIGH,P6 Q4,Authorized electronic scrap disposal
Anand Rathi Wealth Limited,2.3,Water Recycling %,0.0,%,FY2023-24,HIGH,BRSR P6 Q1,Financial services; municipal water
Anand Rathi Wealth Limited,2.5,Water Discharge,0.0,KL,FY2023-24,MEDIUM,BRSR P6 Q1,Discharged to public sewage
Anand Rathi Wealth Limited,5.3,Waste Recycled %,95.0,%,FY2023-24,MEDIUM,P6 Q4,Digital first; 100% paper recycling
Anand Rathi Wealth Limited,5.4,Plastic Waste,0.45,MT,FY2023-24,HIGH,P6 Q4,Office plastic waste EPR
Anand Rathi Wealth Limited,5.5,E-Waste,4.5,MT,FY2023-24,HIGH,P6 Q4,Hardware disposal via recyclers
Anant Raj Limited,2.3,Water Recycling %,75.0,%,FY2023-24,HIGH,Sustainability Disclosure,Recycled STP water for construction/landscaping
Anant Raj Limited,2.5,Water Discharge,0.0,KL,FY2023-24,MEDIUM,BRSR P6 Q1,Municipal discharge only
Anant Raj Limited,5.3,Waste Recycled %,62.0,%,FY2023-24,MEDIUM,P6 Q4,Construction waste recycling focus
Anant Raj Limited,5.4,Plastic Waste,2.1,MT,FY2023-24,HIGH,P6 Q4,Packaging plastic EPR
Anant Raj Limited,5.5,E-Waste,0.4,MT,FY2023-24,HIGH,P6 Q4,Office electronics
Anupam Rasayan India Limited,2.3,Water Recycling %,100.0,%,FY2023-24,HIGH,BRSR P6 Q1,ZLD implementation at all chemical units
Anupam Rasayan India Limited,2.5,Water Discharge,0.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Zero Liquid Discharge (ZLD)
Anupam Rasayan India Limited,5.3,Waste Recycled %,42.0,%,FY2023-24,HIGH,P6 Q4,Solvent and by-product recovery
Anupam Rasayan India Limited,5.4,Plastic Waste,84.0,MT,FY2023-24,HIGH,P6 Q4,EPR packaging credits
Anupam Rasayan India Limited,5.5,E-Waste,1.2,MT,FY2023-24,HIGH,P6 Q4,Electronic scrap disposal
Apollo Tyres Limited,2.3,Water Recycling %,22.6,%,FY2023-24,HIGH,BRSR P6 Q1,Condensate recovery and wastewater recycling
Apollo Tyres Limited,2.5,Water Discharge,124500.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Treated discharge to surface water
Apollo Tyres Limited,5.3,Waste Recycled %,88.0,%,FY2023-24,HIGH,P6 Q4,Rubber scrap and carbon black recycling
Apollo Tyres Limited,5.4,Plastic Waste,452.0,MT,FY2023-24,HIGH,P6 Q4,EPR for tire packaging and wrap
Apollo Tyres Limited,5.5,E-Waste,18.4,MT,FY2023-24,HIGH,P6 Q4,IT and industrial electronics recycling
Aptus Value Housing Finance India Limited,2.3,Water Recycling %,0.0,%,FY2023-24,HIGH,BRSR P6 Q1,Housing finance; office water usage
Aptus Value Housing Finance India Limited,2.5,Water Discharge,0.0,KL,FY2023-24,MEDIUM,BRSR P6 Q1,Discharged via municipal sewage
Aptus Value Housing Finance India Limited,5.3,Waste Recycled %,92.0,%,FY2023-24,MEDIUM,P6 Q4,Paper waste management
Aptus Value Housing Finance India Limited,5.4,Plastic Waste,0.8,MT,FY2023-24,HIGH,P6 Q4,Minimal packaging EPR
Aptus Value Housing Finance India Limited,5.5,E-Waste,2.8,MT,FY2023-24,HIGH,P6 Q4,IT hardware disposal
Asahi India Glass Limited,2.3,Water Recycling %,10.5,%,FY2023-24,HIGH,BRSR P6 Q1,Glass washing water recycling
Asahi India Glass Limited,2.5,Water Discharge,4250.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Treated effluent discharge
Asahi India Glass Limited,5.3,Waste Recycled %,95.0,%,FY2023-24,HIGH,P6 Q4,Cullet (glass scrap) recycling in furnace
Asahi India Glass Limited,5.4,Plastic Waste,145.0,MT,FY2023-24,HIGH,P6 Q4,EPR for glass packaging plastic
Asahi India Glass Limited,5.5,E-Waste,1.8,MT,FY2023-24,HIGH,P6 Q4,IT and plant electronics
Ashok Leyland Limited,2.3,Water Recycling %,48.0,%,FY2023-24,HIGH,BRSR P6 Q1,Recycled for paint shop and utilities
Ashok Leyland Limited,2.5,Water Discharge,0.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Zero Liquid Discharge (ZLD) at all major plants
Ashok Leyland Limited,5.3,Waste Recycled %,92.5,%,FY2023-24,HIGH,P6 Q4,Hazardous waste and metal recycling
Ashok Leyland Limited,5.4,Plastic Waste,415.0,MT,FY2023-24,HIGH,P6 Q4,EPR for auto-component packaging
Ashok Leyland Limited,5.5,E-Waste,14.8,MT,FY2023-24,HIGH,P6 Q4,Industrial and IT electronics disposal
Asian Paints Limited,2.3,Water Recycling %,22.4,%,FY2023-24,HIGH,BRSR P6 Q1,Water recovery from effluent plants
Asian Paints Limited,2.5,Water Discharge,0.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Zero Liquid Discharge (ZLD) since FY20
Asian Paints Limited,5.3,Waste Recycled %,78.0,%,FY2023-24,HIGH,P6 Q4,Solvent recovery and sludge co-processing
Asian Paints Limited,5.4,Plastic Waste,42500.0,MT,FY2023-24,HIGH,Sustainability Report,Massive EPR program for paint containers
Asian Paints Limited,5.5,E-Waste,11.2,MT,FY2023-24,HIGH,P6 Q4,Authorized IT asset recyclers
Aster DM Healthcare Limited,2.3,Water Recycling %,35.0,%,FY2023-24,HIGH,Sustainability Report,STP water used for flushing/cooling
Aster DM Healthcare Limited,2.5,Water Discharge,12450.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Treated hospital sewage discharge
Aster DM Healthcare Limited,5.3,Waste Recycled %,22.0,%,FY2023-24,HIGH,P6 Q4,Non-biomedical waste recycling
Aster DM Healthcare Limited,5.4,Plastic Waste,18.4,MT,FY2023-24,HIGH,P6 Q4,EPR for medical packaging
Aster DM Healthcare Limited,5.5,E-Waste,14.5,MT,FY2023-24,HIGH,P6 Q4,Medical equipment and IT disposal
AstraZeneca Pharma India Limited,2.3,Water Recycling %,100.0,%,FY2023-24,HIGH,BRSR P6 Q1,ZLD at manufacturing site
AstraZeneca Pharma India Limited,2.5,Water Discharge,0.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Zero Liquid Discharge (ZLD)
AstraZeneca Pharma India Limited,5.3,Waste Recycled %,84.0,%,FY2023-24,HIGH,P6 Q4,3R focus on manufacturing waste
AstraZeneca Pharma India Limited,5.4,Plastic Waste,14.2,MT,FY2023-24,HIGH,P6 Q4,EPR for pharmaceutical packaging
AstraZeneca Pharma India Limited,5.5,E-Waste,2.1,MT,FY2023-24,HIGH,P6 Q4,IT assets via authorized recyclers
Astral Limited,2.3,Water Recycling %,100.0,%,FY2023-24,HIGH,BRSR P6 Q1,ZLD implemented at all piping units
Astral Limited,2.5,Water Discharge,0.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Zero Liquid Discharge (ZLD)
Astral Limited,5.3,Waste Recycled %,99.0,%,FY2023-24,HIGH,P6 Q4,PVC scrap recycling in production
Astral Limited,5.4,Plastic Waste,145.0,MT,FY2023-24,HIGH,P6 Q4,EPR for pipe packaging
Astral Limited,5.5,E-Waste,1.4,MT,FY2023-24,HIGH,P6 Q4,Authorized electronics disposal
Atul Limited,2.3,Water Recycling %,14.5,%,FY2023-24,HIGH,BRSR P6 Q1,Recycled in complex chemical processes
Atul Limited,2.5,Water Discharge,125800.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Discharged to treated effluent channel
Atul Limited,5.3,Waste Recycled %,42.0,%,FY2023-24,HIGH,P6 Q4,Hazardous waste co-processing
Atul Limited,5.4,Plastic Waste,185.0,MT,FY2023-24,HIGH,P6 Q4,EPR for chemical packaging
Atul Limited,5.5,E-Waste,2.8,MT,FY2023-24,HIGH,P6 Q4,Industrial and office electronics
Avenue Supermarts Limited,2.3,Water Recycling %,15.0,%,FY2023-24,MEDIUM,Sustainability Disclosure,Water recycling in large distribution centers
Avenue Supermarts Limited,2.5,Water Discharge,0.0,KL,FY2023-24,MEDIUM,BRSR P6 Q1,Municipal sewer discharge for stores
Avenue Supermarts Limited,5.3,Waste Recycled %,68.0,%,FY2023-24,HIGH,P6 Q4,Packaging and cardboard recycling focus
Avenue Supermarts Limited,5.4,Plastic Waste,8450.0,MT,FY2023-24,HIGH,Sustainability Report,Massive EPR for retail packaging plastic
Avenue Supermarts Limited,5.5,E-Waste,4.2,MT,FY2023-24,HIGH,P6 Q4,POS systems and IT disposal
Axis Bank Limited,2.3,Water Recycling %,0.0,%,FY2023-24,HIGH,BRSR P6 Q1,Banking; municipal water usage
Axis Bank Limited,2.5,Water Discharge,412000.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Total office effluent to municipal sewers
Axis Bank Limited,5.3,Waste Recycled %,94.5,%,FY2023-24,HIGH,P6 Q4,100% paper and dry waste recycling
Axis Bank Limited,5.4,Plastic Waste,12.5,MT,FY2023-24,HIGH,P6 Q4,Minimal packaging EPR
